Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:45:24:341,115.0,713.0,-413.0,-127.36,-23.61,-57.84,0.0,0.0,0.0,0.0,Haken,Christian
1,02.07.2015 16:45:24:354,94.0,695.0,-557.0,-127.19,-23.56,-57.81,0.0,0.0,0.0,0.0,Haken,Christian
2,02.07.2015 16:45:24:370,58.0,685.0,-663.0,-126.99,-23.51,-57.81,0.0,0.0,0.0,0.0,Haken,Christian
3,02.07.2015 16:45:24:386,8.0,657.0,-693.0,-126.78,-23.46,-57.82,0.0,0.0,0.0,0.0,Haken,Christian
4,02.07.2015 16:45:24:399,-3.0,678.0,-655.0,-126.58,-23.41,-57.85,0.0,0.0,0.0,0.0,Haken,Christian
5,02.07.2015 16:45:24:415,-21.0,627.0,-644.0,-126.25,-23.35,-57.88,0.0,0.0,0.0,0.0,Haken,Christian
6,02.07.2015 16:45:24:432,-57.0,532.0,-695.0,-125.86,-23.27,-57.93,0.0,0.0,0.0,0.0,Haken,Christian
7,02.07.2015 16:45:24:444,-97.0,535.0,-815.0,-125.44,-23.13,-58.02,0.0,0.0,0.0,0.0,Haken,Christian
8,02.07.2015 16:45:24:460,-109.0,740.0,-956.0,-124.89,-22.86,-58.21,0.0,0.0,0.0,0.0,Haken,Christian
9,02.07.2015 16:45:24:477,-107.0,957.0,-1118.0,-124.04,-22.49,-58.48,0.0,0.0,0.0,0.0,Haken,Christian
10,02.07.2015 16:45:24:489,-82.0,1078.0,-1319.0,-122.94,-22.01,-58.82,0.0,0.0,0.0,0.0,Haken,Christian
11,02.07.2015 16:45:24:505,-13.0,1266.0,-1715.0,-121.66,-21.47,-59.23,0.0,0.0,0.0,0.0,Haken,Christian
12,02.07.2015 16:45:24:522,12.0,1197.0,-2209.0,-120.27,-20.89,-59.75,0.0,0.0,0.0,0.0,Haken,Christian
13,02.07.2015 16:45:24:534,120.0,1331.0,-2685.0,-119.12,-20.27,-60.47,0.0,0.0,0.0,0.0,Haken,Christian
14,02.07.2015 16:45:24:550,241.0,1412.0,-2860.0,-117.93,-19.59,-61.44,0.0,0.0,0.0,0.0,Haken,Christian
15,02.07.2015 16:45:24:567,379.0,1425.0,-2833.0,-116.69,-18.85,-62.56,0.0,0.0,0.0,0.0,Haken,Christian
16,02.07.2015 16:45:24:579,425.0,1224.0,-2670.0,-115.46,-18.06,-63.8,0.0,0.0,0.0,0.0,Haken,Christian
17,02.07.2015 16:45:24:595,430.0,1121.0,-2471.0,-114.26,-17.17,-65.17,0.0,0.0,0.0,0.0,Haken,Christian
18,02.07.2015 16:45:24:612,320.0,1186.0,-2386.0,-112.82,-16.11,-66.66,0.0,0.0,0.0,0.0,Haken,Christian
