Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:38:39:237,-15657.0,-7288.0,6536.0,-35.46,-28.99,-56.9,0.0,0.0,0.0,49.0,Haken,Christoph
1,02.07.2015 16:38:39:249,-17123.0,-9025.0,3727.0,-39.49,-34.22,-52.16,0.0,0.0,0.0,45.0,Haken,Christoph
2,02.07.2015 16:38:39:265,-16501.0,-11258.0,3639.0,-44.5,-40.66,-45.59,0.0,0.0,0.0,43.0,Haken,Christoph
3,02.07.2015 16:38:39:282,-13163.0,-13626.0,5448.0,-49.16,-47.47,-38.63,0.0,0.0,0.0,53.0,Haken,Christoph
4,02.07.2015 16:38:39:294,-7282.0,-15267.0,7124.0,-52.57,-53.68,-32.79,0.0,0.0,0.0,61.0,Haken,Christoph
5,02.07.2015 16:38:39:310,-21.0,-15462.0,6333.0,-54.42,-58.23,-29.32,0.0,0.0,0.0,82.0,Haken,Christoph
6,02.07.2015 16:38:39:323,6151.0,-14360.0,2935.0,-55.55,-60.6,-28.28,0.0,0.0,0.0,92.0,Haken,Christoph
7,02.07.2015 16:38:39:339,10411.0,-12530.0,-2566.0,-56.54,-60.59,-29.15,0.0,0.0,0.0,109.0,Haken,Christoph
8,02.07.2015 16:38:39:356,13659.0,-9098.0,-8615.0,-56.11,-57.51,-32.48,0.0,0.0,0.0,122.0,Haken,Christoph
9,02.07.2015 16:38:39:372,16229.0,-3081.0,-13537.0,-53.05,-51.28,-38.72,0.0,0.0,0.0,163.0,Haken,Christoph
10,02.07.2015 16:38:39:384,17350.0,3907.0,-14865.0,-47.41,-42.62,-47.36,0.0,0.0,0.0,137.0,Haken,Christoph
11,02.07.2015 16:38:39:400,17289.0,10397.0,-12283.0,-31.62,-32.67,-57.33,0.0,0.0,0.0,107.0,Haken,Christoph
12,02.07.2015 16:38:39:413,16544.0,15185.0,-6058.0,41.29,-21.7,-68.24,0.0,0.0,0.0,102.0,Haken,Christoph
13,02.07.2015 16:38:39:429,15625.0,16807.0,225.0,122.57,-10.11,-79.72,0.0,0.0,0.0,96.0,Haken,Christoph
14,02.07.2015 16:38:39:446,14988.0,16215.0,4610.0,-168.12,1.06,-88.63,0.0,0.0,0.0,85.0,Haken,Christoph
15,02.07.2015 16:38:39:458,13021.0,15223.0,5315.0,-136.18,10.56,-78.01,0.0,0.0,0.0,79.0,Haken,Christoph
16,02.07.2015 16:38:39:474,9755.0,15570.0,984.0,-122.32,17.01,-69.71,0.0,0.0,0.0,65.0,Haken,Christoph
17,02.07.2015 16:38:39:491,5758.0,17034.0,-5001.0,-114.1,19.66,-64.82,0.0,0.0,0.0,48.0,Haken,Christoph
18,02.07.2015 16:38:39:503,1915.0,18258.0,-10474.0,-108.59,18.6,-63.65,0.0,0.0,0.0,77.0,Haken,Christoph
19,02.07.2015 16:38:39:519,-467.0,16073.0,-14811.0,-106.68,14.87,-66.48,0.0,0.0,0.0,85.0,Haken,Christoph
20,02.07.2015 16:38:39:536,517.0,13332.0,-16399.0,-110.78,9.47,-72.87,0.0,0.0,0.0,94.0,Haken,Christoph
21,02.07.2015 16:38:39:548,3377.0,11479.0,-12836.0,-124.85,3.3,-81.24,0.0,0.0,0.0,86.0,Haken,Christoph
22,02.07.2015 16:38:39:564,4440.0,11863.0,-7634.0,-155.75,-2.52,-86.37,0.0,0.0,0.0,82.0,Haken,Christoph
23,02.07.2015 16:38:39:581,4012.0,13124.0,-3324.0,149.51,-7.58,-82.25,0.0,0.0,0.0,69.0,Haken,Christoph
24,02.07.2015 16:38:39:593,3406.0,13463.0,-1327.0,102.22,-11.55,-77.74,0.0,0.0,0.0,64.0,Haken,Christoph
25,02.07.2015 16:38:39:609,2484.0,11809.0,-555.0,70.46,-14.5,-74.53,0.0,0.0,0.0,63.0,Haken,Christoph
26,02.07.2015 16:38:39:626,1377.0,9941.0,-4.0,52.87,-16.63,-72.41,0.0,0.0,0.0,57.0,Haken,Christoph
27,02.07.2015 16:38:39:638,1949.0,9956.0,-209.0,39.89,-17.93,-71.29,0.0,0.0,0.0,54.0,Haken,Christoph
28,02.07.2015 16:38:39:655,4839.0,11056.0,-1898.0,27.38,-18.69,-70.59,0.0,0.0,0.0,48.0,Haken,Christoph
29,02.07.2015 16:38:39:671,6939.0,10323.0,-3143.0,19.81,-19.46,-69.45,0.0,0.0,0.0,44.0,Haken,Christoph
30,02.07.2015 16:38:39:683,7502.0,9007.0,-947.0,12.19,-20.24,-68.35,0.0,0.0,0.0,45.0,Haken,Christoph
31,02.07.2015 16:38:39:699,6199.0,5488.0,1073.0,6.51,-21.19,-67.1,0.0,0.0,0.0,47.0,Haken,Christoph
32,02.07.2015 16:38:39:712,5016.0,2286.0,1808.0,0.79,-21.84,-66.55,0.0,0.0,0.0,56.0,Haken,Christoph
33,02.07.2015 16:38:39:728,5680.0,764.0,2356.0,-3.15,-22.04,-66.52,0.0,0.0,0.0,45.0,Haken,Christoph
34,02.07.2015 16:38:39:745,7339.0,288.0,3630.0,-5.81,-21.62,-67.04,0.0,0.0,0.0,47.0,Haken,Christoph
35,02.07.2015 16:38:39:757,8186.0,-653.0,5026.0,-9.21,-20.9,-68.05,0.0,0.0,0.0,37.0,Haken,Christoph
36,02.07.2015 16:38:39:773,7801.0,-3159.0,5414.0,-13.5,-20.27,-69.21,0.0,0.0,0.0,36.0,Haken,Christoph
37,02.07.2015 16:38:39:790,6185.0,-6352.0,4140.0,-17.59,-19.91,-70.0,0.0,0.0,0.0,39.0,Haken,Christoph
38,02.07.2015 16:38:39:802,5249.0,-8987.0,1987.0,-20.45,-19.63,-70.35,0.0,0.0,0.0,33.0,Haken,Christoph
39,02.07.2015 16:38:39:818,4469.0,-10819.0,-245.0,-21.99,-19.47,-70.36,0.0,0.0,0.0,34.0,Haken,Christoph
40,02.07.2015 16:38:39:835,3285.0,-11414.0,-1260.0,-22.82,-19.51,-70.11,0.0,0.0,0.0,30.0,Haken,Christoph
41,02.07.2015 16:38:39:851,2127.0,-11304.0,-1046.0,-23.39,-19.74,-69.69,0.0,0.0,0.0,0.0,Haken,Christoph
42,02.07.2015 16:38:39:863,1057.0,-11030.0,-783.0,-23.89,-20.02,-69.18,0.0,0.0,0.0,0.0,Haken,Christoph
43,02.07.2015 16:38:39:880,-345.0,-11139.0,-1007.0,-24.27,-20.37,-68.59,0.0,0.0,0.0,0.0,Haken,Christoph
44,02.07.2015 16:38:39:892,-2216.0,-11179.0,-1252.0,-24.44,-20.71,-68.07,0.0,0.0,0.0,0.0,Haken,Christoph
45,02.07.2015 16:38:39:908,-3592.0,-11069.0,-1647.0,-24.5,-21.02,-67.63,0.0,0.0,0.0,0.0,Haken,Christoph
46,02.07.2015 16:38:39:925,-4777.0,-10585.0,-1882.0,-24.62,-21.49,-67.15,0.0,0.0,0.0,0.0,Haken,Christoph
47,02.07.2015 16:38:39:937,-5369.0,-9828.0,-1988.0,-24.89,-22.11,-66.59,0.0,0.0,0.0,0.0,Haken,Christoph
48,02.07.2015 16:38:39:954,-6106.0,-8807.0,-1636.0,-25.26,-22.91,-65.94,0.0,0.0,0.0,0.0,Haken,Christoph
49,02.07.2015 16:38:39:970,-7884.0,-7425.0,-648.0,-25.81,-23.86,-65.16,0.0,0.0,0.0,0.0,Haken,Christoph
50,02.07.2015 16:38:39:982,-9940.0,-5757.0,115.0,-26.53,-24.82,-64.3,0.0,0.0,0.0,0.0,Haken,Christoph
51,02.07.2015 16:38:39:999,-10740.0,-4443.0,713.0,-27.31,-25.65,-63.5,0.0,0.0,0.0,0.0,Haken,Christoph
52,02.07.2015 16:38:40:15,-10159.0,-3429.0,946.0,-27.98,-26.3,-62.85,0.0,0.0,0.0,0.0,Haken,Christoph
53,02.07.2015 16:38:40:27,-9297.0,-2516.0,1019.0,-28.63,-26.85,-62.23,0.0,0.0,0.0,0.0,Haken,Christoph
54,02.07.2015 16:38:40:44,-8585.0,-1739.0,1126.0,-29.23,-27.34,-61.65,0.0,0.0,0.0,0.0,Haken,Christoph
55,02.07.2015 16:38:40:60,-8132.0,-1046.0,1234.0,-29.86,-27.76,-61.05,0.0,0.0,0.0,0.0,Haken,Christoph
56,02.07.2015 16:38:40:72,-7509.0,-731.0,921.0,-30.54,-28.13,-60.41,0.0,0.0,0.0,0.0,Haken,Christoph
