Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:19:36:429,-267.0,-2366.0,-264.0,-85.98,-66.62,-12.87,0.0,0.0,0.0,42.0,Haken,Eike
1,02.07.2015 16:19:36:445,357.0,-2105.0,283.0,-84.79,-66.46,-13.68,0.0,0.0,0.0,41.0,Haken,Eike
2,02.07.2015 16:19:36:458,819.0,-1901.0,406.0,-83.61,-66.05,-14.43,0.0,0.0,0.0,42.0,Haken,Eike
3,02.07.2015 16:19:36:474,743.0,-1941.0,70.0,-82.57,-65.67,-14.97,0.0,0.0,0.0,43.0,Haken,Eike
4,02.07.2015 16:19:36:490,398.0,-1989.0,-117.0,-81.69,-65.44,-15.3,0.0,0.0,0.0,47.0,Haken,Eike
5,02.07.2015 16:19:36:503,-275.0,-2005.0,-118.0,-81.0,-65.27,-15.46,0.0,0.0,0.0,45.0,Haken,Eike
6,02.07.2015 16:19:36:519,-983.0,-1992.0,-148.0,-80.41,-65.04,-15.6,0.0,0.0,0.0,47.0,Haken,Eike
7,02.07.2015 16:19:36:535,-1436.0,-1973.0,-353.0,-79.85,-64.81,-15.84,0.0,0.0,0.0,55.0,Haken,Eike
8,02.07.2015 16:19:36:548,-1424.0,-1748.0,-478.0,-79.2,-64.55,-16.28,0.0,0.0,0.0,56.0,Haken,Eike
9,02.07.2015 16:19:36:564,-1276.0,-1630.0,-633.0,-78.53,-64.26,-16.77,0.0,0.0,0.0,49.0,Haken,Eike
10,02.07.2015 16:19:36:580,-1032.0,-1398.0,-531.0,-77.96,-64.04,-17.22,0.0,0.0,0.0,48.0,Haken,Eike
11,02.07.2015 16:19:36:593,-605.0,-1049.0,-348.0,-77.49,-63.81,-17.62,0.0,0.0,0.0,45.0,Haken,Eike
12,02.07.2015 16:19:36:609,-388.0,-811.0,-242.0,-76.99,-63.6,-17.98,0.0,0.0,0.0,61.0,Haken,Eike
13,02.07.2015 16:19:36:622,-249.0,-639.0,-245.0,-76.5,-63.42,-18.31,0.0,0.0,0.0,61.0,Haken,Eike
14,02.07.2015 16:19:36:638,-142.0,-564.0,-287.0,-76.04,-63.25,-18.59,0.0,0.0,0.0,60.0,Haken,Eike
15,02.07.2015 16:19:36:654,-344.0,-663.0,-503.0,-75.6,-63.19,-18.78,0.0,0.0,0.0,57.0,Haken,Eike
16,02.07.2015 16:19:36:667,-303.0,-629.0,-359.0,-75.24,-63.21,-18.92,0.0,0.0,0.0,58.0,Haken,Eike
17,02.07.2015 16:19:36:683,-367.0,-660.0,-184.0,-74.96,-63.22,-18.99,0.0,0.0,0.0,57.0,Haken,Eike
18,02.07.2015 16:19:36:699,-386.0,-686.0,-129.0,-74.64,-63.11,-19.13,0.0,0.0,0.0,56.0,Haken,Eike
19,02.07.2015 16:19:36:712,-142.0,-653.0,-406.0,-74.28,-62.92,-19.31,0.0,0.0,0.0,56.0,Haken,Eike
20,02.07.2015 16:19:36:728,109.0,-608.0,-828.0,-73.91,-62.77,-19.49,0.0,0.0,0.0,55.0,Haken,Eike
21,02.07.2015 16:19:36:744,216.0,-565.0,-1058.0,-73.56,-62.76,-19.61,0.0,0.0,0.0,44.0,Haken,Eike
22,02.07.2015 16:19:36:757,-28.0,-602.0,-1196.0,-73.22,-62.82,-19.71,0.0,0.0,0.0,55.0,Haken,Eike
23,02.07.2015 16:19:36:773,-170.0,-418.0,-891.0,-72.91,-62.91,-19.86,0.0,0.0,0.0,58.0,Haken,Eike
24,02.07.2015 16:19:36:789,-169.0,-184.0,-905.0,-72.51,-62.61,-20.06,0.0,0.0,0.0,57.0,Haken,Eike
25,02.07.2015 16:19:36:802,-127.0,-32.0,-1503.0,-72.0,-62.24,-20.33,0.0,0.0,0.0,57.0,Haken,Eike
26,02.07.2015 16:19:36:818,110.0,209.0,-1960.0,-71.33,-61.9,-20.77,0.0,0.0,0.0,58.0,Haken,Eike
27,02.07.2015 16:19:36:834,304.0,500.0,-2167.0,-70.55,-61.58,-21.24,0.0,0.0,0.0,57.0,Haken,Eike
28,02.07.2015 16:19:36:847,515.0,950.0,-2154.0,-69.67,-61.24,-21.75,0.0,0.0,0.0,58.0,Haken,Eike
29,02.07.2015 16:19:36:863,813.0,1705.0,-1894.0,-68.6,-60.72,-22.39,0.0,0.0,0.0,58.0,Haken,Eike
30,02.07.2015 16:19:36:880,1005.0,2212.0,-1933.0,-67.26,-59.95,-23.13,0.0,0.0,0.0,58.0,Haken,Eike
31,02.07.2015 16:19:36:892,1057.0,2250.0,-2510.0,-65.68,-59.15,-23.94,0.0,0.0,0.0,57.0,Haken,Eike
32,02.07.2015 16:19:36:908,867.0,1903.0,-3040.0,-63.94,-58.46,-24.81,0.0,0.0,0.0,57.0,Haken,Eike
33,02.07.2015 16:19:36:921,441.0,1314.0,-3115.0,-62.05,-57.82,-25.8,0.0,0.0,0.0,60.0,Haken,Eike
34,02.07.2015 16:19:36:937,-553.0,639.0,-2726.0,-60.15,-57.18,-26.86,0.0,0.0,0.0,59.0,Haken,Eike
