Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:16:06:519,9569.0,-14859.0,-19002.0,-19.75,-20.7,-68.52,0.0,0.0,0.0,102.0,Haken,Jakub
1,02.07.2015 16:16:06:531,13164.0,-8285.0,-16501.0,-18.39,-18.83,-69.44,0.0,0.0,0.0,83.0,Haken,Jakub
2,02.07.2015 16:16:06:547,14580.0,-1537.0,-14953.0,-17.38,-16.83,-69.4,0.0,0.0,0.0,79.0,Haken,Jakub
3,02.07.2015 16:16:06:560,14253.0,5493.0,-14097.0,-17.28,-15.4,-68.24,0.0,0.0,0.0,83.0,Haken,Jakub
4,02.07.2015 16:16:06:576,13395.0,11340.0,-12339.0,-17.57,-14.33,-66.99,0.0,0.0,0.0,81.0,Haken,Jakub
5,02.07.2015 16:16:06:592,12674.0,14615.0,-10548.0,-17.99,-13.62,-66.17,0.0,0.0,0.0,92.0,Haken,Jakub
6,02.07.2015 16:16:06:605,12868.0,15146.0,-8164.0,-18.16,-13.26,-66.34,0.0,0.0,0.0,97.0,Haken,Jakub
7,02.07.2015 16:16:06:621,13667.0,14336.0,-5572.0,-17.92,-12.95,-67.04,0.0,0.0,0.0,143.0,Haken,Jakub
8,02.07.2015 16:16:06:637,14346.0,13358.0,-3233.0,-17.39,-12.54,-67.8,0.0,0.0,0.0,125.0,Haken,Jakub
9,02.07.2015 16:16:06:650,13594.0,11275.0,-2647.0,-16.89,-12.33,-69.02,0.0,0.0,0.0,156.0,Haken,Jakub
10,02.07.2015 16:16:06:666,13615.0,9421.0,-1222.0,-16.44,-11.87,-68.68,0.0,0.0,0.0,129.0,Haken,Jakub
11,02.07.2015 16:16:06:682,13179.0,7219.0,-1086.0,-16.18,-12.14,-68.58,0.0,0.0,0.0,164.0,Haken,Jakub
12,02.07.2015 16:16:06:695,13221.0,4299.0,-1837.0,-15.91,-12.65,-68.75,0.0,0.0,0.0,145.0,Haken,Jakub
13,02.07.2015 16:16:06:711,12280.0,1212.0,-3300.0,-16.12,-13.8,-68.74,0.0,0.0,0.0,150.0,Haken,Jakub
14,02.07.2015 16:16:06:728,10059.0,-1350.0,-3135.0,-16.69,-15.36,-68.56,0.0,0.0,0.0,186.0,Haken,Jakub
15,02.07.2015 16:16:06:740,7266.0,-3380.0,-2808.0,-17.65,-17.15,-68.0,0.0,0.0,0.0,212.0,Haken,Jakub
16,02.07.2015 16:16:06:756,4621.0,-4864.0,-2071.0,-19.02,-18.97,-67.26,0.0,0.0,0.0,199.0,Haken,Jakub
17,02.07.2015 16:16:06:773,4855.0,-6554.0,-2222.0,-20.09,-20.29,-67.36,0.0,0.0,0.0,199.0,Haken,Jakub
18,02.07.2015 16:16:06:785,4467.0,-7732.0,-3213.0,-21.35,-21.69,-66.76,0.0,0.0,0.0,199.0,Haken,Jakub
19,02.07.2015 16:16:06:801,3168.0,-7829.0,-2286.0,-22.58,-23.03,-66.12,0.0,0.0,0.0,205.0,Haken,Jakub
20,02.07.2015 16:16:06:818,2010.0,-7650.0,-1924.0,-24.06,-24.58,-64.89,0.0,0.0,0.0,188.0,Haken,Jakub
21,02.07.2015 16:16:06:830,1409.0,-7523.0,-1747.0,-25.69,-26.2,-63.49,0.0,0.0,0.0,145.0,Haken,Jakub
22,02.07.2015 16:16:06:846,770.0,-7359.0,-1879.0,-27.1,-27.63,-62.17,0.0,0.0,0.0,149.0,Haken,Jakub
23,02.07.2015 16:16:06:863,-229.0,-6871.0,-1942.0,-28.54,-29.08,-60.78,0.0,0.0,0.0,132.0,Haken,Jakub
24,02.07.2015 16:16:06:875,-1387.0,-6278.0,-2211.0,-29.96,-30.49,-59.41,0.0,0.0,0.0,137.0,Haken,Jakub
25,02.07.2015 16:16:06:891,-2512.0,-5544.0,-2535.0,-31.4,-31.84,-58.11,0.0,0.0,0.0,138.0,Haken,Jakub
26,02.07.2015 16:16:06:908,-3198.0,-5216.0,-2757.0,-32.87,-33.08,-56.91,0.0,0.0,0.0,131.0,Haken,Jakub
27,02.07.2015 16:16:06:920,-3897.0,-4740.0,-2519.0,-34.44,-34.21,-55.79,0.0,0.0,0.0,139.0,Haken,Jakub
28,02.07.2015 16:16:06:936,-4777.0,-3792.0,-1649.0,-36.1,-35.26,-54.67,0.0,0.0,0.0,167.0,Haken,Jakub
29,02.07.2015 16:16:06:953,-5659.0,-3040.0,-957.0,-37.72,-36.14,-53.66,0.0,0.0,0.0,174.0,Haken,Jakub
30,02.07.2015 16:16:06:965,-6488.0,-2151.0,-293.0,-39.6,-36.91,-52.62,0.0,0.0,0.0,159.0,Haken,Jakub
31,02.07.2015 16:16:06:981,-6309.0,-1412.0,1008.0,-41.37,-37.48,-51.68,0.0,0.0,0.0,189.0,Haken,Jakub
32,02.07.2015 16:16:06:998,-6387.0,-657.0,1817.0,-42.62,-37.68,-51.19,0.0,0.0,0.0,186.0,Haken,Jakub
33,02.07.2015 16:16:07:10,-6491.0,461.0,2482.0,-44.07,-37.9,-50.58,0.0,0.0,0.0,189.0,Haken,Jakub
34,02.07.2015 16:16:07:27,-6234.0,1482.0,3203.0,-45.41,-37.99,-50.08,0.0,0.0,0.0,216.0,Haken,Jakub
35,02.07.2015 16:16:07:43,-6537.0,2478.0,3287.0,-46.64,-37.97,-49.7,0.0,0.0,0.0,211.0,Haken,Jakub
36,02.07.2015 16:16:07:55,-6540.0,3451.0,3589.0,-48.04,-37.89,-49.23,0.0,0.0,0.0,211.0,Haken,Jakub
37,02.07.2015 16:16:07:72,-6208.0,4414.0,4153.0,-49.27,-37.66,-48.87,0.0,0.0,0.0,221.0,Haken,Jakub
38,02.07.2015 16:16:07:84,-5635.0,5228.0,4755.0,-50.18,-37.35,-48.67,0.0,0.0,0.0,226.0,Haken,Jakub
39,02.07.2015 16:16:07:100,-4995.0,5663.0,5065.0,-50.71,-37.04,-48.63,0.0,0.0,0.0,226.0,Haken,Jakub
40,02.07.2015 16:16:07:116,-4268.0,5832.0,5081.0,-50.84,-36.75,-48.76,0.0,0.0,0.0,221.0,Haken,Jakub
41,02.07.2015 16:16:07:129,-3528.0,5710.0,4857.0,-50.65,-36.52,-49.0,0.0,0.0,0.0,229.0,Haken,Jakub
42,02.07.2015 16:16:07:145,-2817.0,5292.0,4503.0,-50.22,-36.36,-49.32,0.0,0.0,0.0,203.0,Haken,Jakub
43,02.07.2015 16:16:07:162,-2401.0,4728.0,3969.0,-49.68,-36.27,-49.67,0.0,0.0,0.0,186.0,Haken,Jakub
44,02.07.2015 16:16:07:174,-2114.0,4188.0,3371.0,-49.12,-36.31,-49.95,0.0,0.0,0.0,145.0,Haken,Jakub
45,02.07.2015 16:16:07:190,-1842.0,3737.0,2817.0,-48.53,-36.43,-50.17,0.0,0.0,0.0,147.0,Haken,Jakub
46,02.07.2015 16:16:07:207,-1449.0,3170.0,2369.0,-47.95,-36.58,-50.34,0.0,0.0,0.0,143.0,Haken,Jakub
47,02.07.2015 16:16:07:219,-1085.0,2599.0,2093.0,-47.23,-36.76,-50.54,0.0,0.0,0.0,145.0,Haken,Jakub
48,02.07.2015 16:16:07:235,-820.0,1973.0,1751.0,-46.53,-36.98,-50.7,0.0,0.0,0.0,157.0,Haken,Jakub
49,02.07.2015 16:16:07:252,-637.0,1568.0,1401.0,-45.87,-37.28,-50.79,0.0,0.0,0.0,154.0,Haken,Jakub
50,02.07.2015 16:16:07:264,-595.0,1223.0,970.0,-45.28,-37.57,-50.83,0.0,0.0,0.0,162.0,Haken,Jakub
51,02.07.2015 16:16:07:280,-597.0,842.0,474.0,-44.85,-37.85,-50.8,0.0,0.0,0.0,138.0,Haken,Jakub
52,02.07.2015 16:16:07:297,-527.0,501.0,204.0,-44.6,-38.06,-50.73,0.0,0.0,0.0,135.0,Haken,Jakub
53,02.07.2015 16:16:07:309,-334.0,306.0,134.0,-44.51,-38.26,-50.63,0.0,0.0,0.0,125.0,Haken,Jakub
54,02.07.2015 16:16:07:326,-106.0,318.0,198.0,-44.45,-38.45,-50.5,0.0,0.0,0.0,134.0,Haken,Jakub
55,02.07.2015 16:16:07:338,25.0,294.0,116.0,-44.38,-38.65,-50.38,0.0,0.0,0.0,141.0,Haken,Jakub
56,02.07.2015 16:16:07:354,52.0,142.0,-35.0,-44.24,-38.82,-50.29,0.0,0.0,0.0,135.0,Haken,Jakub
57,02.07.2015 16:16:07:371,-44.0,-89.0,-264.0,-44.11,-38.96,-50.22,0.0,0.0,0.0,138.0,Haken,Jakub
58,02.07.2015 16:16:07:387,-223.0,-314.0,-506.0,-44.16,-39.13,-50.07,0.0,0.0,0.0,142.0,Haken,Jakub
59,02.07.2015 16:16:07:399,-326.0,-290.0,-559.0,-44.39,-39.3,-49.88,0.0,0.0,0.0,142.0,Haken,Jakub
60,02.07.2015 16:16:07:416,-327.0,-149.0,-446.0,-44.62,-39.46,-49.69,0.0,0.0,0.0,174.0,Haken,Jakub
61,02.07.2015 16:16:07:428,-239.0,2.0,-322.0,-44.76,-39.55,-49.57,0.0,0.0,0.0,185.0,Haken,Jakub
62,02.07.2015 16:16:07:444,-109.0,23.0,-301.0,-44.76,-39.58,-49.53,0.0,0.0,0.0,194.0,Haken,Jakub
63,02.07.2015 16:16:07:461,7.0,-50.0,-342.0,-44.69,-39.54,-49.57,0.0,0.0,0.0,197.0,Haken,Jakub
64,02.07.2015 16:16:07:473,19.0,0.0,-371.0,-44.6,-39.48,-49.64,0.0,0.0,0.0,196.0,Haken,Jakub
65,02.07.2015 16:16:07:489,-120.0,215.0,-412.0,-44.55,-39.46,-49.67,0.0,0.0,0.0,198.0,Haken,Jakub
66,02.07.2015 16:16:07:506,-336.0,471.0,-490.0,-44.53,-39.47,-49.68,0.0,0.0,0.0,198.0,Haken,Jakub
67,02.07.2015 16:16:07:518,-560.0,661.0,-518.0,-44.5,-39.45,-49.72,0.0,0.0,0.0,197.0,Haken,Jakub
68,02.07.2015 16:16:07:534,-762.0,815.0,-410.0,-44.47,-39.39,-49.78,0.0,0.0,0.0,196.0,Haken,Jakub
69,02.07.2015 16:16:07:551,-927.0,983.0,-198.0,-44.46,-39.32,-49.83,0.0,0.0,0.0,187.0,Haken,Jakub
70,02.07.2015 16:16:07:563,-1029.0,1081.0,-54.0,-44.41,-39.24,-49.9,0.0,0.0,0.0,192.0,Haken,Jakub
71,02.07.2015 16:16:07:579,-1098.0,990.0,-51.0,-44.37,-39.1,-50.01,0.0,0.0,0.0,189.0,Haken,Jakub
72,02.07.2015 16:16:07:596,-1117.0,828.0,17.0,-44.37,-38.89,-50.15,0.0,0.0,0.0,192.0,Haken,Jakub
73,02.07.2015 16:16:07:608,-1121.0,733.0,268.0,-44.46,-38.67,-50.26,0.0,0.0,0.0,194.0,Haken,Jakub
74,02.07.2015 16:16:07:625,-1046.0,674.0,602.0,-44.58,-38.48,-50.34,0.0,0.0,0.0,199.0,Haken,Jakub
75,02.07.2015 16:16:07:641,-881.0,626.0,987.0,-44.64,-38.31,-50.41,0.0,0.0,0.0,193.0,Haken,Jakub
76,02.07.2015 16:16:07:653,-625.0,543.0,1305.0,-44.59,-38.14,-50.52,0.0,0.0,0.0,191.0,Haken,Jakub
