Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 17:00:48:69,877.0,-332.0,218.0,127.52,-17.87,-50.87,0.0,0.0,0.0,33.0,Haken,Linh
1,02.07.2015 17:00:48:85,751.0,-381.0,214.0,127.26,-17.84,-50.74,0.0,0.0,0.0,34.0,Haken,Linh
2,02.07.2015 17:00:48:102,581.0,-359.0,207.0,127.0,-17.82,-50.58,0.0,0.0,0.0,35.0,Haken,Linh
3,02.07.2015 17:00:48:114,383.0,-301.0,235.0,126.72,-17.75,-50.39,0.0,0.0,0.0,34.0,Haken,Linh
4,02.07.2015 17:00:48:130,143.0,-239.0,299.0,126.48,-17.64,-50.26,0.0,0.0,0.0,34.0,Haken,Linh
5,02.07.2015 17:00:48:147,-187.0,-223.0,451.0,126.27,-17.48,-50.22,0.0,0.0,0.0,34.0,Haken,Linh
6,02.07.2015 17:00:48:159,-439.0,-447.0,590.0,126.16,-17.28,-50.37,0.0,0.0,0.0,36.0,Haken,Linh
7,02.07.2015 17:00:48:175,-647.0,-568.0,673.0,126.26,-17.04,-50.69,0.0,0.0,0.0,35.0,Haken,Linh
8,02.07.2015 17:00:48:192,-777.0,-461.0,688.0,126.53,-16.7,-51.21,0.0,0.0,0.0,36.0,Haken,Linh
9,02.07.2015 17:00:48:204,-783.0,-316.0,662.0,126.82,-16.27,-51.87,0.0,0.0,0.0,35.0,Haken,Linh
10,02.07.2015 17:00:48:220,-660.0,-331.0,580.0,127.08,-15.81,-52.62,0.0,0.0,0.0,36.0,Haken,Linh
11,02.07.2015 17:00:48:233,-399.0,-470.0,446.0,127.29,-15.35,-53.36,0.0,0.0,0.0,36.0,Haken,Linh
12,02.07.2015 17:00:48:249,-114.0,-680.0,309.0,127.45,-14.91,-54.0,0.0,0.0,0.0,36.0,Haken,Linh
13,02.07.2015 17:00:48:265,36.0,-877.0,328.0,127.58,-14.48,-54.52,0.0,0.0,0.0,45.0,Haken,Linh
14,02.07.2015 17:00:48:278,75.0,-771.0,536.0,127.69,-13.99,-55.0,0.0,0.0,0.0,38.0,Haken,Linh
15,02.07.2015 17:00:48:294,130.0,-748.0,810.0,127.77,-13.42,-55.56,0.0,0.0,0.0,38.0,Haken,Linh
16,02.07.2015 17:00:48:310,400.0,-999.0,907.0,127.82,-12.87,-56.18,0.0,0.0,0.0,38.0,Haken,Linh
17,02.07.2015 17:00:48:323,732.0,-1235.0,944.0,127.88,-12.36,-56.74,0.0,0.0,0.0,40.0,Haken,Linh
18,02.07.2015 17:00:48:339,1069.0,-1164.0,950.0,127.93,-11.83,-57.23,0.0,0.0,0.0,37.0,Haken,Linh
19,02.07.2015 17:00:48:356,1356.0,-946.0,953.0,127.8,-11.23,-57.58,0.0,0.0,0.0,41.0,Haken,Linh
20,02.07.2015 17:00:48:368,1605.0,-1009.0,965.0,127.44,-10.68,-57.77,0.0,0.0,0.0,42.0,Haken,Linh
21,02.07.2015 17:00:48:384,1742.0,-1204.0,1037.0,126.96,-10.26,-57.79,0.0,0.0,0.0,42.0,Haken,Linh
22,02.07.2015 17:00:48:401,1681.0,-1417.0,1178.0,126.51,-9.96,-57.72,0.0,0.0,0.0,43.0,Haken,Linh
23,02.07.2015 17:00:48:413,1586.0,-1448.0,1225.0,126.15,-9.72,-57.65,0.0,0.0,0.0,41.0,Haken,Linh
