Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:52:11:216,-12.0,-256.0,812.0,-23.53,-24.67,-64.48,0.0,0.0,0.0,0.0,Haken,Martin
1,02.07.2015 16:52:11:232,43.0,-348.0,526.0,-23.66,-24.71,-64.5,0.0,0.0,0.0,0.0,Haken,Martin
2,02.07.2015 16:52:11:248,23.0,-405.0,216.0,-23.83,-24.8,-64.48,0.0,0.0,0.0,0.0,Haken,Martin
3,02.07.2015 16:52:11:261,-60.0,-420.0,-64.0,-24.01,-24.92,-64.41,0.0,0.0,0.0,0.0,Haken,Martin
4,02.07.2015 16:52:11:277,-142.0,-440.0,-325.0,-24.15,-25.0,-64.35,0.0,0.0,0.0,0.0,Haken,Martin
5,02.07.2015 16:52:11:293,-204.0,-428.0,-550.0,-24.26,-25.09,-64.28,0.0,0.0,0.0,0.0,Haken,Martin
6,02.07.2015 16:52:11:306,-170.0,-365.0,-598.0,-24.34,-25.15,-64.19,0.0,0.0,0.0,0.0,Haken,Martin
7,02.07.2015 16:52:11:322,-127.0,-313.0,-647.0,-24.41,-25.22,-64.1,0.0,0.0,0.0,0.0,Haken,Martin
8,02.07.2015 16:52:11:338,-56.0,-263.0,-644.0,-24.44,-25.25,-64.03,0.0,0.0,0.0,0.0,Haken,Martin
9,02.07.2015 16:52:11:351,43.0,-188.0,-539.0,-24.45,-25.25,-63.96,0.0,0.0,0.0,0.0,Haken,Martin
10,02.07.2015 16:52:11:367,97.0,-89.0,-360.0,-24.43,-25.23,-63.92,0.0,0.0,0.0,0.0,Haken,Martin
11,02.07.2015 16:52:11:380,81.0,7.0,-214.0,-24.4,-25.18,-63.92,0.0,0.0,0.0,0.0,Haken,Martin
12,02.07.2015 16:52:11:396,112.0,102.0,-66.0,-24.35,-25.11,-63.96,0.0,0.0,0.0,0.0,Haken,Martin
13,02.07.2015 16:52:11:412,106.0,185.0,22.0,-24.3,-25.01,-64.04,0.0,0.0,0.0,0.0,Haken,Martin
14,02.07.2015 16:52:11:425,-7.0,289.0,66.0,-24.27,-24.93,-64.12,0.0,0.0,0.0,0.0,Haken,Martin
15,02.07.2015 16:52:11:441,-202.0,350.0,9.0,-24.27,-24.87,-64.19,0.0,0.0,0.0,0.0,Haken,Martin
16,02.07.2015 16:52:11:457,-417.0,505.0,113.0,-24.26,-24.8,-64.25,0.0,0.0,0.0,0.0,Haken,Martin
17,02.07.2015 16:52:11:470,-679.0,613.0,270.0,-24.3,-24.77,-64.28,0.0,0.0,0.0,0.0,Haken,Martin
18,02.07.2015 16:52:11:486,-1081.0,828.0,658.0,-24.35,-24.75,-64.29,0.0,0.0,0.0,0.0,Haken,Martin
19,02.07.2015 16:52:11:502,-1364.0,891.0,952.0,-24.49,-24.81,-64.26,0.0,0.0,0.0,0.0,Haken,Martin
20,02.07.2015 16:52:11:519,-1993.0,1030.0,1429.0,-24.71,-24.95,-64.1,0.0,0.0,0.0,0.0,Haken,Martin
21,02.07.2015 16:52:11:531,-2708.0,1139.0,1950.0,-24.99,-25.17,-63.91,0.0,0.0,0.0,0.0,Haken,Martin
22,02.07.2015 16:52:11:547,-3641.0,1213.0,2715.0,-25.38,-25.49,-63.65,0.0,0.0,0.0,0.0,Haken,Martin
23,02.07.2015 16:52:11:564,-4988.0,1135.0,3480.0,-25.96,-26.03,-63.18,0.0,0.0,0.0,0.0,Haken,Martin
24,02.07.2015 16:52:11:576,-6497.0,1000.0,4594.0,-26.72,-26.77,-62.5,0.0,0.0,0.0,0.0,Haken,Martin
25,02.07.2015 16:52:11:593,-7778.0,835.0,5678.0,-27.7,-27.77,-61.59,0.0,0.0,0.0,0.0,Haken,Martin
26,02.07.2015 16:52:11:609,-8301.0,385.0,6748.0,-28.69,-28.83,-60.65,0.0,0.0,0.0,0.0,Haken,Martin
27,02.07.2015 16:52:11:621,-8417.0,-661.0,7591.0,-29.71,-29.93,-59.67,0.0,0.0,0.0,0.0,Haken,Martin
28,02.07.2015 16:52:11:638,-8161.0,-2177.0,8300.0,-30.91,-31.2,-58.54,0.0,0.0,0.0,0.0,Haken,Martin
29,02.07.2015 16:52:11:654,-7641.0,-3982.0,8761.0,-32.4,-32.72,-57.15,0.0,0.0,0.0,0.0,Haken,Martin
30,02.07.2015 16:52:11:666,-6540.0,-6126.0,9347.0,-34.25,-34.45,-55.53,0.0,0.0,0.0,0.0,Haken,Martin
31,02.07.2015 16:52:11:683,-5892.0,-9032.0,8575.0,-36.18,-36.07,-53.92,0.0,0.0,0.0,0.0,Haken,Martin
32,02.07.2015 16:52:11:699,-3887.0,-11754.0,8615.0,-38.18,-37.57,-52.37,0.0,0.0,0.0,0.0,Haken,Martin
33,02.07.2015 16:52:11:711,-2349.0,-14297.0,7735.0,-40.0,-38.64,-51.13,0.0,0.0,0.0,0.0,Haken,Martin
34,02.07.2015 16:52:11:728,190.0,-15924.0,6525.0,-41.76,-39.25,-50.23,0.0,0.0,0.0,0.0,Haken,Martin
35,02.07.2015 16:52:11:744,2273.0,-16844.0,4278.0,-43.54,-39.3,-49.63,0.0,0.0,0.0,0.0,Haken,Martin
36,02.07.2015 16:52:11:756,3840.0,-16948.0,882.0,-45.41,-38.73,-49.31,0.0,0.0,0.0,0.0,Haken,Martin
37,02.07.2015 16:52:11:773,5319.0,-16151.0,-3547.0,-47.06,-37.38,-49.55,0.0,0.0,0.0,0.0,Haken,Martin
38,02.07.2015 16:52:11:785,7934.0,-13805.0,-7933.0,-47.89,-35.03,-50.86,0.0,0.0,0.0,0.0,Haken,Martin
39,02.07.2015 16:52:11:801,11315.0,-10357.0,-10780.0,-47.66,-31.91,-53.26,0.0,0.0,0.0,0.0,Haken,Martin
40,02.07.2015 16:52:11:818,13959.0,-6261.0,-11616.0,-46.36,-28.27,-56.47,0.0,0.0,0.0,0.0,Haken,Martin
41,02.07.2015 16:52:11:834,14987.0,-2518.0,-11087.0,-44.89,-24.46,-59.75,0.0,0.0,0.0,0.0,Haken,Martin
42,02.07.2015 16:52:11:847,14896.0,500.0,-10329.0,-43.64,-20.64,-62.78,0.0,0.0,0.0,0.0,Haken,Martin
43,02.07.2015 16:52:11:863,14168.0,3030.0,-9478.0,-42.83,-16.92,-65.31,0.0,0.0,0.0,0.0,Haken,Martin
44,02.07.2015 16:52:11:875,12876.0,5209.0,-8586.0,-42.56,-13.36,-67.1,0.0,0.0,0.0,0.0,Haken,Martin
45,02.07.2015 16:52:11:892,11466.0,7074.0,-7621.0,-42.76,-9.94,-68.03,0.0,0.0,0.0,0.0,Haken,Martin
46,02.07.2015 16:52:11:908,10379.0,8637.0,-6078.0,-43.05,-6.49,-68.16,0.0,0.0,0.0,0.0,Haken,Martin
47,02.07.2015 16:52:11:924,9465.0,9500.0,-4137.0,-43.72,-3.06,-67.3,0.0,0.0,0.0,0.0,Haken,Martin
48,02.07.2015 16:52:11:937,8236.0,9955.0,-2243.0,-45.58,0.11,-65.25,0.0,0.0,0.0,0.0,Haken,Martin
49,02.07.2015 16:52:11:953,6671.0,10492.0,-837.0,-48.73,2.98,-62.16,0.0,0.0,0.0,0.0,Haken,Martin
50,02.07.2015 16:52:11:965,4843.0,11698.0,-915.0,-52.74,5.49,-58.3,0.0,0.0,0.0,0.0,Haken,Martin
51,02.07.2015 16:52:11:982,2892.0,13605.0,-2371.0,-56.33,7.64,-54.38,0.0,0.0,0.0,0.0,Haken,Martin
52,02.07.2015 16:52:11:998,751.0,15321.0,-4145.0,-58.48,9.14,-51.34,0.0,0.0,0.0,0.0,Haken,Martin
53,02.07.2015 16:52:12:10,-414.0,16355.0,-4840.0,-58.8,10.02,-49.9,0.0,0.0,0.0,0.0,Haken,Martin
54,02.07.2015 16:52:12:27,-309.0,16442.0,-4195.0,-58.02,10.51,-49.72,0.0,0.0,0.0,0.0,Haken,Martin
55,02.07.2015 16:52:12:43,434.0,15566.0,-3520.0,-57.0,10.6,-50.21,0.0,0.0,0.0,0.0,Haken,Martin
56,02.07.2015 16:52:12:56,1565.0,14105.0,-3245.0,-56.1,10.3,-51.02,0.0,0.0,0.0,0.0,Haken,Martin
57,02.07.2015 16:52:12:72,1979.0,12468.0,-3659.0,-55.34,9.68,-52.03,0.0,0.0,0.0,0.0,Haken,Martin
58,02.07.2015 16:52:12:88,1999.0,11296.0,-4504.0,-54.98,9.01,-53.03,0.0,0.0,0.0,0.0,Haken,Martin
59,02.07.2015 16:52:12:100,1997.0,9881.0,-4748.0,-54.21,8.22,-54.6,0.0,0.0,0.0,0.0,Haken,Martin
60,02.07.2015 16:52:12:117,2320.0,8691.0,-4846.0,-52.93,7.51,-56.38,0.0,0.0,0.0,0.0,Haken,Martin
61,02.07.2015 16:52:12:133,3435.0,7598.0,-4317.0,-50.74,6.69,-58.39,0.0,0.0,0.0,0.0,Haken,Martin
62,02.07.2015 16:52:12:146,4457.0,6054.0,-3490.0,-47.44,5.42,-60.57,0.0,0.0,0.0,0.0,Haken,Martin
63,02.07.2015 16:52:12:162,4650.0,3925.0,-1878.0,-44.31,3.56,-62.33,0.0,0.0,0.0,0.0,Haken,Martin
