Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:56:24:489,657.0,-448.0,-1029.0,6.78,-12.71,-48.12,0.0,0.0,0.0,373.0,Haken,Nils
1,02.07.2015 16:56:24:501,745.0,-428.0,-958.0,6.94,-12.49,-48.7,0.0,0.0,0.0,343.0,Haken,Nils
2,02.07.2015 16:56:24:517,768.0,-381.0,-831.0,7.09,-12.28,-49.36,0.0,0.0,0.0,339.0,Haken,Nils
3,02.07.2015 16:56:24:534,1070.0,-481.0,-870.0,7.27,-12.01,-50.09,0.0,0.0,0.0,362.0,Haken,Nils
4,02.07.2015 16:56:24:546,1496.0,-758.0,-946.0,7.41,-11.79,-50.89,0.0,0.0,0.0,384.0,Haken,Nils
5,02.07.2015 16:56:24:562,1658.0,-819.0,-777.0,7.46,-11.75,-51.68,0.0,0.0,0.0,341.0,Haken,Nils
6,02.07.2015 16:56:24:579,1723.0,-790.0,-597.0,7.56,-11.73,-52.48,0.0,0.0,0.0,274.0,Haken,Nils
7,02.07.2015 16:56:24:591,1875.0,-817.0,-607.0,7.76,-11.67,-53.32,0.0,0.0,0.0,214.0,Haken,Nils
8,02.07.2015 16:56:24:608,1931.0,-701.0,-560.0,7.96,-11.67,-54.13,0.0,0.0,0.0,138.0,Haken,Nils
9,02.07.2015 16:56:24:624,1926.0,-657.0,-377.0,8.24,-11.66,-54.96,0.0,0.0,0.0,0.0,Haken,Nils
10,02.07.2015 16:56:24:636,1805.0,-329.0,-239.0,8.72,-11.57,-55.73,0.0,0.0,0.0,0.0,Haken,Nils
11,02.07.2015 16:56:24:653,1853.0,-58.0,-245.0,9.35,-11.38,-56.44,0.0,0.0,0.0,0.0,Haken,Nils
12,02.07.2015 16:56:24:669,1957.0,106.0,-206.0,10.08,-11.16,-57.05,0.0,0.0,0.0,0.0,Haken,Nils
13,02.07.2015 16:56:24:681,1933.0,151.0,-21.0,10.92,-10.96,-57.53,0.0,0.0,0.0,0.0,Haken,Nils
14,02.07.2015 16:56:24:698,1598.0,512.0,225.0,11.91,-10.81,-57.77,0.0,0.0,0.0,0.0,Haken,Nils
15,02.07.2015 16:56:24:714,1116.0,880.0,482.0,13.11,-10.66,-57.71,0.0,0.0,0.0,0.0,Haken,Nils
16,02.07.2015 16:56:24:726,750.0,1021.0,808.0,14.63,-10.39,-57.4,0.0,0.0,0.0,0.0,Haken,Nils
17,02.07.2015 16:56:24:743,217.0,1336.0,1333.0,16.54,-10.16,-56.63,0.0,0.0,0.0,0.0,Haken,Nils
18,02.07.2015 16:56:24:759,-915.0,2316.0,1899.0,18.83,-10.17,-55.12,0.0,0.0,0.0,0.0,Haken,Nils
19,02.07.2015 16:56:24:771,-2302.0,3869.0,1866.0,21.34,-10.35,-52.94,0.0,0.0,0.0,0.0,Haken,Nils
20,02.07.2015 16:56:24:788,-3541.0,5375.0,1462.0,23.7,-10.61,-50.51,0.0,0.0,0.0,0.0,Haken,Nils
21,02.07.2015 16:56:24:804,-4644.0,6791.0,1275.0,25.57,-11.02,-48.15,0.0,0.0,0.0,0.0,Haken,Nils
22,02.07.2015 16:56:24:816,-5766.0,7477.0,1536.0,26.68,-11.73,-46.06,0.0,0.0,0.0,0.0,Haken,Nils
23,02.07.2015 16:56:24:833,-7031.0,7405.0,1985.0,27.04,-12.78,-44.34,0.0,0.0,0.0,0.0,Haken,Nils
24,02.07.2015 16:56:24:849,-8762.0,7158.0,2545.0,26.49,-14.35,-43.05,0.0,0.0,0.0,0.0,Haken,Nils
25,02.07.2015 16:56:24:862,-10395.0,6030.0,3678.0,24.97,-16.36,-41.99,0.0,0.0,0.0,0.0,Haken,Nils
