Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:49:11:397,-333.0,-150.0,-107.0,-25.1,-26.25,-62.0,0.0,0.0,0.0,0.0,Haken,Sebastian
1,02.07.2015 16:49:11:409,-365.0,-137.0,-166.0,-25.11,-26.27,-61.98,0.0,0.0,0.0,0.0,Haken,Sebastian
2,02.07.2015 16:49:11:426,-353.0,-145.0,-203.0,-25.11,-26.28,-61.97,0.0,0.0,0.0,0.0,Haken,Sebastian
3,02.07.2015 16:49:11:442,-310.0,-142.0,-208.0,-25.12,-26.28,-61.97,0.0,0.0,0.0,0.0,Haken,Sebastian
4,02.07.2015 16:49:11:454,-275.0,-131.0,-215.0,-25.12,-26.28,-61.98,0.0,0.0,0.0,0.0,Haken,Sebastian
5,02.07.2015 16:49:11:471,-217.0,-128.0,-233.0,-25.12,-26.29,-61.99,0.0,0.0,0.0,0.0,Haken,Sebastian
6,02.07.2015 16:49:11:483,-157.0,-134.0,-254.0,-25.13,-26.29,-61.99,0.0,0.0,0.0,0.0,Haken,Sebastian
7,02.07.2015 16:49:11:500,-129.0,-98.0,-231.0,-25.12,-26.28,-62.01,0.0,0.0,0.0,0.0,Haken,Sebastian
8,02.07.2015 16:49:11:516,-94.0,-62.0,-213.0,-25.1,-26.25,-62.03,0.0,0.0,0.0,0.0,Haken,Sebastian
9,02.07.2015 16:49:11:528,-46.0,-60.0,-215.0,-25.05,-26.2,-62.07,0.0,0.0,0.0,0.0,Haken,Sebastian
10,02.07.2015 16:49:11:544,8.0,-63.0,-200.0,-24.99,-26.15,-62.12,0.0,0.0,0.0,0.0,Haken,Sebastian
11,02.07.2015 16:49:11:561,13.0,-61.0,-223.0,-24.94,-26.1,-62.16,0.0,0.0,0.0,0.0,Haken,Sebastian
12,02.07.2015 16:49:11:573,-19.0,-43.0,-249.0,-24.9,-26.06,-62.19,0.0,0.0,0.0,0.0,Haken,Sebastian
13,02.07.2015 16:49:11:590,-44.0,-34.0,-291.0,-24.86,-26.02,-62.24,0.0,0.0,0.0,0.0,Haken,Sebastian
14,02.07.2015 16:49:11:606,-34.0,-27.0,-322.0,-24.83,-25.98,-62.29,0.0,0.0,0.0,0.0,Haken,Sebastian
15,02.07.2015 16:49:11:618,-3.0,-28.0,-363.0,-24.79,-25.94,-62.35,0.0,0.0,0.0,0.0,Haken,Sebastian
16,02.07.2015 16:49:11:634,17.0,6.0,-400.0,-24.74,-25.88,-62.4,0.0,0.0,0.0,0.0,Haken,Sebastian
17,02.07.2015 16:49:11:651,69.0,7.0,-485.0,-24.65,-25.79,-62.48,0.0,0.0,0.0,0.0,Haken,Sebastian
18,02.07.2015 16:49:11:663,183.0,-11.0,-568.0,-24.49,-25.65,-62.61,0.0,0.0,0.0,0.0,Haken,Sebastian
19,02.07.2015 16:49:11:680,298.0,0.0,-666.0,-24.29,-25.47,-62.76,0.0,0.0,0.0,0.0,Haken,Sebastian
