Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:42:12:567,-585.0,637.0,-2203.0,-95.97,-37.96,-35.57,0.0,0.0,0.0,14.0,Haken,Wadim
1,02.07.2015 16:42:12:580,-188.0,647.0,-913.0,-95.44,-37.71,-36.55,0.0,0.0,0.0,13.0,Haken,Wadim
2,02.07.2015 16:42:12:596,325.0,813.0,514.0,-94.73,-37.6,-37.49,0.0,0.0,0.0,14.0,Haken,Wadim
3,02.07.2015 16:42:12:612,616.0,1096.0,1468.0,-93.95,-37.6,-38.18,0.0,0.0,0.0,12.0,Haken,Wadim
4,02.07.2015 16:42:12:625,496.0,1464.0,1572.0,-93.28,-37.65,-38.51,0.0,0.0,0.0,14.0,Haken,Wadim
5,02.07.2015 16:42:12:641,-82.0,1469.0,205.0,-92.66,-37.66,-38.56,0.0,0.0,0.0,12.0,Haken,Wadim
6,02.07.2015 16:42:12:657,-1108.0,1059.0,-1909.0,-91.91,-37.6,-38.56,0.0,0.0,0.0,6.0,Haken,Wadim
7,02.07.2015 16:42:12:670,-2473.0,361.0,-4469.0,-90.97,-37.28,-38.77,0.0,0.0,0.0,3.0,Haken,Wadim
8,02.07.2015 16:42:12:686,-3684.0,-120.0,-7135.0,-89.68,-36.47,-39.55,0.0,0.0,0.0,4.0,Haken,Wadim
9,02.07.2015 16:42:12:702,-4268.0,-156.0,-9500.0,-87.68,-35.03,-41.19,0.0,0.0,0.0,3.0,Haken,Wadim
10,02.07.2015 16:42:12:715,-4228.0,472.0,-10846.0,-84.93,-32.88,-43.67,0.0,0.0,0.0,3.0,Haken,Wadim
11,02.07.2015 16:42:12:731,-3458.0,1548.0,-11240.0,-81.49,-30.04,-46.73,0.0,0.0,0.0,3.0,Haken,Wadim
12,02.07.2015 16:42:12:747,-2662.0,2583.0,-10823.0,-77.27,-26.6,-50.04,0.0,0.0,0.0,2.0,Haken,Wadim
13,02.07.2015 16:42:12:760,-1761.0,3447.0,-10077.0,-72.56,-22.75,-53.43,0.0,0.0,0.0,0.0,Haken,Wadim
14,02.07.2015 16:42:12:776,-767.0,3680.0,-8292.0,-67.13,-18.69,-56.84,0.0,0.0,0.0,12.0,Haken,Wadim
15,02.07.2015 16:42:12:789,-90.0,2942.0,-5598.0,-61.3,-14.67,-60.08,0.0,0.0,0.0,17.0,Haken,Wadim
16,02.07.2015 16:42:12:805,591.0,1518.0,-2054.0,-55.43,-10.9,-63.07,0.0,0.0,0.0,4.0,Haken,Wadim
17,02.07.2015 16:42:12:821,1061.0,-526.0,1394.0,-49.9,-7.62,-65.49,0.0,0.0,0.0,15.0,Haken,Wadim
18,02.07.2015 16:42:12:834,1017.0,-2886.0,3856.0,-44.75,-4.93,-67.46,0.0,0.0,0.0,31.0,Haken,Wadim
