Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:44:46:218,-305.0,838.0,-816.0,-169.08,-29.11,-36.65,0.0,0.0,0.0,19.0,Punch,Christian
1,02.07.2015 16:44:46:230,-334.0,644.0,-936.0,-169.17,-29.13,-36.55,0.0,0.0,0.0,20.0,Punch,Christian
2,02.07.2015 16:44:46:246,-332.0,520.0,-961.0,-169.32,-29.15,-36.51,0.0,0.0,0.0,19.0,Punch,Christian
3,02.07.2015 16:44:46:263,-324.0,533.0,-950.0,-169.42,-29.11,-36.52,0.0,0.0,0.0,20.0,Punch,Christian
4,02.07.2015 16:44:46:275,-349.0,463.0,-997.0,-169.45,-29.05,-36.53,0.0,0.0,0.0,20.0,Punch,Christian
5,02.07.2015 16:44:46:291,-402.0,460.0,-1043.0,-169.49,-29.0,-36.57,0.0,0.0,0.0,20.0,Punch,Christian
6,02.07.2015 16:44:46:308,-438.0,544.0,-937.0,-169.58,-28.96,-36.67,0.0,0.0,0.0,19.0,Punch,Christian
7,02.07.2015 16:44:46:320,-411.0,636.0,-767.0,-169.65,-28.9,-36.78,0.0,0.0,0.0,20.0,Punch,Christian
8,02.07.2015 16:44:46:336,-377.0,726.0,-669.0,-169.69,-28.8,-36.92,0.0,0.0,0.0,20.0,Punch,Christian
9,02.07.2015 16:44:46:353,-363.0,701.0,-613.0,-169.65,-28.71,-37.03,0.0,0.0,0.0,19.0,Punch,Christian
10,02.07.2015 16:44:46:365,-274.0,554.0,-619.0,-169.57,-28.65,-37.07,0.0,0.0,0.0,19.0,Punch,Christian
11,02.07.2015 16:44:46:381,-168.0,383.0,-598.0,-169.53,-28.6,-37.1,0.0,0.0,0.0,19.0,Punch,Christian
12,02.07.2015 16:44:46:398,-74.0,273.0,-592.0,-169.49,-28.5,-37.17,0.0,0.0,0.0,19.0,Punch,Christian
13,02.07.2015 16:44:46:410,-38.0,257.0,-554.0,-169.36,-28.35,-37.26,0.0,0.0,0.0,17.0,Punch,Christian
14,02.07.2015 16:44:46:427,35.0,80.0,-485.0,-169.14,-28.19,-37.28,0.0,0.0,0.0,20.0,Punch,Christian
15,02.07.2015 16:44:46:443,175.0,-210.0,-297.0,-168.91,-28.05,-37.28,0.0,0.0,0.0,19.0,Punch,Christian
16,02.07.2015 16:44:46:455,395.0,-523.0,-50.0,-168.67,-27.92,-37.27,0.0,0.0,0.0,20.0,Punch,Christian
17,02.07.2015 16:44:46:472,710.0,-959.0,269.0,-168.41,-27.81,-37.22,0.0,0.0,0.0,20.0,Punch,Christian
18,02.07.2015 16:44:46:488,1156.0,-1611.0,817.0,-168.16,-27.7,-37.12,0.0,0.0,0.0,19.0,Punch,Christian
19,02.07.2015 16:44:46:500,1727.0,-2466.0,1610.0,-167.9,-27.59,-36.93,0.0,0.0,0.0,20.0,Punch,Christian
20,02.07.2015 16:44:46:517,2432.0,-3407.0,2635.0,-167.62,-27.5,-36.63,0.0,0.0,0.0,19.0,Punch,Christian
21,02.07.2015 16:44:46:533,3292.0,-4011.0,4047.0,-167.28,-27.44,-36.16,0.0,0.0,0.0,17.0,Punch,Christian
22,02.07.2015 16:44:46:545,4400.0,-4450.0,5956.0,-166.46,-27.38,-35.17,0.0,0.0,0.0,19.0,Punch,Christian
23,02.07.2015 16:44:46:562,5393.0,-4754.0,7635.0,-164.66,-27.31,-33.23,0.0,0.0,0.0,20.0,Punch,Christian
24,02.07.2015 16:44:46:578,6337.0,-5134.0,8110.0,-161.61,-26.95,-30.06,0.0,0.0,0.0,18.0,Punch,Christian
25,02.07.2015 16:44:46:591,7293.0,-6227.0,6974.0,-157.75,-26.44,-25.62,0.0,0.0,0.0,19.0,Punch,Christian
26,02.07.2015 16:44:46:607,7937.0,-8077.0,4911.0,-153.91,-25.88,-20.45,0.0,0.0,0.0,18.0,Punch,Christian
27,02.07.2015 16:44:46:623,7899.0,-10793.0,2573.0,-150.45,-25.35,-14.87,0.0,0.0,0.0,19.0,Punch,Christian
28,02.07.2015 16:44:46:636,6824.0,-14605.0,471.0,-147.64,-24.88,-9.19,0.0,0.0,0.0,19.0,Punch,Christian
29,02.07.2015 16:44:46:652,5738.0,-17331.0,-710.0,-145.55,-24.14,-5.13,0.0,0.0,0.0,0.0,Punch,Christian
30,02.07.2015 16:44:46:668,4687.0,-19312.0,-1826.0,-143.57,-22.96,-3.5,0.0,0.0,0.0,0.0,Punch,Christian
31,02.07.2015 16:44:46:681,3168.0,-18537.0,-4257.0,-140.98,-20.6,-3.81,0.0,0.0,0.0,0.0,Punch,Christian
32,02.07.2015 16:44:46:697,217.0,-13619.0,-7580.0,-137.1,-17.0,-4.95,0.0,0.0,0.0,0.0,Punch,Christian
33,02.07.2015 16:44:46:713,-4434.0,-5511.0,-11455.0,-132.55,-11.79,-5.83,0.0,0.0,0.0,0.0,Punch,Christian
34,02.07.2015 16:44:46:726,-7255.0,854.0,-14423.0,-128.19,-6.55,-5.05,0.0,0.0,0.0,0.0,Punch,Christian
35,02.07.2015 16:44:46:742,-8646.0,5649.0,-15990.0,-123.47,-1.93,-4.7,0.0,0.0,0.0,0.0,Punch,Christian
36,02.07.2015 16:44:46:754,-5426.0,11141.0,-13302.0,-118.16,2.08,-6.93,0.0,0.0,0.0,0.0,Punch,Christian
37,02.07.2015 16:44:46:771,79.0,15161.0,-7991.0,-114.27,6.05,-11.04,0.0,0.0,0.0,0.0,Punch,Christian
38,02.07.2015 16:44:46:787,3251.0,17002.0,-4484.0,-113.37,9.16,-13.08,0.0,0.0,0.0,24.0,Punch,Christian
39,02.07.2015 16:44:46:799,630.0,15859.0,-5642.0,-115.03,9.38,-11.7,0.0,0.0,0.0,0.0,Punch,Christian
40,02.07.2015 16:44:46:816,-5309.0,7597.0,-5479.0,-117.66,7.44,-8.72,0.0,0.0,0.0,0.0,Punch,Christian
41,02.07.2015 16:44:46:832,-9454.0,2730.0,-5501.0,-118.98,6.64,-7.27,0.0,0.0,0.0,0.0,Punch,Christian
42,02.07.2015 16:44:46:844,-11199.0,316.0,-5290.0,-118.62,6.69,-6.94,0.0,0.0,0.0,0.0,Punch,Christian
43,02.07.2015 16:44:46:861,-9386.0,14.0,-4427.0,-117.6,6.99,-7.59,0.0,0.0,0.0,0.0,Punch,Christian
44,02.07.2015 16:44:46:877,-6602.0,1461.0,-3158.0,-116.76,7.9,-8.4,0.0,0.0,0.0,0.0,Punch,Christian
45,02.07.2015 16:44:46:889,-3807.0,3620.0,-1607.0,-116.28,8.95,-9.04,0.0,0.0,0.0,0.0,Punch,Christian
46,02.07.2015 16:44:46:906,-2410.0,4679.0,-354.0,-116.02,9.68,-8.9,0.0,0.0,0.0,17.0,Punch,Christian
47,02.07.2015 16:44:46:922,-2609.0,4678.0,241.0,-115.97,10.13,-8.38,0.0,0.0,0.0,0.0,Punch,Christian
48,02.07.2015 16:44:46:934,-3062.0,4538.0,590.0,-116.01,10.41,-8.0,0.0,0.0,0.0,0.0,Punch,Christian
49,02.07.2015 16:44:46:951,-3482.0,4579.0,704.0,-116.16,10.56,-7.74,0.0,0.0,0.0,0.0,Punch,Christian
50,02.07.2015 16:44:46:967,-4262.0,4437.0,609.0,-116.6,10.47,-7.59,0.0,0.0,0.0,0.0,Punch,Christian
51,02.07.2015 16:44:46:980,-4864.0,4295.0,509.0,-117.35,10.36,-7.93,0.0,0.0,0.0,0.0,Punch,Christian
52,02.07.2015 16:44:46:996,-5461.0,4587.0,264.0,-118.43,10.28,-8.79,0.0,0.0,0.0,0.0,Punch,Christian
53,02.07.2015 16:44:47:12,-5858.0,5290.0,46.0,-119.94,10.12,-10.22,0.0,0.0,0.0,0.0,Punch,Christian
54,02.07.2015 16:44:47:25,-6176.0,6136.0,-224.0,-121.83,9.81,-12.15,0.0,0.0,0.0,0.0,Punch,Christian
55,02.07.2015 16:44:47:41,-6277.0,7431.0,-499.0,-124.16,9.32,-14.65,0.0,0.0,0.0,1.0,Punch,Christian
56,02.07.2015 16:44:47:57,-6472.0,8134.0,-868.0,-126.92,8.42,-17.32,0.0,0.0,0.0,1.0,Punch,Christian
57,02.07.2015 16:44:47:70,-6326.0,8545.0,-1372.0,-130.21,7.2,-20.28,0.0,0.0,0.0,0.0,Punch,Christian
58,02.07.2015 16:44:47:86,-6273.0,8837.0,-2049.0,-134.04,5.81,-23.43,0.0,0.0,0.0,0.0,Punch,Christian
59,02.07.2015 16:44:47:102,-6235.0,9390.0,-2641.0,-138.52,4.33,-26.88,0.0,0.0,0.0,1.0,Punch,Christian
60,02.07.2015 16:44:47:115,-6000.0,9512.0,-2908.0,-143.22,2.74,-30.19,0.0,0.0,0.0,0.0,Punch,Christian
61,02.07.2015 16:44:47:131,-5551.0,9464.0,-2987.0,-147.82,1.19,-33.37,0.0,0.0,0.0,0.0,Punch,Christian
62,02.07.2015 16:44:47:147,-5182.0,9339.0,-3190.0,-151.97,-0.35,-35.94,0.0,0.0,0.0,0.0,Punch,Christian
63,02.07.2015 16:44:47:160,-4667.0,8750.0,-3443.0,-155.69,-2.06,-37.94,0.0,0.0,0.0,0.0,Punch,Christian
64,02.07.2015 16:44:47:176,-4169.0,7611.0,-4063.0,-159.11,-3.98,-39.24,0.0,0.0,0.0,0.0,Punch,Christian
65,02.07.2015 16:44:47:192,-3116.0,5722.0,-4518.0,-162.46,-6.34,-40.07,0.0,0.0,0.0,2.0,Punch,Christian
