Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Class,Person
0,18.06.2015 15:49:25:468,87.0,344.0,185.0,151.0,82.0,107.0,Punch,Christian
1,18.06.2015 15:49:25:571,416.0,44.0,496.0,54.0,465.0,37.0,Punch,Christian
2,18.06.2015 15:49:25:672,161.0,413.0,85.0,364.0,95.0,329.0,Punch,Christian
3,18.06.2015 15:49:25:774,441.0,266.0,418.0,77.0,29.0,204.0,Punch,Christian
4,18.06.2015 15:49:25:877,102.0,171.0,243.0,116.0,86.0,243.0,Punch,Christian
5,18.06.2015 15:49:25:978,498.0,54.0,26.0,214.0,442.0,455.0,Punch,Christian
6,18.06.2015 15:49:26:079,285.0,386.0,393.0,84.0,81.0,296.0,Punch,Christian
7,18.06.2015 15:49:26:179,469.0,339.0,221.0,347.0,275.0,212.0,Punch,Christian
8,18.06.2015 15:49:26:283,279.0,317.0,261.0,103.0,323.0,280.0,Punch,Christian
9,18.06.2015 15:49:26:387,12.0,103.0,168.0,153.0,256.0,425.0,Punch,Christian
10,18.06.2015 15:49:26:492,65.0,420.0,89.0,418.0,1.0,435.0,Punch,Christian
11,18.06.2015 15:49:26:592,105.0,304.0,192.0,312.0,22.0,59.0,Punch,Christian
12,18.06.2015 15:49:26:696,140.0,93.0,299.0,475.0,250.0,460.0,Punch,Christian
13,18.06.2015 15:49:26:801,74.0,400.0,98.0,409.0,239.0,95.0,Punch,Christian
14,18.06.2015 15:49:26:903,473.0,105.0,79.0,342.0,63.0,470.0,Punch,Christian
15,18.06.2015 15:49:27:007,172.0,238.0,385.0,471.0,160.0,141.0,Punch,Christian
16,18.06.2015 15:49:27:109,194.0,487.0,403.0,292.0,285.0,254.0,Punch,Christian
17,18.06.2015 15:49:27:213,432.0,69.0,510.0,468.0,413.0,101.0,Punch,Christian
18,18.06.2015 15:49:27:318,7.0,341.0,200.0,458.0,275.0,208.0,Punch,Christian
19,18.06.2015 15:49:27:421,207.0,457.0,393.0,194.0,52.0,229.0,Punch,Christian
20,18.06.2015 15:49:27:521,96.0,330.0,146.0,261.0,217.0,492.0,Punch,Christian
21,18.06.2015 15:49:27:622,23.0,83.0,258.0,405.0,92.0,64.0,Punch,Christian
22,18.06.2015 15:49:27:725,130.0,250.0,461.0,110.0,300.0,103.0,Punch,Christian
23,18.06.2015 15:49:27:830,235.0,104.0,152.0,347.0,58.0,39.0,Punch,Christian
24,18.06.2015 15:49:27:935,396.0,449.0,357.0,84.0,198.0,266.0,Punch,Christian
25,18.06.2015 15:49:28:039,332.0,335.0,47.0,410.0,15.0,47.0,Punch,Christian
26,18.06.2015 15:49:28:144,490.0,296.0,143.0,16.0,11.0,322.0,Punch,Christian
27,18.06.2015 15:49:28:249,34.0,310.0,252.0,162.0,166.0,399.0,Punch,Christian
28,18.06.2015 15:49:28:352,232.0,79.0,245.0,226.0,142.0,34.0,Punch,Christian
29,18.06.2015 15:49:28:457,386.0,21.0,473.0,189.0,127.0,388.0,Punch,Christian
30,18.06.2015 15:49:28:561,344.0,394.0,484.0,245.0,243.0,226.0,Punch,Christian
31,18.06.2015 15:49:28:666,305.0,403.0,449.0,16.0,254.0,475.0,Punch,Christian
32,18.06.2015 15:49:28:767,114.0,477.0,345.0,284.0,103.0,211.0,Punch,Christian
33,18.06.2015 15:49:28:871,52.0,134.0,250.0,319.0,95.0,376.0,Punch,Christian
34,18.06.2015 15:49:28:976,158.0,54.0,120.0,369.0,356.0,36.0,Punch,Christian
35,18.06.2015 15:49:29:080,440.0,274.0,308.0,215.0,165.0,52.0,Punch,Christian
36,18.06.2015 15:49:29:182,25.0,333.0,57.0,168.0,483.0,316.0,Punch,Christian
37,18.06.2015 15:49:29:287,61.0,153.0,176.0,257.0,25.0,485.0,Punch,Christian
38,18.06.2015 15:49:29:395,495.0,438.0,54.0,432.0,165.0,381.0,Punch,Christian
39,18.06.2015 15:49:29:499,330.0,445.0,214.0,99.0,227.0,154.0,Punch,Christian
40,18.06.2015 15:49:29:607,73.0,133.0,367.0,14.0,474.0,108.0,Punch,Christian
41,18.06.2015 15:49:29:711,182.0,422.0,299.0,231.0,251.0,356.0,Punch,Christian
42,18.06.2015 15:49:29:813,226.0,240.0,391.0,286.0,46.0,509.0,Punch,Christian
43,18.06.2015 15:49:29:918,353.0,201.0,311.0,302.0,324.0,472.0,Punch,Christian
44,18.06.2015 15:49:30:019,418.0,65.0,91.0,419.0,157.0,64.0,Punch,Christian
45,18.06.2015 15:49:30:124,403.0,242.0,176.0,290.0,368.0,79.0,Punch,Christian
46,18.06.2015 15:49:30:228,472.0,156.0,215.0,314.0,396.0,238.0,Punch,Christian
47,18.06.2015 15:49:30:334,256.0,359.0,192.0,229.0,390.0,256.0,Punch,Christian
48,18.06.2015 15:49:30:438,92.0,272.0,415.0,268.0,427.0,130.0,Punch,Christian
49,18.06.2015 15:49:30:544,422.0,202.0,399.0,332.0,393.0,154.0,Punch,Christian
50,18.06.2015 15:49:30:644,242.0,72.0,437.0,207.0,139.0,486.0,Punch,Christian
51,18.06.2015 15:49:30:749,157.0,36.0,187.0,339.0,284.0,33.0,Punch,Christian
52,18.06.2015 15:49:30:855,439.0,19.0,499.0,85.0,361.0,386.0,Punch,Christian
53,18.06.2015 15:49:30:959,271.0,481.0,148.0,339.0,246.0,459.0,Punch,Christian
