Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:36:28:134,-123.0,-106.0,-455.0,76.52,7.3,-29.49,0.0,0.0,345.0,0.0,Punch,Christoph(Test)
1,02.07.2015 16:36:28:146,111.0,-133.0,-558.0,76.43,7.48,-29.22,0.0,0.0,346.0,0.0,Punch,Christoph(Test)
2,02.07.2015 16:36:28:162,213.0,-164.0,-661.0,76.33,7.63,-29.07,0.0,0.0,350.0,0.0,Punch,Christoph(Test)
3,02.07.2015 16:36:28:179,219.0,-155.0,-789.0,76.23,7.74,-28.99,0.0,0.0,349.0,0.0,Punch,Christoph(Test)
4,02.07.2015 16:36:28:191,208.0,12.0,-896.0,76.14,7.82,-28.95,0.0,0.0,348.0,0.0,Punch,Christoph(Test)
5,02.07.2015 16:36:28:207,167.0,92.0,-932.0,76.05,7.97,-28.92,0.0,0.0,349.0,0.0,Punch,Christoph(Test)
6,02.07.2015 16:36:28:224,-46.0,-90.0,-728.0,75.94,8.18,-28.95,0.0,0.0,332.0,0.0,Punch,Christoph(Test)
7,02.07.2015 16:36:28:236,-259.0,-299.0,-502.0,75.87,8.37,-28.88,0.0,0.0,312.0,0.0,Punch,Christoph(Test)
8,02.07.2015 16:36:28:253,-340.0,-316.0,-411.0,75.85,8.49,-28.67,0.0,0.0,314.0,0.0,Punch,Christoph(Test)
9,02.07.2015 16:36:28:269,-217.0,-160.0,-538.0,75.83,8.57,-28.36,0.0,0.0,330.0,0.0,Punch,Christoph(Test)
10,02.07.2015 16:36:28:281,32.0,0.0,-785.0,75.78,8.67,-28.04,0.0,0.0,323.0,0.0,Punch,Christoph(Test)
11,02.07.2015 16:36:28:298,207.0,55.0,-976.0,75.69,8.8,-27.85,0.0,0.0,327.0,0.0,Punch,Christoph(Test)
12,02.07.2015 16:36:28:314,313.0,50.0,-1096.0,75.55,8.97,-27.79,0.0,0.0,331.0,0.0,Punch,Christoph(Test)
13,02.07.2015 16:36:28:326,336.0,25.0,-1063.0,75.4,9.12,-27.86,0.0,0.0,319.0,0.0,Punch,Christoph(Test)
14,02.07.2015 16:36:28:343,295.0,-72.0,-957.0,75.23,9.26,-27.99,0.0,0.0,324.0,0.0,Punch,Christoph(Test)
15,02.07.2015 16:36:28:355,26.0,-97.0,-650.0,75.08,9.37,-28.11,0.0,0.0,316.0,0.0,Punch,Christoph(Test)
16,02.07.2015 16:36:28:371,-243.0,-151.0,-383.0,74.99,9.49,-28.07,0.0,0.0,307.0,0.0,Punch,Christoph(Test)
17,02.07.2015 16:36:28:388,-261.0,-229.0,-285.0,75.01,9.64,-27.79,0.0,0.0,317.0,0.0,Punch,Christoph(Test)
18,02.07.2015 16:36:28:400,-58.0,-175.0,-403.0,75.1,9.78,-27.33,0.0,0.0,319.0,0.0,Punch,Christoph(Test)
