Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:36:52:221,292.0,-801.0,-188.0,-18.8,-41.67,-48.28,0.0,0.0,0.0,20.0,Punch,Christoph
1,02.07.2015 16:36:52:238,277.0,-903.0,-279.0,-17.59,-41.61,-48.35,0.0,0.0,0.0,20.0,Punch,Christoph
2,02.07.2015 16:36:52:250,229.0,-992.0,-458.0,-16.65,-41.49,-48.46,0.0,0.0,0.0,20.0,Punch,Christoph
3,02.07.2015 16:36:52:266,147.0,-1073.0,-613.0,-16.93,-41.34,-48.62,0.0,0.0,0.0,19.0,Punch,Christoph
4,02.07.2015 16:36:52:283,42.0,-1249.0,-664.0,-19.2,-41.13,-48.84,0.0,0.0,0.0,19.0,Punch,Christoph
5,02.07.2015 16:36:52:295,-71.0,-1578.0,-528.0,-23.71,-40.85,-49.14,0.0,0.0,0.0,16.0,Punch,Christoph
6,02.07.2015 16:36:52:311,-170.0,-2119.0,-12.0,-30.29,-40.44,-49.56,0.0,0.0,0.0,8.0,Punch,Christoph
7,02.07.2015 16:36:52:328,-366.0,-2675.0,783.0,-36.16,-39.9,-50.1,0.0,0.0,0.0,0.0,Punch,Christoph
8,02.07.2015 16:36:52:340,-746.0,-2931.0,1852.0,-38.99,-39.31,-50.69,0.0,0.0,0.0,0.0,Punch,Christoph
9,02.07.2015 16:36:52:356,-1181.0,-2462.0,2969.0,-35.04,-38.7,-51.3,0.0,0.0,0.0,0.0,Punch,Christoph
10,02.07.2015 16:36:52:373,-1551.0,-692.0,4171.0,-19.79,-38.3,-51.69,0.0,0.0,0.0,0.0,Punch,Christoph
11,02.07.2015 16:36:52:385,-2122.0,2117.0,5450.0,8.64,-38.39,-51.57,0.0,0.0,0.0,0.0,Punch,Christoph
12,02.07.2015 16:36:52:402,-2778.0,4077.0,6482.0,39.4,-38.91,-50.95,0.0,0.0,0.0,0.0,Punch,Christoph
13,02.07.2015 16:36:52:414,-3147.0,5148.0,7232.0,59.58,-39.58,-49.96,0.0,0.0,0.0,0.0,Punch,Christoph
