Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:19:18:301,-128.0,116.0,159.0,-35.47,-38.71,-47.56,0.0,0.0,0.0,70.0,Punch,Eike
1,02.07.2015 16:19:18:317,-536.0,-64.0,406.0,-35.58,-38.77,-47.57,0.0,0.0,0.0,68.0,Punch,Eike
2,02.07.2015 16:19:18:334,-1366.0,-351.0,1107.0,-35.82,-38.94,-47.45,0.0,0.0,0.0,68.0,Punch,Eike
3,02.07.2015 16:19:18:346,-2752.0,-663.0,2458.0,-36.33,-39.35,-47.15,0.0,0.0,0.0,60.0,Punch,Eike
4,02.07.2015 16:19:18:362,-4415.0,-1007.0,4523.0,-37.28,-40.15,-46.59,0.0,0.0,0.0,55.0,Punch,Eike
5,02.07.2015 16:19:18:379,-4795.0,-2056.0,6461.0,-38.61,-41.22,-45.88,0.0,0.0,0.0,40.0,Punch,Eike
6,02.07.2015 16:19:18:395,-4707.0,-2773.0,7883.0,-40.52,-42.59,-45.14,0.0,0.0,0.0,40.0,Punch,Eike
7,02.07.2015 16:19:18:407,-4178.0,-2698.0,9068.0,-43.06,-44.33,-44.51,0.0,0.0,0.0,32.0,Punch,Eike
8,02.07.2015 16:19:18:424,-3931.0,-5281.0,9260.0,-45.73,-46.08,-43.77,0.0,0.0,0.0,19.0,Punch,Eike
9,02.07.2015 16:19:18:436,-5454.0,-10251.0,7463.0,-47.93,-47.71,-42.1,0.0,0.0,0.0,52.0,Punch,Eike
10,02.07.2015 16:19:18:453,-9791.0,-12975.0,3727.0,-48.83,-49.0,-39.33,0.0,0.0,0.0,18.0,Punch,Eike
11,02.07.2015 16:19:18:469,-15008.0,-12572.0,-273.0,-47.63,-49.53,-35.94,0.0,0.0,0.0,15.0,Punch,Eike
12,02.07.2015 16:19:18:485,-19422.0,-10340.0,-4426.0,-43.76,-48.08,-32.2,0.0,0.0,0.0,35.0,Punch,Eike
13,02.07.2015 16:19:18:498,-20252.0,-7773.0,-10520.0,-37.51,-42.95,-28.24,0.0,0.0,0.0,43.0,Punch,Eike
14,02.07.2015 16:19:18:514,-12497.0,-3294.0,-20542.0,-29.9,-33.55,-24.45,0.0,0.0,0.0,79.0,Punch,Eike
15,02.07.2015 16:19:18:526,-2794.0,4602.0,-21702.0,-23.08,-21.29,-19.56,0.0,0.0,0.0,80.0,Punch,Eike
16,02.07.2015 16:19:18:543,4128.0,12239.0,-16492.0,-17.35,-6.75,-12.06,0.0,0.0,0.0,92.0,Punch,Eike
17,02.07.2015 16:19:18:559,8406.0,15427.0,-10241.0,-11.58,2.79,-6.45,0.0,0.0,0.0,97.0,Punch,Eike
18,02.07.2015 16:19:18:571,11336.0,15627.0,-5930.0,-6.03,3.52,-9.02,0.0,0.0,0.0,102.0,Punch,Eike
19,02.07.2015 16:19:18:588,10503.0,11953.0,-16059.0,-7.65,-3.63,-16.74,0.0,0.0,0.0,100.0,Punch,Eike
20,02.07.2015 16:19:18:604,754.0,109.0,-12171.0,-13.73,-14.07,-25.34,0.0,0.0,0.0,82.0,Punch,Eike
21,02.07.2015 16:19:18:616,-184.0,-6191.0,-8475.0,-15.25,-14.62,-28.0,0.0,0.0,0.0,101.0,Punch,Eike
22,02.07.2015 16:19:18:633,3759.0,-6127.0,-9067.0,-12.71,-11.79,-26.15,0.0,0.0,0.0,118.0,Punch,Eike
23,02.07.2015 16:19:18:649,3694.0,1891.0,-10340.0,-9.5,-8.97,-20.82,0.0,0.0,0.0,118.0,Punch,Eike
24,02.07.2015 16:19:18:661,6291.0,7919.0,-10323.0,-7.77,-6.67,-18.87,0.0,0.0,0.0,111.0,Punch,Eike
25,02.07.2015 16:19:18:678,4699.0,7711.0,-9305.0,-8.55,-6.87,-21.63,0.0,0.0,0.0,110.0,Punch,Eike
26,02.07.2015 16:19:18:694,1738.0,2410.0,-5595.0,-10.01,-7.85,-25.75,0.0,0.0,0.0,91.0,Punch,Eike
27,02.07.2015 16:19:18:707,2476.0,-2394.0,-2069.0,-10.54,-7.8,-28.75,0.0,0.0,0.0,90.0,Punch,Eike
28,02.07.2015 16:19:18:723,2704.0,-3976.0,517.0,-10.13,-7.39,-29.01,0.0,0.0,0.0,107.0,Punch,Eike
29,02.07.2015 16:19:18:735,2787.0,-3528.0,277.0,-9.52,-6.96,-27.21,0.0,0.0,0.0,109.0,Punch,Eike
30,02.07.2015 16:19:18:752,1488.0,-1579.0,-1115.0,-9.45,-7.11,-24.42,0.0,0.0,0.0,105.0,Punch,Eike
31,02.07.2015 16:19:18:768,-470.0,1165.0,-2347.0,-9.91,-7.52,-21.58,0.0,0.0,0.0,79.0,Punch,Eike
32,02.07.2015 16:19:18:780,-1210.0,3627.0,-2625.0,-10.29,-7.3,-19.63,0.0,0.0,0.0,70.0,Punch,Eike
33,02.07.2015 16:19:18:797,-188.0,5373.0,-3397.0,-10.37,-6.33,-18.85,0.0,0.0,0.0,70.0,Punch,Eike
34,02.07.2015 16:19:18:813,1425.0,6372.0,-4167.0,-10.47,-5.33,-19.24,0.0,0.0,0.0,67.0,Punch,Eike
35,02.07.2015 16:19:18:825,3066.0,6853.0,-5304.0,-10.92,-4.73,-20.74,0.0,0.0,0.0,74.0,Punch,Eike
36,02.07.2015 16:19:18:842,3605.0,7541.0,-6631.0,-11.91,-4.87,-23.25,0.0,0.0,0.0,72.0,Punch,Eike
37,02.07.2015 16:19:18:858,3554.0,8008.0,-8435.0,-13.42,-5.5,-27.28,0.0,0.0,0.0,79.0,Punch,Eike
38,02.07.2015 16:19:18:874,3375.0,7379.0,-10059.0,-15.26,-6.63,-33.01,0.0,0.0,0.0,62.0,Punch,Eike
39,02.07.2015 16:19:18:887,3141.0,5997.0,-11515.0,-17.2,-8.23,-40.13,0.0,0.0,0.0,54.0,Punch,Eike
40,02.07.2015 16:19:18:903,3100.0,3548.0,-11885.0,-18.93,-10.25,-48.52,0.0,0.0,0.0,55.0,Punch,Eike
41,02.07.2015 16:19:18:916,4681.0,-168.0,-8986.0,-19.86,-12.34,-57.7,0.0,0.0,0.0,24.0,Punch,Eike
42,02.07.2015 16:19:18:932,7041.0,-1663.0,-5296.0,-20.01,-14.12,-65.22,0.0,0.0,0.0,25.0,Punch,Eike
43,02.07.2015 16:19:18:948,8411.0,-1519.0,-2931.0,-20.03,-16.08,-69.8,0.0,0.0,0.0,26.0,Punch,Eike
44,02.07.2015 16:19:18:960,7808.0,-857.0,-2427.0,-20.34,-18.54,-70.77,0.0,0.0,0.0,19.0,Punch,Eike
45,02.07.2015 16:19:18:977,7040.0,-791.0,-2143.0,-20.67,-21.37,-68.55,0.0,0.0,0.0,13.0,Punch,Eike
46,02.07.2015 16:19:18:993,6701.0,-378.0,-340.0,-20.45,-23.87,-64.69,0.0,0.0,0.0,15.0,Punch,Eike
47,02.07.2015 16:19:19:6,5827.0,906.0,2417.0,-20.26,-26.11,-60.44,0.0,0.0,0.0,18.0,Punch,Eike
48,02.07.2015 16:19:19:22,4456.0,1199.0,4145.0,-20.49,-27.99,-56.78,0.0,0.0,0.0,22.0,Punch,Eike
49,02.07.2015 16:19:19:38,2534.0,1664.0,4380.0,-21.03,-29.33,-54.02,0.0,0.0,0.0,22.0,Punch,Eike
50,02.07.2015 16:19:19:51,1037.0,1545.0,3556.0,-21.47,-30.01,-52.29,0.0,0.0,0.0,22.0,Punch,Eike
51,02.07.2015 16:19:19:67,-1124.0,626.0,3120.0,-21.71,-30.3,-51.1,0.0,0.0,0.0,28.0,Punch,Eike
