Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,24.06.2015 21:17:11:257,1744.0,-78.0,-226.0,4.96,9.54,77.22,0.0,0.0,0.0,0.0,Punch,Guido
1,24.06.2015 21:17:11:267,1730.0,-35.0,-261.0,4.93,9.49,77.31,0.0,0.0,0.0,0.0,Punch,Guido
2,24.06.2015 21:17:11:277,1639.0,-7.0,-310.0,4.91,9.44,77.39,0.0,0.0,0.0,0.0,Punch,Guido
3,24.06.2015 21:17:11:287,1499.0,5.0,-370.0,4.95,9.34,77.5,0.0,0.0,0.0,0.0,Punch,Guido
4,24.06.2015 21:17:11:297,1450.0,42.0,-431.0,5.0,9.22,77.64,0.0,0.0,0.0,0.0,Punch,Guido
5,24.06.2015 21:17:11:307,1455.0,103.0,-491.0,5.02,9.09,77.8,0.0,0.0,0.0,0.0,Punch,Guido
6,24.06.2015 21:17:11:317,1466.0,152.0,-568.0,5.01,8.96,77.97,0.0,0.0,0.0,0.0,Punch,Guido
7,24.06.2015 21:17:11:327,1372.0,258.0,-681.0,4.97,8.82,78.14,0.0,0.0,0.0,0.0,Punch,Guido
8,24.06.2015 21:17:11:337,1203.0,448.0,-809.0,4.97,8.65,78.33,0.0,0.0,0.0,0.0,Punch,Guido
9,24.06.2015 21:17:11:347,1126.0,682.0,-913.0,4.89,8.45,78.55,0.0,0.0,0.0,0.0,Punch,Guido
10,24.06.2015 21:17:11:357,875.0,1029.0,-901.0,4.6,8.24,78.82,0.0,0.0,0.0,0.0,Punch,Guido
11,24.06.2015 21:17:11:367,368.0,1380.0,-742.0,4.27,8.03,79.08,0.0,0.0,0.0,0.0,Punch,Guido
12,24.06.2015 21:17:11:377,-239.0,1772.0,-500.0,3.82,7.77,79.44,0.0,0.0,0.0,0.0,Punch,Guido
13,24.06.2015 21:17:11:387,-926.0,2339.0,-54.0,3.11,7.5,79.91,0.0,0.0,0.0,0.0,Punch,Guido
14,24.06.2015 21:17:11:397,-1643.0,3021.0,796.0,2.11,7.33,80.42,0.0,0.0,0.0,0.0,Punch,Guido
