Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,18.06.2015 16:19:51:280,86.0,211.0,94.0,40.0,459.0,492.0,268.0,430.0,413.0,426.0,Punch,Hallo
1,18.06.2015 16:19:51:385,196.0,420.0,370.0,242.0,231.0,140.0,338.0,415.0,489.0,377.0,Punch,Hallo
2,18.06.2015 16:19:51:488,224.0,329.0,416.0,189.0,32.0,110.0,251.0,34.0,148.0,126.0,Punch,Hallo
3,18.06.2015 16:19:51:591,499.0,343.0,347.0,238.0,154.0,137.0,265.0,410.0,255.0,20.0,Punch,Hallo
4,18.06.2015 16:19:51:691,471.0,74.0,125.0,233.0,126.0,281.0,332.0,279.0,42.0,330.0,Punch,Hallo
5,18.06.2015 16:19:51:795,189.0,402.0,214.0,20.0,36.0,67.0,41.0,351.0,227.0,191.0,Punch,Hallo
6,18.06.2015 16:19:51:899,421.0,72.0,90.0,370.0,457.0,183.0,138.0,152.0,363.0,449.0,Punch,Hallo
7,18.06.2015 16:19:51:999,179.0,119.0,447.0,484.0,214.0,104.0,447.0,436.0,83.0,475.0,Punch,Hallo
8,18.06.2015 16:19:52:104,95.0,150.0,80.0,199.0,32.0,291.0,81.0,341.0,281.0,279.0,Punch,Hallo
9,18.06.2015 16:19:52:209,128.0,39.0,407.0,212.0,238.0,112.0,138.0,24.0,8.0,29.0,Punch,Hallo
10,18.06.2015 16:19:52:311,160.0,35.0,280.0,428.0,209.0,501.0,479.0,257.0,292.0,247.0,Punch,Hallo
11,18.06.2015 16:19:52:413,303.0,156.0,143.0,363.0,428.0,279.0,288.0,115.0,60.0,20.0,Punch,Hallo
12,18.06.2015 16:19:52:516,164.0,272.0,439.0,174.0,133.0,188.0,434.0,107.0,99.0,81.0,Punch,Hallo
13,18.06.2015 16:19:52:619,290.0,336.0,387.0,116.0,163.0,277.0,388.0,178.0,390.0,471.0,Punch,Hallo
14,18.06.2015 16:19:52:724,336.0,287.0,67.0,73.0,428.0,415.0,55.0,195.0,463.0,252.0,Punch,Hallo
15,18.06.2015 16:19:52:826,332.0,8.0,476.0,358.0,399.0,121.0,322.0,402.0,100.0,376.0,Punch,Hallo
16,18.06.2015 16:19:52:931,40.0,232.0,368.0,69.0,149.0,312.0,349.0,202.0,249.0,36.0,Punch,Hallo
17,18.06.2015 16:19:53:33,220.0,455.0,276.0,402.0,203.0,294.0,317.0,99.0,294.0,406.0,Punch,Hallo
18,18.06.2015 16:19:53:134,44.0,45.0,147.0,291.0,172.0,439.0,123.0,101.0,72.0,231.0,Punch,Hallo
19,18.06.2015 16:19:53:236,443.0,431.0,325.0,226.0,148.0,86.0,344.0,110.0,337.0,436.0,Punch,Hallo
20,18.06.2015 16:19:53:341,39.0,62.0,478.0,477.0,463.0,117.0,93.0,167.0,485.0,326.0,Punch,Hallo
21,18.06.2015 16:19:53:451,495.0,490.0,194.0,104.0,71.0,338.0,385.0,484.0,328.0,319.0,Punch,Hallo
22,18.06.2015 16:19:53:556,223.0,207.0,43.0,483.0,296.0,347.0,478.0,80.0,25.0,244.0,Punch,Hallo
23,18.06.2015 16:19:53:657,415.0,10.0,366.0,226.0,6.0,407.0,480.0,461.0,201.0,271.0,Punch,Hallo
24,18.06.2015 16:19:53:758,281.0,389.0,179.0,466.0,177.0,292.0,307.0,386.0,461.0,41.0,Punch,Hallo
25,18.06.2015 16:19:53:858,423.0,355.0,42.0,377.0,106.0,227.0,330.0,155.0,439.0,318.0,Punch,Hallo
26,18.06.2015 16:19:53:959,396.0,244.0,395.0,396.0,440.0,34.0,130.0,466.0,321.0,208.0,Punch,Hallo
27,18.06.2015 16:19:54:64,207.0,19.0,242.0,265.0,455.0,447.0,52.0,74.0,146.0,67.0,Punch,Hallo
28,18.06.2015 16:19:54:167,70.0,14.0,291.0,99.0,494.0,161.0,182.0,4.0,19.0,59.0,Punch,Hallo
29,18.06.2015 16:19:54:272,418.0,393.0,367.0,477.0,319.0,393.0,184.0,457.0,28.0,179.0,Punch,Hallo
30,18.06.2015 16:19:54:376,504.0,134.0,123.0,117.0,53.0,204.0,233.0,323.0,407.0,99.0,Punch,Hallo
31,18.06.2015 16:19:54:479,458.0,212.0,362.0,204.0,302.0,153.0,98.0,176.0,485.0,357.0,Punch,Hallo
32,18.06.2015 16:19:54:582,294.0,184.0,423.0,108.0,342.0,258.0,287.0,119.0,109.0,436.0,Punch,Hallo
33,18.06.2015 16:19:54:687,95.0,246.0,220.0,160.0,276.0,55.0,205.0,115.0,211.0,295.0,Punch,Hallo
34,18.06.2015 16:19:54:792,206.0,156.0,507.0,309.0,20.0,17.0,237.0,5.0,431.0,234.0,Punch,Hallo
35,18.06.2015 16:19:54:894,360.0,189.0,398.0,493.0,4.0,207.0,404.0,321.0,476.0,299.0,Punch,Hallo
36,18.06.2015 16:19:54:996,289.0,151.0,387.0,106.0,94.0,426.0,141.0,59.0,285.0,138.0,Punch,Hallo
37,18.06.2015 16:19:55:99,500.0,77.0,128.0,252.0,207.0,394.0,490.0,58.0,29.0,443.0,Punch,Hallo
