Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:15:42:550,-148.0,399.0,-527.0,-21.44,-37.01,-39.85,0.0,0.0,0.0,195.0,Punch,Jakub
1,02.07.2015 16:15:42:562,-120.0,385.0,-517.0,-21.35,-36.98,-39.82,0.0,0.0,0.0,194.0,Punch,Jakub
2,02.07.2015 16:15:42:579,-93.0,368.0,-522.0,-21.28,-36.97,-39.78,0.0,0.0,0.0,197.0,Punch,Jakub
3,02.07.2015 16:15:42:595,-68.0,365.0,-540.0,-21.2,-36.95,-39.74,0.0,0.0,0.0,197.0,Punch,Jakub
4,02.07.2015 16:15:42:607,-43.0,342.0,-550.0,-21.12,-36.94,-39.69,0.0,0.0,0.0,197.0,Punch,Jakub
5,02.07.2015 16:15:42:624,-39.0,336.0,-582.0,-21.04,-36.93,-39.64,0.0,0.0,0.0,196.0,Punch,Jakub
6,02.07.2015 16:15:42:640,-60.0,357.0,-644.0,-20.96,-36.94,-39.55,0.0,0.0,0.0,196.0,Punch,Jakub
7,02.07.2015 16:15:42:652,-106.0,410.0,-706.0,-20.9,-36.96,-39.47,0.0,0.0,0.0,197.0,Punch,Jakub
8,02.07.2015 16:15:42:669,-178.0,472.0,-773.0,-20.84,-36.99,-39.38,0.0,0.0,0.0,195.0,Punch,Jakub
9,02.07.2015 16:15:42:685,-229.0,505.0,-805.0,-20.77,-37.0,-39.32,0.0,0.0,0.0,197.0,Punch,Jakub
10,02.07.2015 16:15:42:698,-242.0,499.0,-848.0,-20.71,-37.0,-39.28,0.0,0.0,0.0,195.0,Punch,Jakub
11,02.07.2015 16:15:42:714,-248.0,474.0,-874.0,-20.62,-36.99,-39.24,0.0,0.0,0.0,196.0,Punch,Jakub
12,02.07.2015 16:15:42:730,-287.0,474.0,-893.0,-20.54,-36.99,-39.2,0.0,0.0,0.0,196.0,Punch,Jakub
13,02.07.2015 16:15:42:743,-315.0,461.0,-891.0,-20.46,-36.98,-39.18,0.0,0.0,0.0,195.0,Punch,Jakub
14,02.07.2015 16:15:42:759,-319.0,435.0,-875.0,-20.39,-36.97,-39.16,0.0,0.0,0.0,195.0,Punch,Jakub
