Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 17:00:26:648,-348.0,320.0,780.0,106.35,-31.62,-41.64,0.0,0.0,0.0,3.0,Punch,Linh
1,02.07.2015 17:00:26:664,-380.0,368.0,752.0,106.73,-31.68,-41.7,0.0,0.0,0.0,3.0,Punch,Linh
2,02.07.2015 17:00:26:676,-330.0,453.0,679.0,107.14,-31.72,-41.82,0.0,0.0,0.0,1.0,Punch,Linh
3,02.07.2015 17:00:26:693,-259.0,431.0,613.0,107.54,-31.74,-41.95,0.0,0.0,0.0,1.0,Punch,Linh
4,02.07.2015 17:00:26:709,-227.0,439.0,528.0,107.92,-31.79,-42.05,0.0,0.0,0.0,6.0,Punch,Linh
5,02.07.2015 17:00:26:722,-285.0,552.0,466.0,108.28,-31.82,-42.13,0.0,0.0,0.0,3.0,Punch,Linh
6,02.07.2015 17:00:26:738,-347.0,606.0,448.0,108.57,-31.81,-42.22,0.0,0.0,0.0,2.0,Punch,Linh
7,02.07.2015 17:00:26:754,-447.0,638.0,492.0,108.83,-31.8,-42.32,0.0,0.0,0.0,3.0,Punch,Linh
8,02.07.2015 17:00:26:767,-504.0,629.0,537.0,109.04,-31.79,-42.42,0.0,0.0,0.0,3.0,Punch,Linh
9,02.07.2015 17:00:26:783,-502.0,594.0,547.0,109.2,-31.8,-42.5,0.0,0.0,0.0,1.0,Punch,Linh
10,02.07.2015 17:00:26:799,-431.0,595.0,505.0,109.3,-31.82,-42.54,0.0,0.0,0.0,1.0,Punch,Linh
11,02.07.2015 17:00:26:811,-402.0,562.0,527.0,109.32,-31.87,-42.51,0.0,0.0,0.0,3.0,Punch,Linh
12,02.07.2015 17:00:26:828,-507.0,473.0,679.0,109.33,-31.92,-42.49,0.0,0.0,0.0,5.0,Punch,Linh
13,02.07.2015 17:00:26:844,-644.0,431.0,877.0,109.41,-31.95,-42.55,0.0,0.0,0.0,8.0,Punch,Linh
14,02.07.2015 17:00:26:857,-789.0,373.0,1133.0,109.53,-31.98,-42.71,0.0,0.0,0.0,6.0,Punch,Linh
15,02.07.2015 17:00:26:873,-940.0,375.0,1381.0,109.69,-32.06,-42.96,0.0,0.0,0.0,2.0,Punch,Linh
16,02.07.2015 17:00:26:889,-1019.0,386.0,1587.0,109.88,-32.15,-43.37,0.0,0.0,0.0,4.0,Punch,Linh
17,02.07.2015 17:00:26:902,-1002.0,343.0,1839.0,110.15,-32.23,-43.93,0.0,0.0,0.0,5.0,Punch,Linh
18,02.07.2015 17:00:26:918,-873.0,218.0,2064.0,110.54,-32.27,-44.66,0.0,0.0,0.0,3.0,Punch,Linh
19,02.07.2015 17:00:26:934,-687.0,119.0,2276.0,111.0,-32.28,-45.55,0.0,0.0,0.0,3.0,Punch,Linh
20,02.07.2015 17:00:26:947,-458.0,-31.0,2555.0,111.61,-32.24,-46.62,0.0,0.0,0.0,3.0,Punch,Linh
21,02.07.2015 17:00:26:963,-125.0,-353.0,2940.0,112.42,-32.17,-47.85,0.0,0.0,0.0,4.0,Punch,Linh
22,02.07.2015 17:00:26:979,430.0,-641.0,3358.0,113.49,-32.18,-49.19,0.0,0.0,0.0,11.0,Punch,Linh
23,02.07.2015 17:00:26:992,945.0,-797.0,3846.0,114.84,-32.16,-50.61,0.0,0.0,0.0,20.0,Punch,Linh
24,02.07.2015 17:00:27:8,1417.0,-963.0,4514.0,116.84,-32.13,-52.2,0.0,0.0,0.0,18.0,Punch,Linh
25,02.07.2015 17:00:27:24,2056.0,-1078.0,5033.0,119.84,-32.14,-53.88,0.0,0.0,0.0,22.0,Punch,Linh
26,02.07.2015 17:00:27:37,2952.0,-1153.0,5227.0,124.26,-32.23,-55.44,0.0,0.0,0.0,25.0,Punch,Linh
27,02.07.2015 17:00:27:53,3923.0,-1382.0,5138.0,130.53,-32.37,-56.64,0.0,0.0,0.0,24.0,Punch,Linh
28,02.07.2015 17:00:27:70,4892.0,-1778.0,4865.0,139.63,-32.61,-57.24,0.0,0.0,0.0,32.0,Punch,Linh
29,02.07.2015 17:00:27:82,5810.0,-2400.0,4087.0,152.36,-32.96,-56.98,0.0,0.0,0.0,19.0,Punch,Linh
30,02.07.2015 17:00:27:98,6534.0,-3070.0,2926.0,167.77,-33.48,-55.73,0.0,0.0,0.0,21.0,Punch,Linh
31,02.07.2015 17:00:27:115,6977.0,-3986.0,1688.0,-176.92,-34.2,-53.59,0.0,0.0,0.0,31.0,Punch,Linh
32,02.07.2015 17:00:27:127,7138.0,-5228.0,648.0,-164.35,-35.23,-50.69,0.0,0.0,0.0,38.0,Punch,Linh
33,02.07.2015 17:00:27:143,7043.0,-6502.0,200.0,-155.73,-36.57,-47.36,0.0,0.0,0.0,40.0,Punch,Linh
34,02.07.2015 17:00:27:160,6994.0,-7646.0,186.0,-150.47,-38.04,-43.92,0.0,0.0,0.0,37.0,Punch,Linh
35,02.07.2015 17:00:27:172,7211.0,-8345.0,608.0,-148.01,-39.58,-40.57,0.0,0.0,0.0,38.0,Punch,Linh
36,02.07.2015 17:00:27:188,7636.0,-8335.0,1026.0,-147.43,-41.0,-37.52,0.0,0.0,0.0,40.0,Punch,Linh
37,02.07.2015 17:00:27:205,8150.0,-7867.0,1340.0,-147.86,-42.29,-34.77,0.0,0.0,0.0,36.0,Punch,Linh
38,02.07.2015 17:00:27:217,8745.0,-7343.0,1056.0,-148.9,-43.55,-32.14,0.0,0.0,0.0,35.0,Punch,Linh
39,02.07.2015 17:00:27:233,9429.0,-7068.0,763.0,-150.3,-45.0,-29.52,0.0,0.0,0.0,42.0,Punch,Linh
40,02.07.2015 17:00:27:250,10122.0,-7114.0,246.0,-151.65,-46.59,-26.91,0.0,0.0,0.0,35.0,Punch,Linh
41,02.07.2015 17:00:27:262,10813.0,-8228.0,-201.0,-152.61,-48.32,-24.4,0.0,0.0,0.0,21.0,Punch,Linh
42,02.07.2015 17:00:27:278,11998.0,-8886.0,-483.0,-154.29,-49.8,-22.63,0.0,0.0,0.0,13.0,Punch,Linh
43,02.07.2015 17:00:27:295,12624.0,-9907.0,-925.0,-154.81,-50.45,-21.46,0.0,0.0,0.0,9.0,Punch,Linh
44,02.07.2015 17:00:27:307,12992.0,-9054.0,-896.0,-155.5,-49.35,-21.62,0.0,0.0,0.0,2.0,Punch,Linh
45,02.07.2015 17:00:27:324,12092.0,-8237.0,-4242.0,-154.99,-46.29,-22.97,0.0,0.0,0.0,2.0,Punch,Linh
46,02.07.2015 17:00:27:340,8739.0,-5448.0,-9775.0,-153.79,-41.91,-25.41,0.0,0.0,0.0,3.0,Punch,Linh
47,02.07.2015 17:00:27:352,2971.0,-2383.0,-14221.0,-151.57,-35.31,-28.63,0.0,0.0,0.0,38.0,Punch,Linh
48,02.07.2015 17:00:27:369,-1676.0,2251.0,-16860.0,-149.7,-26.11,-33.11,0.0,0.0,0.0,37.0,Punch,Linh
49,02.07.2015 17:00:27:385,-5020.0,7215.0,-14631.0,-147.09,-14.99,-37.69,0.0,0.0,0.0,35.0,Punch,Linh
50,02.07.2015 17:00:27:397,-5220.0,12229.0,-6738.0,-142.28,-4.25,-40.65,0.0,0.0,0.0,15.0,Punch,Linh
51,02.07.2015 17:00:27:414,-5267.0,13268.0,-4111.0,-134.84,3.39,-39.17,0.0,0.0,0.0,0.0,Punch,Linh
52,02.07.2015 17:00:27:426,-3577.0,8056.0,-588.0,-129.61,5.98,-37.52,0.0,0.0,0.0,5.0,Punch,Linh
53,02.07.2015 17:00:27:442,-2128.0,6328.0,178.0,-130.17,4.74,-36.19,0.0,0.0,0.0,0.0,Punch,Linh
54,02.07.2015 17:00:27:459,-4438.0,4466.0,-471.0,-132.45,3.07,-34.4,0.0,0.0,0.0,14.0,Punch,Linh
55,02.07.2015 17:00:27:471,-8437.0,1258.0,-2763.0,-133.89,2.37,-32.22,0.0,0.0,0.0,17.0,Punch,Linh
56,02.07.2015 17:00:27:487,-11132.0,-307.0,-5098.0,-133.88,2.73,-30.94,0.0,0.0,0.0,19.0,Punch,Linh
57,02.07.2015 17:00:27:504,-9694.0,-1622.0,-5126.0,-133.16,3.1,-31.37,0.0,0.0,0.0,28.0,Punch,Linh
58,02.07.2015 17:00:27:516,-7260.0,-1460.0,-4059.0,-132.45,4.14,-32.46,0.0,0.0,0.0,31.0,Punch,Linh
59,02.07.2015 17:00:27:532,-4979.0,543.0,-1900.0,-132.56,5.35,-33.95,0.0,0.0,0.0,27.0,Punch,Linh
60,02.07.2015 17:00:27:549,-3969.0,3098.0,-20.0,-133.32,6.03,-34.87,0.0,0.0,0.0,28.0,Punch,Linh
61,02.07.2015 17:00:27:561,-3907.0,3507.0,600.0,-133.91,6.09,-34.76,0.0,0.0,0.0,28.0,Punch,Linh
62,02.07.2015 17:00:27:578,-3488.0,2797.0,633.0,-134.01,5.92,-34.08,0.0,0.0,0.0,31.0,Punch,Linh
63,02.07.2015 17:00:27:594,-3479.0,1878.0,-219.0,-133.6,6.08,-32.96,0.0,0.0,0.0,26.0,Punch,Linh
64,02.07.2015 17:00:27:606,-2777.0,953.0,-669.0,-133.4,6.16,-32.15,0.0,0.0,0.0,30.0,Punch,Linh
65,02.07.2015 17:00:27:622,-3101.0,278.0,-1516.0,-133.34,6.42,-31.29,0.0,0.0,0.0,30.0,Punch,Linh
66,02.07.2015 17:00:27:639,-3546.0,356.0,-1521.0,-133.48,6.78,-31.03,0.0,0.0,0.0,31.0,Punch,Linh
67,02.07.2015 17:00:27:651,-3544.0,704.0,-908.0,-133.62,7.11,-31.27,0.0,0.0,0.0,31.0,Punch,Linh
68,02.07.2015 17:00:27:667,-3029.0,750.0,-312.0,-133.98,7.11,-31.71,0.0,0.0,0.0,32.0,Punch,Linh
69,02.07.2015 17:00:27:680,-2436.0,975.0,91.0,-134.72,6.85,-32.32,0.0,0.0,0.0,30.0,Punch,Linh
70,02.07.2015 17:00:27:696,-1982.0,1486.0,410.0,-135.61,6.49,-32.88,0.0,0.0,0.0,32.0,Punch,Linh
71,02.07.2015 17:00:27:713,-1827.0,1515.0,461.0,-136.27,6.12,-33.04,0.0,0.0,0.0,34.0,Punch,Linh
72,02.07.2015 17:00:27:725,-2223.0,1459.0,-178.0,-136.84,5.8,-33.03,0.0,0.0,0.0,34.0,Punch,Linh
73,02.07.2015 17:00:27:741,-2666.0,1268.0,-705.0,-137.6,5.36,-33.28,0.0,0.0,0.0,36.0,Punch,Linh
74,02.07.2015 17:00:27:758,-2768.0,832.0,-770.0,-138.69,4.67,-33.92,0.0,0.0,0.0,36.0,Punch,Linh
75,02.07.2015 17:00:27:770,-2231.0,789.0,-108.0,-140.17,3.82,-34.93,0.0,0.0,0.0,37.0,Punch,Linh
76,02.07.2015 17:00:27:786,-1874.0,1514.0,714.0,-141.6,3.05,-35.72,0.0,0.0,0.0,37.0,Punch,Linh
77,02.07.2015 17:00:27:803,-2058.0,1872.0,977.0,-142.69,2.39,-36.02,0.0,0.0,0.0,34.0,Punch,Linh
78,02.07.2015 17:00:27:815,-3011.0,1771.0,-106.0,-143.49,1.62,-35.83,0.0,0.0,0.0,36.0,Punch,Linh
79,02.07.2015 17:00:27:831,-3344.0,1254.0,-1032.0,-144.73,0.51,-36.2,0.0,0.0,0.0,36.0,Punch,Linh
80,02.07.2015 17:00:27:848,-2935.0,934.0,-899.0,-146.33,-0.81,-36.89,0.0,0.0,0.0,38.0,Punch,Linh
81,02.07.2015 17:00:27:860,-2233.0,1450.0,-157.0,-147.87,-1.97,-37.57,0.0,0.0,0.0,36.0,Punch,Linh
82,02.07.2015 17:00:27:876,-2321.0,2087.0,-17.0,-148.99,-2.87,-37.65,0.0,0.0,0.0,36.0,Punch,Linh
83,02.07.2015 17:00:27:893,-2789.0,2007.0,-485.0,-149.85,-3.76,-37.36,0.0,0.0,0.0,36.0,Punch,Linh
84,02.07.2015 17:00:27:905,-3171.0,1440.0,-1107.0,-150.7,-4.8,-37.06,0.0,0.0,0.0,38.0,Punch,Linh
