Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:51:54:112,256.0,122.0,-684.0,-60.79,-19.77,-41.39,0.0,0.0,0.0,0.0,Punch,Martin
1,02.07.2015 16:51:54:124,271.0,200.0,-729.0,-60.68,-19.69,-41.46,0.0,0.0,0.0,0.0,Punch,Martin
2,02.07.2015 16:51:54:140,285.0,280.0,-776.0,-60.56,-19.66,-41.53,0.0,0.0,0.0,0.0,Punch,Martin
3,02.07.2015 16:51:54:157,246.0,284.0,-795.0,-60.44,-19.67,-41.57,0.0,0.0,0.0,0.0,Punch,Martin
4,02.07.2015 16:51:54:169,123.0,177.0,-799.0,-60.32,-19.74,-41.59,0.0,0.0,0.0,0.0,Punch,Martin
5,02.07.2015 16:51:54:185,-43.0,-18.0,-776.0,-60.21,-19.8,-41.6,0.0,0.0,0.0,0.0,Punch,Martin
6,02.07.2015 16:51:54:202,-292.0,-367.0,-729.0,-60.06,-19.87,-41.64,0.0,0.0,0.0,0.0,Punch,Martin
7,02.07.2015 16:51:54:214,-552.0,-768.0,-580.0,-59.91,-19.92,-41.71,0.0,0.0,0.0,0.0,Punch,Martin
8,02.07.2015 16:51:54:230,-733.0,-1179.0,-331.0,-59.74,-19.94,-41.82,0.0,0.0,0.0,0.0,Punch,Martin
9,02.07.2015 16:51:54:247,-928.0,-1612.0,-88.0,-59.65,-19.97,-41.89,0.0,0.0,0.0,0.0,Punch,Martin
10,02.07.2015 16:51:54:259,-1138.0,-2197.0,225.0,-59.7,-20.09,-41.89,0.0,0.0,0.0,0.0,Punch,Martin
11,02.07.2015 16:51:54:275,-1357.0,-3036.0,710.0,-59.92,-20.35,-41.81,0.0,0.0,0.0,0.0,Punch,Martin
12,02.07.2015 16:51:54:292,-1644.0,-4145.0,1472.0,-60.36,-20.75,-41.61,0.0,0.0,0.0,0.0,Punch,Martin
13,02.07.2015 16:51:54:304,-1677.0,-5145.0,2430.0,-61.08,-21.21,-41.31,0.0,0.0,0.0,0.0,Punch,Martin
14,02.07.2015 16:51:54:321,-1413.0,-5922.0,3252.0,-62.1,-21.7,-40.84,0.0,0.0,0.0,0.0,Punch,Martin
15,02.07.2015 16:51:54:337,-884.0,-6439.0,3872.0,-63.47,-22.35,-40.14,0.0,0.0,0.0,0.0,Punch,Martin
16,02.07.2015 16:51:54:349,-399.0,-7039.0,4316.0,-65.2,-23.34,-39.07,0.0,0.0,0.0,0.0,Punch,Martin
17,02.07.2015 16:51:54:365,-178.0,-8027.0,4859.0,-67.24,-24.78,-37.62,0.0,0.0,0.0,0.0,Punch,Martin
18,02.07.2015 16:51:54:382,-56.0,-9181.0,5189.0,-69.44,-26.56,-35.91,0.0,0.0,0.0,0.0,Punch,Martin
19,02.07.2015 16:51:54:394,187.0,-9892.0,5440.0,-71.6,-28.49,-34.15,0.0,0.0,0.0,0.0,Punch,Martin
20,02.07.2015 16:51:54:411,554.0,-10350.0,5498.0,-73.61,-30.27,-32.43,0.0,0.0,0.0,0.0,Punch,Martin
21,02.07.2015 16:51:54:427,1354.0,-10314.0,5983.0,-75.45,-31.57,-30.89,0.0,0.0,0.0,0.0,Punch,Martin
22,02.07.2015 16:51:54:439,2380.0,-9437.0,5670.0,-77.02,-31.88,-29.63,0.0,0.0,0.0,0.0,Punch,Martin
23,02.07.2015 16:51:54:456,3178.0,-8045.0,4102.0,-78.41,-31.3,-28.47,0.0,0.0,0.0,0.0,Punch,Martin
24,02.07.2015 16:51:54:472,3486.0,-6442.0,1968.0,-79.59,-30.09,-27.28,0.0,0.0,0.0,0.0,Punch,Martin
25,02.07.2015 16:51:54:484,3383.0,-4927.0,194.0,-80.5,-28.41,-26.03,0.0,0.0,0.0,0.0,Punch,Martin
26,02.07.2015 16:51:54:501,3037.0,-3012.0,-1792.0,-80.96,-26.12,-24.69,0.0,0.0,0.0,0.0,Punch,Martin
27,02.07.2015 16:51:54:517,2684.0,-944.0,-3013.0,-80.71,-23.16,-23.36,0.0,0.0,0.0,0.0,Punch,Martin
28,02.07.2015 16:51:54:529,1808.0,1500.0,-4100.0,-79.73,-19.08,-21.81,0.0,0.0,0.0,0.0,Punch,Martin
29,02.07.2015 16:51:54:546,958.0,5543.0,-5654.0,-78.07,-13.83,-19.92,0.0,0.0,0.0,0.0,Punch,Martin
30,02.07.2015 16:51:54:558,-53.0,9739.0,-6690.0,-75.77,-8.43,-17.82,0.0,0.0,0.0,0.0,Punch,Martin
31,02.07.2015 16:51:54:574,-1110.0,12770.0,-6912.0,-72.84,-3.74,-16.02,0.0,0.0,0.0,0.0,Punch,Martin
32,02.07.2015 16:51:54:591,-1603.0,14887.0,-6647.0,-69.85,-0.03,-15.49,0.0,0.0,0.0,0.0,Punch,Martin
33,02.07.2015 16:51:54:603,-61.0,14971.0,-5288.0,-67.53,2.69,-17.08,0.0,0.0,0.0,0.0,Punch,Martin
34,02.07.2015 16:51:54:620,2431.0,12329.0,-3810.0,-66.68,4.1,-20.48,0.0,0.0,0.0,0.0,Punch,Martin
35,02.07.2015 16:51:54:636,3828.0,11016.0,-4375.0,-67.87,4.06,-23.43,0.0,0.0,0.0,0.0,Punch,Martin
36,02.07.2015 16:51:54:648,4094.0,9173.0,-3534.0,-69.73,2.81,-25.13,0.0,0.0,0.0,0.0,Punch,Martin
37,02.07.2015 16:51:54:665,3746.0,7510.0,-3336.0,-70.63,1.99,-24.88,0.0,0.0,0.0,0.0,Punch,Martin
38,02.07.2015 16:51:54:681,2410.0,5748.0,-4444.0,-70.25,1.81,-23.2,0.0,0.0,0.0,0.0,Punch,Martin
39,02.07.2015 16:51:54:693,790.0,3850.0,-5016.0,-69.69,1.88,-20.92,0.0,0.0,0.0,0.0,Punch,Martin
40,02.07.2015 16:51:54:710,-831.0,3400.0,-5327.0,-69.52,2.36,-18.63,0.0,0.0,0.0,0.0,Punch,Martin
41,02.07.2015 16:51:54:726,-2069.0,4076.0,-5106.0,-69.78,2.89,-17.05,0.0,0.0,0.0,0.0,Punch,Martin
42,02.07.2015 16:51:54:738,-2886.0,4656.0,-4675.0,-70.22,3.13,-16.39,0.0,0.0,0.0,0.0,Punch,Martin
43,02.07.2015 16:51:54:755,-3085.0,4294.0,-4098.0,-70.66,3.03,-16.62,0.0,0.0,0.0,0.0,Punch,Martin
44,02.07.2015 16:51:54:771,-2498.0,3408.0,-3454.0,-71.02,2.93,-17.41,0.0,0.0,0.0,0.0,Punch,Martin
45,02.07.2015 16:51:54:783,-1532.0,2629.0,-2611.0,-71.29,2.96,-18.27,0.0,0.0,0.0,0.0,Punch,Martin
46,02.07.2015 16:51:54:800,-612.0,2607.0,-1712.0,-71.53,3.25,-18.72,0.0,0.0,0.0,0.0,Punch,Martin
47,02.07.2015 16:51:54:816,-308.0,3156.0,-1036.0,-71.74,3.62,-18.49,0.0,0.0,0.0,0.0,Punch,Martin
48,02.07.2015 16:51:54:828,-586.0,4073.0,-836.0,-71.91,3.89,-17.81,0.0,0.0,0.0,0.0,Punch,Martin
49,02.07.2015 16:51:54:845,-1242.0,4898.0,-965.0,-72.16,3.81,-17.1,0.0,0.0,0.0,0.0,Punch,Martin
50,02.07.2015 16:51:54:857,-1619.0,5345.0,-1164.0,-72.56,3.42,-16.74,0.0,0.0,0.0,0.0,Punch,Martin
51,02.07.2015 16:51:54:874,-1440.0,5751.0,-1312.0,-73.27,2.87,-16.88,0.0,0.0,0.0,0.0,Punch,Martin
52,02.07.2015 16:51:54:890,-743.0,6259.0,-1307.0,-74.38,2.21,-17.4,0.0,0.0,0.0,0.0,Punch,Martin
53,02.07.2015 16:51:54:902,84.0,6878.0,-1472.0,-75.83,1.51,-18.08,0.0,0.0,0.0,0.0,Punch,Martin
54,02.07.2015 16:51:54:919,985.0,7488.0,-1564.0,-77.52,0.68,-18.71,0.0,0.0,0.0,0.0,Punch,Martin
55,02.07.2015 16:51:54:935,1725.0,8145.0,-1876.0,-79.16,-0.27,-19.04,0.0,0.0,0.0,0.0,Punch,Martin
56,02.07.2015 16:51:54:947,2062.0,8249.0,-2313.0,-80.65,-1.5,-18.96,0.0,0.0,0.0,0.0,Punch,Martin
57,02.07.2015 16:51:54:964,1788.0,7217.0,-2656.0,-82.11,-3.24,-18.42,0.0,0.0,0.0,0.0,Punch,Martin
