Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:56:12:398,270.0,-281.0,-674.0,-10.94,-15.8,-36.96,0.0,0.0,0.0,184.0,Punch,Nils
1,02.07.2015 16:56:12:414,435.0,-311.0,-765.0,-10.94,-15.75,-36.88,0.0,0.0,0.0,184.0,Punch,Nils
2,02.07.2015 16:56:12:431,374.0,-282.0,-725.0,-11.0,-15.8,-36.8,0.0,0.0,0.0,181.0,Punch,Nils
3,02.07.2015 16:56:12:443,252.0,-299.0,-632.0,-11.08,-15.87,-36.73,0.0,0.0,0.0,179.0,Punch,Nils
4,02.07.2015 16:56:12:459,230.0,-305.0,-640.0,-11.15,-15.9,-36.68,0.0,0.0,0.0,173.0,Punch,Nils
5,02.07.2015 16:56:12:476,257.0,-299.0,-700.0,-11.21,-15.93,-36.65,0.0,0.0,0.0,171.0,Punch,Nils
6,02.07.2015 16:56:12:488,222.0,-250.0,-714.0,-11.3,-15.98,-36.64,0.0,0.0,0.0,168.0,Punch,Nils
7,02.07.2015 16:56:12:504,211.0,-232.0,-752.0,-11.41,-16.03,-36.64,0.0,0.0,0.0,167.0,Punch,Nils
8,02.07.2015 16:56:12:521,299.0,-229.0,-750.0,-11.53,-16.09,-36.66,0.0,0.0,0.0,166.0,Punch,Nils
9,02.07.2015 16:56:12:533,369.0,-244.0,-697.0,-11.64,-16.17,-36.67,0.0,0.0,0.0,167.0,Punch,Nils
10,02.07.2015 16:56:12:549,370.0,-248.0,-526.0,-11.75,-16.27,-36.66,0.0,0.0,0.0,168.0,Punch,Nils
11,02.07.2015 16:56:12:562,327.0,-253.0,-339.0,-11.84,-16.37,-36.63,0.0,0.0,0.0,169.0,Punch,Nils
12,02.07.2015 16:56:12:578,282.0,-218.0,-209.0,-11.89,-16.42,-36.6,0.0,0.0,0.0,177.0,Punch,Nils
13,02.07.2015 16:56:12:594,223.0,-113.0,-229.0,-11.92,-16.43,-36.59,0.0,0.0,0.0,151.0,Punch,Nils
14,02.07.2015 16:56:12:607,240.0,-64.0,-312.0,-12.03,-16.49,-36.63,0.0,0.0,0.0,170.0,Punch,Nils
15,02.07.2015 16:56:12:623,267.0,-133.0,-271.0,-12.24,-16.64,-36.73,0.0,0.0,0.0,183.0,Punch,Nils
16,02.07.2015 16:56:12:640,52.0,-272.0,93.0,-12.52,-16.88,-36.87,0.0,0.0,0.0,199.0,Punch,Nils
17,02.07.2015 16:56:12:652,-267.0,-422.0,519.0,-12.78,-17.09,-36.99,0.0,0.0,0.0,234.0,Punch,Nils
18,02.07.2015 16:56:12:668,-469.0,-479.0,646.0,-13.04,-17.24,-37.05,0.0,0.0,0.0,293.0,Punch,Nils
19,02.07.2015 16:56:12:685,-700.0,-527.0,640.0,-13.41,-17.51,-37.04,0.0,0.0,0.0,301.0,Punch,Nils
