Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:49:04:446,-1519.0,-681.0,4819.0,-39.7,-39.53,-50.28,0.0,0.0,0.0,32.0,Punch,Sebastian
1,02.07.2015 16:49:04:459,-1875.0,-1184.0,5441.0,-40.25,-39.98,-49.46,0.0,0.0,0.0,12.0,Punch,Sebastian
2,02.07.2015 16:49:04:475,-2003.0,-1816.0,6045.0,-40.82,-40.46,-48.31,0.0,0.0,0.0,18.0,Punch,Sebastian
3,02.07.2015 16:49:04:491,-1871.0,-2596.0,6501.0,-41.27,-40.85,-46.81,0.0,0.0,0.0,17.0,Punch,Sebastian
4,02.07.2015 16:49:04:504,-1554.0,-3646.0,6465.0,-41.54,-41.16,-44.86,0.0,0.0,0.0,16.0,Punch,Sebastian
5,02.07.2015 16:49:04:520,-1795.0,-4690.0,5505.0,-41.71,-41.53,-42.29,0.0,0.0,0.0,31.0,Punch,Sebastian
6,02.07.2015 16:49:04:537,-2501.0,-5371.0,4457.0,-41.95,-42.16,-39.09,0.0,0.0,0.0,20.0,Punch,Sebastian
7,02.07.2015 16:49:04:549,-3547.0,-5441.0,3789.0,-42.26,-42.98,-35.44,0.0,0.0,0.0,30.0,Punch,Sebastian
8,02.07.2015 16:49:04:565,-4164.0,-5482.0,3389.0,-42.46,-43.71,-31.67,0.0,0.0,0.0,28.0,Punch,Sebastian
9,02.07.2015 16:49:04:582,-4806.0,-5293.0,2979.0,-42.36,-44.15,-27.9,0.0,0.0,0.0,49.0,Punch,Sebastian
10,02.07.2015 16:49:04:594,-5693.0,-4671.0,2544.0,-42.07,-44.31,-24.19,0.0,0.0,0.0,47.0,Punch,Sebastian
11,02.07.2015 16:49:04:610,-6340.0,-4259.0,2485.0,-41.6,-44.06,-20.76,0.0,0.0,0.0,51.0,Punch,Sebastian
12,02.07.2015 16:49:04:627,-6520.0,-4396.0,2251.0,-40.81,-43.31,-17.85,0.0,0.0,0.0,47.0,Punch,Sebastian
13,02.07.2015 16:49:04:639,-6162.0,-4608.0,1618.0,-39.74,-42.17,-15.21,0.0,0.0,0.0,52.0,Punch,Sebastian
14,02.07.2015 16:49:04:655,-5769.0,-4440.0,565.0,-38.44,-40.87,-12.6,0.0,0.0,0.0,52.0,Punch,Sebastian
15,02.07.2015 16:49:04:672,-5622.0,-4236.0,-251.0,-36.57,-39.47,-10.26,0.0,0.0,0.0,47.0,Punch,Sebastian
16,02.07.2015 16:49:04:684,-5793.0,-4259.0,-1194.0,-33.84,-37.83,-8.16,0.0,0.0,0.0,44.0,Punch,Sebastian
17,02.07.2015 16:49:04:701,-5950.0,-4092.0,-3241.0,-30.19,-35.82,-6.04,0.0,0.0,0.0,46.0,Punch,Sebastian
18,02.07.2015 16:49:04:717,-6713.0,-1881.0,-6170.0,-25.75,-33.39,-3.46,0.0,0.0,0.0,43.0,Punch,Sebastian
19,02.07.2015 16:49:04:729,-7943.0,1822.0,-9260.0,-20.86,-30.41,-1.02,0.0,0.0,0.0,42.0,Punch,Sebastian
20,02.07.2015 16:49:04:746,-7986.0,5297.0,-12321.0,-15.94,-26.48,0.82,0.0,0.0,0.0,54.0,Punch,Sebastian
21,02.07.2015 16:49:04:758,-3734.0,6218.0,-14512.0,-11.06,-20.53,1.91,0.0,0.0,0.0,58.0,Punch,Sebastian
22,02.07.2015 16:49:04:774,4360.0,4554.0,-14539.0,-5.6,-11.62,3.16,0.0,0.0,0.0,49.0,Punch,Sebastian
23,02.07.2015 16:49:04:791,9483.0,1779.0,-13475.0,0.48,-4.18,6.36,0.0,0.0,0.0,46.0,Punch,Sebastian
24,02.07.2015 16:49:04:803,12644.0,3866.0,-10469.0,6.24,-2.31,11.91,0.0,0.0,0.0,73.0,Punch,Sebastian
25,02.07.2015 16:49:04:819,7833.0,6421.0,-3598.0,8.85,-3.35,15.35,0.0,0.0,0.0,75.0,Punch,Sebastian
26,02.07.2015 16:49:04:836,8106.0,4180.0,-4442.0,7.78,-2.69,13.84,0.0,0.0,0.0,47.0,Punch,Sebastian
27,02.07.2015 16:49:04:848,7646.0,2735.0,-6218.0,4.84,-2.6,11.66,0.0,0.0,0.0,44.0,Punch,Sebastian
28,02.07.2015 16:49:04:864,3488.0,2630.0,-5540.0,2.83,-3.72,10.61,0.0,0.0,0.0,43.0,Punch,Sebastian
29,02.07.2015 16:49:04:881,1188.0,2944.0,-4883.0,2.68,-4.07,10.74,0.0,0.0,0.0,49.0,Punch,Sebastian
30,02.07.2015 16:49:04:893,582.0,3079.0,-4366.0,3.62,-3.65,11.73,0.0,0.0,0.0,42.0,Punch,Sebastian
31,02.07.2015 16:49:04:909,798.0,2952.0,-3367.0,4.53,-3.05,12.76,0.0,0.0,0.0,43.0,Punch,Sebastian
32,02.07.2015 16:49:04:926,1922.0,3848.0,-1489.0,4.39,-2.26,13.59,0.0,0.0,0.0,48.0,Punch,Sebastian
33,02.07.2015 16:49:04:938,3165.0,3240.0,-727.0,3.66,-1.6,13.17,0.0,0.0,0.0,43.0,Punch,Sebastian
34,02.07.2015 16:49:04:954,2643.0,1713.0,-1475.0,3.31,-1.5,12.52,0.0,0.0,0.0,44.0,Punch,Sebastian
35,02.07.2015 16:49:04:971,1418.0,2134.0,-2574.0,3.4,-1.65,12.8,0.0,0.0,0.0,45.0,Punch,Sebastian
36,02.07.2015 16:49:04:983,-294.0,4117.0,-1665.0,3.41,-1.73,13.52,0.0,0.0,0.0,43.0,Punch,Sebastian
37,02.07.2015 16:49:04:999,828.0,2935.0,-1.0,3.06,-1.03,12.98,0.0,0.0,0.0,41.0,Punch,Sebastian
38,02.07.2015 16:49:05:12,3402.0,1462.0,-407.0,2.66,-0.2,12.16,0.0,0.0,0.0,41.0,Punch,Sebastian
39,02.07.2015 16:49:05:28,2811.0,2620.0,-1206.0,2.33,-0.4,12.26,0.0,0.0,0.0,43.0,Punch,Sebastian
40,02.07.2015 16:49:05:44,1380.0,5003.0,-2008.0,1.9,-0.74,12.07,0.0,0.0,0.0,45.0,Punch,Sebastian
41,02.07.2015 16:49:05:57,877.0,4680.0,-2008.0,1.35,-0.73,10.71,0.0,0.0,0.0,42.0,Punch,Sebastian
42,02.07.2015 16:49:05:73,2047.0,1949.0,-1618.0,0.84,-0.45,8.87,0.0,0.0,0.0,44.0,Punch,Sebastian
43,02.07.2015 16:49:05:90,3374.0,-627.0,-1002.0,0.41,-0.5,7.73,0.0,0.0,0.0,42.0,Punch,Sebastian
44,02.07.2015 16:49:05:102,4595.0,-593.0,-894.0,-0.28,-0.88,7.79,0.0,0.0,0.0,44.0,Punch,Sebastian
45,02.07.2015 16:49:05:118,4898.0,1623.0,-1301.0,-1.53,-1.66,8.23,0.0,0.0,0.0,39.0,Punch,Sebastian
46,02.07.2015 16:49:05:135,4809.0,4906.0,-1580.0,-3.44,-2.73,8.16,0.0,0.0,0.0,32.0,Punch,Sebastian
47,02.07.2015 16:49:05:147,4164.0,4859.0,-2071.0,-5.83,-4.13,6.23,0.0,0.0,0.0,43.0,Punch,Sebastian
48,02.07.2015 16:49:05:163,4146.0,3169.0,-2367.0,-8.26,-5.38,4.01,0.0,0.0,0.0,42.0,Punch,Sebastian
49,02.07.2015 16:49:05:180,4793.0,1096.0,-2382.0,-10.56,-6.67,2.08,0.0,0.0,0.0,49.0,Punch,Sebastian
50,02.07.2015 16:49:05:192,5047.0,229.0,-2298.0,-12.53,-8.15,0.96,0.0,0.0,0.0,29.0,Punch,Sebastian
51,02.07.2015 16:49:05:208,4477.0,313.0,-1902.0,-14.24,-9.73,0.56,0.0,0.0,0.0,45.0,Punch,Sebastian
52,02.07.2015 16:49:05:225,4160.0,682.0,-2115.0,-15.76,-11.24,0.45,0.0,0.0,0.0,42.0,Punch,Sebastian
53,02.07.2015 16:49:05:237,3374.0,824.0,-2152.0,-17.2,-12.94,0.42,0.0,0.0,0.0,46.0,Punch,Sebastian
54,02.07.2015 16:49:05:253,2729.0,363.0,-2264.0,-18.77,-14.68,0.41,0.0,0.0,0.0,40.0,Punch,Sebastian
55,02.07.2015 16:49:05:270,2404.0,17.0,-2745.0,-20.34,-16.16,0.59,0.0,0.0,0.0,43.0,Punch,Sebastian
56,02.07.2015 16:49:05:282,1906.0,100.0,-3127.0,-21.83,-17.42,1.05,0.0,0.0,0.0,45.0,Punch,Sebastian
57,02.07.2015 16:49:05:298,875.0,651.0,-3224.0,-23.08,-18.56,1.63,0.0,0.0,0.0,44.0,Punch,Sebastian
58,02.07.2015 16:49:05:315,-493.0,1035.0,-3049.0,-24.12,-19.71,2.0,0.0,0.0,0.0,42.0,Punch,Sebastian
59,02.07.2015 16:49:05:327,-1439.0,887.0,-2721.0,-24.95,-20.77,2.0,0.0,0.0,0.0,45.0,Punch,Sebastian
60,02.07.2015 16:49:05:343,-1763.0,719.0,-2882.0,-25.69,-21.56,1.88,0.0,0.0,0.0,45.0,Punch,Sebastian
61,02.07.2015 16:49:05:360,-1546.0,389.0,-2793.0,-26.44,-22.21,1.61,0.0,0.0,0.0,46.0,Punch,Sebastian
62,02.07.2015 16:49:05:372,-864.0,-8.0,-2518.0,-27.16,-22.67,1.26,0.0,0.0,0.0,45.0,Punch,Sebastian
63,02.07.2015 16:49:05:389,103.0,-472.0,-2258.0,-27.74,-23.12,0.83,0.0,0.0,0.0,38.0,Punch,Sebastian
64,02.07.2015 16:49:05:405,569.0,-1231.0,-1861.0,-28.12,-23.76,0.38,0.0,0.0,0.0,41.0,Punch,Sebastian
65,02.07.2015 16:49:05:417,-247.0,-1050.0,-1315.0,-28.1,-24.65,0.2,0.0,0.0,0.0,36.0,Punch,Sebastian
66,02.07.2015 16:49:05:434,-460.0,-1613.0,-546.0,-28.19,-25.55,-0.37,0.0,0.0,0.0,35.0,Punch,Sebastian
67,02.07.2015 16:49:05:450,-480.0,-702.0,-683.0,-27.9,-25.95,-0.64,0.0,0.0,0.0,37.0,Punch,Sebastian
68,02.07.2015 16:49:05:462,-284.0,328.0,-1071.0,-27.57,-26.3,-1.07,0.0,0.0,0.0,36.0,Punch,Sebastian
69,02.07.2015 16:49:05:479,-541.0,1484.0,-1511.0,-27.33,-26.85,-1.74,0.0,0.0,0.0,36.0,Punch,Sebastian
