Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,16.07.2015 17:19:24:0,2148.0,-1071.0,-2374.0,-3.58,0.64,-69.78,0.0,0.0,0.0,0.0,Punch,Wadim
1,16.07.2015 17:19:24:16,2184.0,-1017.0,-3052.0,-4.49,0.21,-67.7,0.0,0.0,0.0,0.0,Punch,Wadim
2,16.07.2015 17:19:24:28,2380.0,-650.0,-3150.0,-5.65,-0.34,-65.19,0.0,0.0,0.0,0.0,Punch,Wadim
3,16.07.2015 17:19:24:45,2739.0,-72.0,-2540.0,-6.71,-0.58,-62.45,0.0,0.0,0.0,0.0,Punch,Wadim
4,16.07.2015 17:19:24:61,3328.0,623.0,-1258.0,-7.48,-0.25,-59.59,0.0,0.0,0.0,0.0,Punch,Wadim
5,16.07.2015 17:19:24:73,3823.0,1631.0,819.0,-8.02,0.62,-56.81,0.0,0.0,0.0,0.0,Punch,Wadim
6,16.07.2015 17:19:24:89,3840.0,2892.0,3156.0,-8.48,1.69,-54.68,0.0,0.0,0.0,0.0,Punch,Wadim
7,16.07.2015 17:19:24:106,3271.0,3978.0,4847.0,-9.09,2.63,-53.44,0.0,0.0,0.0,0.0,Punch,Wadim
8,16.07.2015 17:19:24:118,2573.0,4649.0,5942.0,-9.78,3.35,-53.24,0.0,0.0,0.0,0.0,Punch,Wadim
9,16.07.2015 17:19:24:135,1773.0,5017.0,6679.0,-10.42,3.89,-53.86,0.0,0.0,0.0,0.0,Punch,Wadim
10,16.07.2015 17:19:24:151,900.0,4858.0,6828.0,-10.98,4.03,-54.98,0.0,0.0,0.0,0.0,Punch,Wadim
11,16.07.2015 17:19:24:163,601.0,4597.0,7409.0,-11.6,3.85,-56.07,0.0,0.0,0.0,0.0,Punch,Wadim
12,16.07.2015 17:19:24:180,339.0,3216.0,8528.0,-12.03,3.39,-57.79,0.0,0.0,0.0,0.0,Punch,Wadim
13,16.07.2015 17:19:24:196,-291.0,1983.0,9304.0,-12.34,2.9,-60.11,0.0,0.0,0.0,0.0,Punch,Wadim
14,16.07.2015 17:19:24:208,-1597.0,893.0,9588.0,-12.27,2.22,-63.36,0.0,0.0,0.0,0.0,Punch,Wadim
15,16.07.2015 17:19:24:225,-3317.0,-343.0,8832.0,-11.87,1.29,-67.12,0.0,0.0,1.0,0.0,Punch,Wadim
16,16.07.2015 17:19:24:241,-4850.0,-1776.0,7544.0,-11.44,0.12,-70.75,0.0,0.0,0.0,0.0,Punch,Wadim
17,16.07.2015 17:19:24:254,-6065.0,-3121.0,6022.0,-10.97,-1.19,-74.13,0.0,0.0,0.0,0.0,Punch,Wadim
18,16.07.2015 17:19:24:270,-6837.0,-3904.0,4796.0,-10.57,-2.57,-77.04,0.0,0.0,0.0,0.0,Punch,Wadim
19,16.07.2015 17:19:24:286,-7224.0,-4297.0,3763.0,-10.15,-3.99,-79.51,0.0,0.0,0.0,0.0,Punch,Wadim
20,16.07.2015 17:19:24:299,-7200.0,-4591.0,2998.0,-9.47,-5.3,-81.55,0.0,0.0,0.0,0.0,Punch,Wadim
21,16.07.2015 17:19:24:315,-6753.0,-4811.0,2182.0,-8.64,-6.48,-82.66,0.0,0.0,0.0,0.0,Punch,Wadim
22,16.07.2015 17:19:24:331,-6186.0,-4996.0,1158.0,-7.52,-7.54,-82.46,0.0,0.0,0.0,0.0,Punch,Wadim
23,16.07.2015 17:19:24:343,-5567.0,-4999.0,-7.0,-6.61,-8.61,-80.77,0.0,0.0,0.0,0.0,Punch,Wadim
24,16.07.2015 17:19:24:360,-4803.0,-4840.0,-1287.0,-5.68,-9.62,-78.23,0.0,0.0,0.0,0.0,Punch,Wadim
25,16.07.2015 17:19:24:376,-3989.0,-4590.0,-2427.0,-4.88,-10.52,-75.42,0.0,0.0,0.0,0.0,Punch,Wadim
26,16.07.2015 17:19:24:389,-3273.0,-4123.0,-3443.0,-4.15,-11.25,-72.57,0.0,0.0,0.0,0.0,Punch,Wadim
27,16.07.2015 17:19:24:405,-2561.0,-3766.0,-4183.0,-3.37,-11.7,-69.8,0.0,0.0,0.0,0.0,Punch,Wadim
28,16.07.2015 17:19:24:421,-1891.0,-3498.0,-4831.0,-2.47,-11.83,-67.12,0.0,0.0,0.0,0.0,Punch,Wadim
29,16.07.2015 17:19:24:434,-1270.0,-3273.0,-5526.0,-1.47,-11.7,-64.48,0.0,0.0,0.0,0.0,Punch,Wadim
30,16.07.2015 17:19:24:450,-740.0,-2836.0,-6273.0,-0.37,-11.34,-61.85,0.0,0.0,0.0,0.0,Punch,Wadim
31,16.07.2015 17:19:24:466,-241.0,-2317.0,-6998.0,0.78,-10.79,-59.28,0.0,0.0,0.0,0.0,Punch,Wadim
32,16.07.2015 17:19:24:479,259.0,-1503.0,-7897.0,1.91,-10.07,-56.86,0.0,0.0,0.0,0.0,Punch,Wadim
33,16.07.2015 17:19:24:495,878.0,-421.0,-8913.0,2.89,-9.23,-54.82,0.0,0.0,0.0,0.0,Punch,Wadim
34,16.07.2015 17:19:24:508,1664.0,849.0,-9860.0,3.59,-8.31,-53.57,0.0,0.0,0.0,0.0,Punch,Wadim
35,16.07.2015 17:19:24:524,2838.0,1662.0,-10328.0,3.96,-7.27,-53.64,0.0,0.0,0.0,0.0,Punch,Wadim
36,16.07.2015 17:19:24:540,4331.0,1531.0,-10481.0,4.01,-6.23,-55.3,0.0,0.0,0.0,0.0,Punch,Wadim
37,16.07.2015 17:19:24:553,5829.0,294.0,-9874.0,3.63,-5.4,-58.77,0.0,0.0,0.0,0.0,Punch,Wadim
38,16.07.2015 17:19:24:569,6672.0,-1472.0,-8095.0,2.79,-4.93,-63.65,0.0,0.0,0.0,0.0,Punch,Wadim
39,16.07.2015 17:19:24:585,6722.0,-2849.0,-5522.0,1.53,-4.75,-69.29,0.0,0.0,0.0,0.0,Punch,Wadim
40,16.07.2015 17:19:24:598,6198.0,-3476.0,-2547.0,0.04,-4.73,-74.85,0.0,0.0,0.0,0.0,Punch,Wadim
41,16.07.2015 17:19:24:614,5434.0,-3383.0,437.0,-1.47,-4.81,-79.47,0.0,0.0,0.0,0.0,Punch,Wadim
42,16.07.2015 17:19:24:630,4575.0,-2812.0,2782.0,-2.88,-5.06,-82.41,0.0,0.0,0.0,0.0,Punch,Wadim
43,16.07.2015 17:19:24:643,3280.0,-1636.0,4498.0,-4.23,-5.65,-83.4,0.0,0.0,1.0,0.0,Punch,Wadim
44,16.07.2015 17:19:24:659,1604.0,-240.0,5103.0,-5.49,-6.7,-82.79,0.0,0.0,0.0,0.0,Punch,Wadim
45,16.07.2015 17:19:24:675,-5.0,736.0,4710.0,-6.62,-8.1,-81.34,0.0,0.0,0.0,0.0,Punch,Wadim
46,16.07.2015 17:19:24:688,-1368.0,1083.0,3622.0,-7.65,-9.81,-79.32,0.0,0.0,0.0,0.0,Punch,Wadim
47,16.07.2015 17:19:24:704,-2427.0,1061.0,2175.0,-8.69,-11.76,-76.97,0.0,0.0,0.0,0.0,Punch,Wadim
48,16.07.2015 17:19:24:720,-3302.0,1445.0,580.0,-9.92,-13.98,-74.41,0.0,0.0,0.0,0.0,Punch,Wadim
49,16.07.2015 17:19:24:733,-3861.0,2234.0,-1071.0,-11.53,-16.45,-71.78,0.0,0.0,0.0,0.0,Punch,Wadim
