Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 15:36:06:750,449.0,-417.0,-697.0,36.38,2.78,-7.18,0.0,0.0,0.0,0.0,Punch,xyz
1,02.07.2015 15:36:06:874,-136.0,-885.0,-527.0,36.36,2.55,-8.44,0.0,0.0,0.0,0.0,Punch,xyz
2,02.07.2015 15:36:06:989,-575.0,-1019.0,-551.0,36.25,2.26,-9.28,0.0,0.0,0.0,0.0,Punch,xyz
3,02.07.2015 15:36:07:107,-903.0,-1311.0,-761.0,36.11,1.99,-9.89,0.0,0.0,0.0,0.0,Punch,xyz
4,02.07.2015 15:36:07:223,-1108.0,-1311.0,-1056.0,35.99,1.7,-10.23,0.0,0.0,0.0,0.0,Punch,xyz
5,02.07.2015 15:36:07:340,-1049.0,-1045.0,-1231.0,35.87,1.46,-10.27,0.0,0.0,0.0,0.0,Punch,xyz
6,02.07.2015 15:36:07:452,-656.0,-758.0,-1277.0,35.76,1.26,-10.11,0.0,0.0,0.0,0.0,Punch,xyz
7,02.07.2015 15:36:07:565,-324.0,-558.0,-997.0,35.68,0.98,-9.97,0.0,0.0,0.0,0.0,Punch,xyz
8,02.07.2015 15:36:07:680,-67.0,-310.0,-944.0,35.69,0.66,-9.84,0.0,0.0,0.0,0.0,Punch,xyz
9,02.07.2015 15:36:07:795,-85.0,-210.0,-817.0,35.76,0.33,-9.83,0.0,0.0,0.0,0.0,Punch,xyz
10,02.07.2015 15:36:07:905,-231.0,-35.0,-841.0,35.86,0.04,-9.84,0.0,0.0,0.0,0.0,Punch,xyz
11,02.07.2015 15:36:08:22,-461.0,162.0,-765.0,35.93,-0.19,-9.8,0.0,0.0,0.0,0.0,Punch,xyz
12,02.07.2015 15:36:08:138,-663.0,281.0,-609.0,35.97,-0.31,-9.68,0.0,0.0,0.0,0.0,Punch,xyz
13,02.07.2015 15:36:08:250,-659.0,293.0,-477.0,35.99,-0.35,-9.43,0.0,0.0,0.0,0.0,Punch,xyz
14,02.07.2015 15:36:08:363,-469.0,304.0,-461.0,36.06,-0.33,-9.11,0.0,0.0,0.0,0.0,Punch,xyz
15,02.07.2015 15:36:08:478,-246.0,310.0,-588.0,36.15,-0.29,-8.77,0.0,0.0,0.0,0.0,Punch,xyz
16,02.07.2015 15:36:08:595,14.0,334.0,-834.0,36.25,-0.23,-8.44,0.0,0.0,0.0,0.0,Punch,xyz
17,02.07.2015 15:36:08:712,250.0,377.0,-1097.0,36.34,-0.17,-8.17,0.0,0.0,0.0,0.0,Punch,xyz
18,02.07.2015 15:36:08:828,374.0,410.0,-1305.0,36.42,-0.14,-7.97,0.0,0.0,0.0,0.0,Punch,xyz
19,02.07.2015 15:36:08:937,390.0,406.0,-1376.0,36.49,-0.14,-7.85,0.0,0.0,0.0,0.0,Punch,xyz
20,02.07.2015 15:36:09:52,392.0,399.0,-1297.0,36.55,-0.15,-7.8,0.0,0.0,0.0,0.0,Punch,xyz
21,02.07.2015 15:36:09:166,339.0,390.0,-1110.0,36.59,-0.19,-7.82,0.0,0.0,0.0,0.0,Punch,xyz
