Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:45:49:297,33.0,424.0,716.0,34.77,23.95,-65.38,0.0,0.0,0.0,12.0,Upper Cut,Christian
1,02.07.2015 16:45:49:314,435.0,318.0,853.0,34.9,23.84,-65.48,0.0,0.0,0.0,15.0,Upper Cut,Christian
2,02.07.2015 16:45:49:326,819.0,370.0,634.0,34.86,23.74,-65.58,0.0,0.0,0.0,9.0,Upper Cut,Christian
3,02.07.2015 16:45:49:342,1083.0,423.0,-125.0,34.64,23.7,-65.65,0.0,0.0,0.0,14.0,Upper Cut,Christian
4,02.07.2015 16:45:49:359,1296.0,557.0,-855.0,34.66,23.82,-65.56,0.0,0.0,0.0,13.0,Upper Cut,Christian
5,02.07.2015 16:45:49:371,1498.0,885.0,-1160.0,35.06,24.18,-65.22,0.0,0.0,0.0,32.0,Upper Cut,Christian
6,02.07.2015 16:45:49:387,1675.0,1452.0,-906.0,35.76,24.87,-64.56,0.0,0.0,0.0,10.0,Upper Cut,Christian
7,02.07.2015 16:45:49:404,2012.0,2328.0,-353.0,36.55,25.96,-63.54,0.0,0.0,0.0,7.0,Upper Cut,Christian
8,02.07.2015 16:45:49:416,2183.0,3143.0,-162.0,37.35,27.42,-62.17,0.0,0.0,0.0,0.0,Upper Cut,Christian
9,02.07.2015 16:45:49:433,2117.0,3805.0,-449.0,38.41,29.21,-60.45,0.0,0.0,0.0,0.0,Upper Cut,Christian
10,02.07.2015 16:45:49:449,1922.0,4502.0,-743.0,40.21,31.39,-58.32,0.0,0.0,0.0,10.0,Upper Cut,Christian
11,02.07.2015 16:45:49:461,1705.0,5170.0,-394.0,42.85,33.97,-55.75,0.0,0.0,0.0,11.0,Upper Cut,Christian
12,02.07.2015 16:45:49:478,1696.0,5724.0,742.0,45.84,36.93,-52.8,0.0,0.0,0.0,12.0,Upper Cut,Christian
13,02.07.2015 16:45:49:494,1696.0,5813.0,1547.0,48.49,40.23,-49.54,0.0,0.0,0.0,12.0,Upper Cut,Christian
14,02.07.2015 16:45:49:506,1820.0,5635.0,1609.0,51.26,43.89,-45.92,0.0,0.0,0.0,14.0,Upper Cut,Christian
15,02.07.2015 16:45:49:523,2056.0,5235.0,1774.0,54.61,47.88,-41.95,0.0,0.0,0.0,14.0,Upper Cut,Christian
16,02.07.2015 16:45:49:539,2192.0,4349.0,2403.0,58.29,52.02,-37.81,0.0,0.0,0.0,13.0,Upper Cut,Christian
17,02.07.2015 16:45:49:551,2260.0,3015.0,3112.0,62.0,56.23,-33.61,0.0,0.0,0.0,12.0,Upper Cut,Christian
18,02.07.2015 16:45:49:568,2133.0,1315.0,3263.0,65.34,60.35,-29.51,0.0,0.0,0.0,8.0,Upper Cut,Christian
19,02.07.2015 16:45:49:584,2001.0,-455.0,3037.0,68.54,64.41,-25.46,0.0,0.0,0.0,0.0,Upper Cut,Christian
20,02.07.2015 16:45:49:596,1748.0,-2262.0,2332.0,71.37,68.37,-21.55,0.0,0.0,0.0,7.0,Upper Cut,Christian
21,02.07.2015 16:45:49:613,1289.0,-4327.0,1390.0,73.77,72.03,-17.93,0.0,0.0,0.0,5.0,Upper Cut,Christian
22,02.07.2015 16:45:49:629,1067.0,-6359.0,254.0,75.89,75.4,-14.6,0.0,0.0,0.0,4.0,Upper Cut,Christian
