Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:39:09:345,17.0,-638.0,-503.0,-48.71,-21.93,-54.28,0.0,0.0,0.0,0.0,Upper Cut,Christoph
1,02.07.2015 16:39:09:357,65.0,-551.0,-459.0,-48.66,-21.96,-54.37,0.0,0.0,0.0,0.0,Upper Cut,Christoph
2,02.07.2015 16:39:09:374,36.0,-547.0,-419.0,-48.6,-22.0,-54.44,0.0,0.0,0.0,0.0,Upper Cut,Christoph
3,02.07.2015 16:39:09:390,-62.0,-576.0,-426.0,-48.56,-22.04,-54.49,0.0,0.0,0.0,0.0,Upper Cut,Christoph
4,02.07.2015 16:39:09:403,-137.0,-616.0,-490.0,-48.54,-22.08,-54.52,0.0,0.0,0.0,0.0,Upper Cut,Christoph
5,02.07.2015 16:39:09:419,-225.0,-659.0,-596.0,-48.5,-22.11,-54.56,0.0,0.0,0.0,0.0,Upper Cut,Christoph
6,02.07.2015 16:39:09:435,-236.0,-678.0,-657.0,-48.47,-22.13,-54.62,0.0,0.0,0.0,0.0,Upper Cut,Christoph
7,02.07.2015 16:39:09:447,-259.0,-731.0,-740.0,-48.42,-22.17,-54.69,0.0,0.0,0.0,0.0,Upper Cut,Christoph
8,02.07.2015 16:39:09:464,-291.0,-769.0,-733.0,-48.37,-22.23,-54.77,0.0,0.0,0.0,0.0,Upper Cut,Christoph
9,02.07.2015 16:39:09:480,-360.0,-819.0,-722.0,-48.3,-22.29,-54.86,0.0,0.0,0.0,0.0,Upper Cut,Christoph
10,02.07.2015 16:39:09:493,-406.0,-842.0,-714.0,-48.23,-22.31,-54.97,0.0,0.0,0.0,0.0,Upper Cut,Christoph
11,02.07.2015 16:39:09:509,-479.0,-887.0,-779.0,-48.15,-22.31,-55.06,0.0,0.0,0.0,0.0,Upper Cut,Christoph
12,02.07.2015 16:39:09:525,-681.0,-949.0,-861.0,-48.07,-22.28,-55.16,0.0,0.0,0.0,0.0,Upper Cut,Christoph
13,02.07.2015 16:39:09:538,-895.0,-863.0,-864.0,-47.98,-22.2,-55.27,0.0,0.0,0.0,0.0,Upper Cut,Christoph
14,02.07.2015 16:39:09:554,-1176.0,-432.0,-544.0,-47.9,-21.95,-55.42,0.0,0.0,0.0,0.0,Upper Cut,Christoph
15,02.07.2015 16:39:09:570,-1249.0,744.0,231.0,-47.9,-21.41,-55.59,0.0,0.0,0.0,0.0,Upper Cut,Christoph
16,02.07.2015 16:39:09:583,-956.0,2838.0,1235.0,-47.97,-20.48,-55.7,0.0,0.0,0.0,0.0,Upper Cut,Christoph
17,02.07.2015 16:39:09:599,-360.0,5813.0,2166.0,-47.87,-18.98,-55.76,0.0,0.0,0.0,0.0,Upper Cut,Christoph
18,02.07.2015 16:39:09:615,814.0,9232.0,2900.0,-47.05,-16.69,-55.89,0.0,0.0,0.0,0.0,Upper Cut,Christoph
19,02.07.2015 16:39:09:628,2607.0,12290.0,3151.0,-45.04,-13.73,-56.01,0.0,0.0,0.0,0.0,Upper Cut,Christoph
20,02.07.2015 16:39:09:644,4411.0,13840.0,2803.0,-41.88,-10.6,-55.95,0.0,0.0,0.0,0.0,Upper Cut,Christoph
21,02.07.2015 16:39:09:660,6215.0,14050.0,1777.0,-37.61,-7.61,-55.9,0.0,0.0,0.0,0.0,Upper Cut,Christoph
22,02.07.2015 16:39:09:673,8149.0,13309.0,379.0,-32.16,-4.7,-56.23,0.0,0.0,0.0,0.0,Upper Cut,Christoph
23,02.07.2015 16:39:09:689,10129.0,11559.0,-872.0,-25.66,-1.81,-57.14,0.0,0.0,0.0,0.0,Upper Cut,Christoph
24,02.07.2015 16:39:09:705,11936.0,8508.0,-1980.0,-18.48,1.06,-58.55,0.0,0.0,0.0,0.0,Upper Cut,Christoph
25,02.07.2015 16:39:09:718,12725.0,4638.0,-3002.0,-11.09,3.88,-60.26,0.0,0.0,0.0,0.0,Upper Cut,Christoph
26,02.07.2015 16:39:09:734,13005.0,519.0,-4470.0,-3.81,6.75,-62.13,0.0,0.0,0.0,0.0,Upper Cut,Christoph
27,02.07.2015 16:39:09:747,12084.0,-4099.0,-6841.0,2.95,9.5,-64.09,0.0,0.0,0.0,0.0,Upper Cut,Christoph
28,02.07.2015 16:39:09:763,10330.0,-8768.0,-8554.0,9.0,12.19,-66.07,0.0,0.0,0.0,0.0,Upper Cut,Christoph
29,02.07.2015 16:39:09:779,6768.0,-12730.0,-7530.0,14.38,14.97,-66.93,0.0,0.0,0.0,0.0,Upper Cut,Christoph
30,02.07.2015 16:39:09:792,276.0,-15202.0,-5713.0,19.67,18.13,-65.4,0.0,0.0,0.0,0.0,Upper Cut,Christoph
31,02.07.2015 16:39:09:808,-8326.0,-14658.0,-7544.0,25.35,21.78,-61.66,0.0,0.0,0.0,0.0,Upper Cut,Christoph
32,02.07.2015 16:39:09:824,-14160.0,-13524.0,-9257.0,31.21,26.46,-57.09,0.0,0.0,0.0,0.0,Upper Cut,Christoph
33,02.07.2015 16:39:09:841,-16242.0,-12620.0,-12643.0,36.63,31.69,-52.22,0.0,0.0,0.0,0.0,Upper Cut,Christoph
34,02.07.2015 16:39:09:853,-16871.0,-12824.0,-13947.0,40.58,36.2,-48.48,0.0,0.0,0.0,0.0,Upper Cut,Christoph
35,02.07.2015 16:39:09:869,-16223.0,-12720.0,-16537.0,42.97,39.57,-46.52,0.0,0.0,0.0,0.0,Upper Cut,Christoph
36,02.07.2015 16:39:09:886,-15066.0,-13207.0,-17925.0,43.13,41.37,-47.09,0.0,0.0,0.0,0.0,Upper Cut,Christoph
37,02.07.2015 16:39:09:898,-16332.0,-14210.0,-15211.0,40.97,41.0,-49.0,0.0,0.0,0.0,0.0,Upper Cut,Christoph
38,02.07.2015 16:39:09:914,-19818.0,-13698.0,-7956.0,36.42,37.35,-49.8,0.0,0.0,0.0,0.0,Upper Cut,Christoph
39,02.07.2015 16:39:09:931,-21361.0,-11748.0,-1024.0,31.53,31.14,-47.17,0.0,0.0,0.0,25.0,Upper Cut,Christoph
40,02.07.2015 16:39:09:943,-19710.0,-8836.0,5207.0,28.32,23.29,-41.53,0.0,0.0,0.0,30.0,Upper Cut,Christoph
