Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:20:07:918,936.0,-4981.0,-3999.0,-10.86,-10.46,-46.65,0.0,0.0,0.0,0.0,Upper Cut,Eike
1,02.07.2015 16:20:07:930,12.0,-2942.0,-2499.0,-11.84,-8.8,-40.83,0.0,0.0,0.0,0.0,Upper Cut,Eike
2,02.07.2015 16:20:07:946,-1219.0,-1394.0,-2473.0,-13.24,-7.09,-37.02,0.0,0.0,0.0,0.0,Upper Cut,Eike
3,02.07.2015 16:20:07:963,-2095.0,-2833.0,-3304.0,-14.8,-5.18,-34.98,0.0,0.0,0.0,0.0,Upper Cut,Eike
4,02.07.2015 16:20:07:975,-3505.0,-8354.0,-3748.0,-16.3,-2.11,-33.73,0.0,0.0,0.0,0.0,Upper Cut,Eike
5,02.07.2015 16:20:07:991,-5844.0,-12671.0,-3284.0,-17.57,2.95,-31.73,0.0,0.0,0.0,0.0,Upper Cut,Eike
6,02.07.2015 16:20:08:8,-9677.0,-14080.0,-2739.0,-19.01,9.79,-28.82,0.0,0.0,0.0,0.0,Upper Cut,Eike
7,02.07.2015 16:20:08:20,-15026.0,-12987.0,-3230.0,-20.75,16.72,-25.8,0.0,0.0,0.0,0.0,Upper Cut,Eike
8,02.07.2015 16:20:08:37,-19770.0,-10753.0,-3361.0,-23.04,21.5,-19.69,0.0,0.0,0.0,0.0,Upper Cut,Eike
9,02.07.2015 16:20:08:53,-20339.0,-9947.0,-724.0,-23.28,22.71,-10.72,0.0,0.0,0.0,3.0,Upper Cut,Eike
10,02.07.2015 16:20:08:65,-14863.0,-5320.0,3571.0,-19.96,21.31,-2.84,0.0,0.0,0.0,46.0,Upper Cut,Eike
11,02.07.2015 16:20:08:82,-11595.0,-3669.0,5356.0,-13.25,18.08,0.6,0.0,0.0,0.0,65.0,Upper Cut,Eike
12,02.07.2015 16:20:08:98,-10594.0,-8061.0,6859.0,-5.09,11.08,2.95,0.0,0.0,0.0,79.0,Upper Cut,Eike
13,02.07.2015 16:20:08:110,-3681.0,-10552.0,9057.0,2.14,2.37,5.81,0.0,0.0,0.0,79.0,Upper Cut,Eike
14,02.07.2015 16:20:08:127,6995.0,-7458.0,9056.0,8.98,-7.04,8.96,0.0,0.0,0.0,86.0,Upper Cut,Eike
15,02.07.2015 16:20:08:139,11729.0,4205.0,5387.0,15.53,-15.45,12.43,0.0,0.0,0.0,95.0,Upper Cut,Eike
16,02.07.2015 16:20:08:155,11490.0,12107.0,1494.0,22.02,-24.27,12.74,0.0,0.0,0.0,122.0,Upper Cut,Eike
17,02.07.2015 16:20:08:172,10421.0,16436.0,-1668.0,28.82,-35.66,9.87,0.0,0.0,0.0,109.0,Upper Cut,Eike
18,02.07.2015 16:20:08:188,11684.0,19421.0,-6168.0,35.68,-47.71,5.34,0.0,0.0,0.0,108.0,Upper Cut,Eike
19,02.07.2015 16:20:08:201,13261.0,19551.0,-11019.0,43.41,-59.11,1.59,0.0,0.0,0.0,109.0,Upper Cut,Eike
20,02.07.2015 16:20:08:217,13790.0,17980.0,-15677.0,54.32,-69.65,-0.01,0.0,0.0,0.0,103.0,Upper Cut,Eike
21,02.07.2015 16:20:08:233,11798.0,18940.0,-19551.0,69.9,-79.16,-1.14,0.0,0.0,0.0,96.0,Upper Cut,Eike
22,02.07.2015 16:20:08:245,10323.0,18131.0,-22532.0,86.66,-86.85,-1.95,0.0,0.0,0.0,86.0,Upper Cut,Eike
23,02.07.2015 16:20:08:278,10366.0,14457.0,-24842.0,99.14,-86.21,-1.05,0.0,0.0,0.0,68.0,Upper Cut,Eike
24,02.07.2015 16:20:08:291,10837.0,9186.0,-24762.0,109.55,-81.38,1.02,0.0,0.0,0.0,61.0,Upper Cut,Eike
25,02.07.2015 16:20:08:307,10086.0,5600.0,-22935.0,115.61,-76.59,4.2,0.0,0.0,0.0,60.0,Upper Cut,Eike
26,02.07.2015 16:20:08:323,8256.0,2319.0,-20929.0,120.76,-71.11,7.51,0.0,0.0,46.0,56.0,Upper Cut,Eike
27,02.07.2015 16:20:08:336,5505.0,1309.0,-20341.0,124.58,-65.76,9.95,0.0,0.0,0.0,54.0,Upper Cut,Eike
28,02.07.2015 16:20:08:352,3041.0,954.0,-20081.0,126.93,-61.48,11.57,0.0,0.0,0.0,55.0,Upper Cut,Eike
29,02.07.2015 16:20:08:368,1121.0,679.0,-18659.0,128.63,-58.6,12.57,0.0,0.0,0.0,52.0,Upper Cut,Eike
30,02.07.2015 16:20:08:381,-409.0,-585.0,-15421.0,130.46,-56.52,13.34,0.0,0.0,0.0,55.0,Upper Cut,Eike
31,02.07.2015 16:20:08:397,-1798.0,-2478.0,-12544.0,132.83,-54.38,13.78,0.0,0.0,0.0,52.0,Upper Cut,Eike
32,02.07.2015 16:20:08:409,-2432.0,-4601.0,-11548.0,134.83,-52.51,14.12,0.0,0.0,0.0,55.0,Upper Cut,Eike
33,02.07.2015 16:20:08:426,-2419.0,-5159.0,-11304.0,135.52,-51.63,13.9,0.0,0.0,0.0,51.0,Upper Cut,Eike
34,02.07.2015 16:20:08:442,-2176.0,-4036.0,-10420.0,135.31,-51.67,13.16,0.0,0.0,0.0,46.0,Upper Cut,Eike
35,02.07.2015 16:20:08:458,-1696.0,-2435.0,-8787.0,134.94,-52.01,12.24,0.0,0.0,0.0,51.0,Upper Cut,Eike
36,02.07.2015 16:20:08:471,-885.0,-944.0,-7399.0,134.59,-52.24,11.22,0.0,0.0,0.0,50.0,Upper Cut,Eike
