Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,11.06.2015 17:19:29:600,921.0,-1144.0,-14.0,-26.3,29.99,54.94,0,0,0,0,0,0,0,0,Upper Cut,Guido
1,11.06.2015 17:19:29:650,1013.0,-869.0,-58.0,-26.44,30.11,54.9,0,0,0,0,Upper Cut,Guido
2,11.06.2015 17:19:29:700,1078.0,-593.0,-103.0,-26.55,30.2,54.87,0,0,0,0,Upper Cut,Guido
3,11.06.2015 17:19:29:750,1094.0,-447.0,-81.0,-26.63,30.25,54.84,0,0,0,0,Upper Cut,Guido
4,11.06.2015 17:19:29:800,1077.0,-434.0,-30.0,-26.67,30.26,54.78,0,0,0,0,Upper Cut,Guido
5,11.06.2015 17:19:29:850,1039.0,-531.0,35.0,-26.68,30.26,54.71,0,0,0,0,Upper Cut,Guido
6,11.06.2015 17:19:29:900,981.0,-732.0,86.0,-26.69,30.25,54.62,0,0,0,0,Upper Cut,Guido
7,11.06.2015 17:19:29:950,930.0,-946.0,131.0,-26.71,30.25,54.51,0,0,0,0,Upper Cut,Guido
8,11.06.2015 17:19:30:000,885.0,-1086.0,156.0,-26.74,30.28,54.41,0,0,0,0,Upper Cut,Guido
9,11.06.2015 17:19:30:050,877.0,-1180.0,153.0,-26.81,30.33,54.31,0,0,0,0,Upper Cut,Guido
10,11.06.2015 17:19:30:100,900.0,-1238.0,82.0,-26.91,30.41,54.21,0,0,0,0,Upper Cut,Guido
11,11.06.2015 17:19:30:150,977.0,-1294.0,-23.0,-27.02,30.51,54.1,0,0,0,0,Upper Cut,Guido
12,11.06.2015 17:19:30:200,1088.0,-1315.0,-190.0,-27.13,30.61,53.99,0,0,0,0,Upper Cut,Guido
13,11.06.2015 17:19:30:250,1232.0,-1329.0,-380.0,-27.2,30.71,53.85,0,0,0,0,Upper Cut,Guido
14,11.06.2015 17:19:30:300,1375.0,-1317.0,-661.0,-27.24,30.78,53.71,0,0,0,0,Upper Cut,Guido
15,11.06.2015 17:19:30:350,1548.0,-1329.0,-919.0,-27.24,30.84,53.55,0,0,0,0,Upper Cut,Guido
16,11.06.2015 17:19:30:400,1724.0,-1291.0,-1199.0,-27.19,30.89,53.34,0,0,0,0,Upper Cut,Guido
17,11.06.2015 17:19:30:450,1861.0,-1259.0,-1566.0,-27.08,30.92,53.1,0,0,0,0,Upper Cut,Guido
18,11.06.2015 17:19:30:500,1963.0,-1232.0,-2022.0,-26.9,30.91,52.83,0,0,0,0,Upper Cut,Guido
19,11.06.2015 17:19:30:550,2027.0,-1083.0,-2635.0,-26.6,30.85,52.51,0,0,0,0,Upper Cut,Guido
20,11.06.2015 17:19:30:600,2034.0,-796.0,-3472.0,-26.19,30.74,52.14,0,0,0,0,Upper Cut,Guido
21,11.06.2015 17:19:30:650,2000.0,-397.0,-4480.0,-25.62,30.51,51.7,0,0,0,0,Upper Cut,Guido
22,11.06.2015 17:19:30:700,1903.0,125.0,-5618.0,-24.88,30.14,51.18,0,0,0,0,Upper Cut,Guido
23,11.06.2015 17:19:30:750,1670.0,813.0,-6961.0,-23.89,29.52,50.6,0,0,0,0,Upper Cut,Guido
24,11.06.2015 17:19:30:800,1180.0,1575.0,-8460.0,-22.59,28.47,50.03,0,0,0,0,Upper Cut,Guido
25,11.06.2015 17:19:30:850,464.0,2139.0,-9834.0,-20.92,26.85,49.41,0,0,0,0,Upper Cut,Guido
26,11.06.2015 17:19:30:900,-506.0,2354.0,-10926.0,-18.9,24.54,48.59,0,0,0,0,Upper Cut,Guido
27,11.06.2015 17:19:30:950,-1680.0,2187.0,-11666.0,-16.61,21.48,47.4,0,0,0,0,Upper Cut,Guido
28,11.06.2015 17:19:31:000,-3023.0,1749.0,-11813.0,-14.21,17.67,45.72,0,0,0,0,Upper Cut,Guido
29,11.06.2015 17:19:31:050,-4384.0,1230.0,-11256.0,-11.81,13.05,43.55,0,0,0,0,Upper Cut,Guido
30,11.06.2015 17:19:31:100,-6061.0,402.0,-9899.0,-9.48,7.51,40.84,0,0,0,0,Upper Cut,Guido
31,11.06.2015 17:19:31:150,-8103.0,-251.0,-7685.0,-7.14,0.7,37.54,0,0,0,0,Upper Cut,Guido
32,11.06.2015 17:19:31:200,-9823.0,254.0,-3693.0,-4.76,-7.61,33.99,0,0,0,0,Upper Cut,Guido
33,11.06.2015 17:19:31:250,-9658.0,2408.0,2439.0,-2.58,-17.1,30.72,0,0,0,0,Upper Cut,Guido
34,11.06.2015 17:19:31:300,-6031.0,3542.0,8558.0,-1.08,-26.66,27.79,0,0,0,0,Upper Cut,Guido
35,11.06.2015 17:19:31:350,-2503.0,4661.0,12371.0,-0.75,-34.99,25.27,0,0,0,0,Upper Cut,Guido
36,11.06.2015 17:19:31:400,-258.0,5584.0,14745.0,-1.09,-42.15,23.48,0,0,0,0,Upper Cut,Guido
37,11.06.2015 17:19:31:450,3226.0,5679.0,15930.0,-0.46,-48.03,24.18,0,0,0,0,Upper Cut,Guido
38,11.06.2015 17:19:31:500,5826.0,4409.0,17009.0,-0.91,-50.96,27.6,0,0,0,0,Upper Cut,Guido
39,11.06.2015 17:19:31:550,7709.0,2052.0,17633.0,-2.82,-49.45,33.61,0,0,0,0,Upper Cut,Guido
40,11.06.2015 17:19:31:600,8847.0,-802.0,17861.0,-5.7,-44.82,40.62,0,0,0,0,Upper Cut,Guido
41,11.06.2015 17:19:31:650,8941.0,-3876.0,17623.0,-8.82,-38.49,48.03,0,0,0,0,Upper Cut,Guido
42,11.06.2015 17:19:31:700,7238.0,-6749.0,16268.0,-10.54,-31.86,55.4,0,0,0,0,Upper Cut,Guido
43,11.06.2015 17:19:31:750,5761.0,-10374.0,11905.0,-10.61,-26.35,61.62,0,0,0,0,Upper Cut,Guido
44,11.06.2015 17:19:31:800,5253.0,-13762.0,5226.0,-8.03,-22.89,65.95,0,0,0,0,Upper Cut,Guido
45,11.06.2015 17:19:31:850,6560.0,-16245.0,-1142.0,-2.23,-21.06,68.55,0,0,0,0,Upper Cut,Guido
46,11.06.2015 17:19:31:900,9078.0,-17515.0,-5774.0,10.77,-19.92,70.06,0,0,0,0,Upper Cut,Guido
47,11.06.2015 17:19:31:950,12133.0,-17778.0,-8607.0,55.65,-18.71,71.21,0,0,0,0,Upper Cut,Guido
48,11.06.2015 17:19:32:000,13685.0,-15889.0,-12523.0,92.98,-16.88,72.77,0,0,0,0,Upper Cut,Guido
49,11.06.2015 17:19:32:050,13845.0,-13876.0,-17093.0,70.32,-14.57,74.96,0,0,0,0,Upper Cut,Guido
50,11.06.2015 17:19:32:100,11845.0,-15380.0,-18948.0,35.76,-13.39,76.31,0,0,0,0,Upper Cut,Guido
51,11.06.2015 17:19:32:150,4051.0,-15665.0,-19769.0,29.33,-13.62,75.98,0,0,0,0,Upper Cut,Guido
52,11.06.2015 17:19:32:200,-2143.0,-14629.0,-20194.0,31.95,-14.16,74.96,0,0,0,0,Upper Cut,Guido
53,11.06.2015 17:19:32:250,-1828.0,-12704.0,-21285.0,31.3,-14.01,74.92,0,0,0,0,Upper Cut,Guido
54,11.06.2015 17:19:32:300,2097.0,-9840.0,-22841.0,20.67,-11.79,77.85,0,0,0,0,Upper Cut,Guido
55,11.06.2015 17:19:32:350,5019.0,-11396.0,-22658.0,3.89,-9.45,80.38,0,0,0,0,Upper Cut,Guido
56,11.06.2015 17:19:32:400,5843.0,-13296.0,-21837.0,-9.94,-8.87,78.9,0,0,0,0,Upper Cut,Guido
57,11.06.2015 17:19:32:450,7388.0,-14190.0,-19972.0,-17.97,-9.1,75.73,0,0,0,0,Upper Cut,Guido
58,11.06.2015 17:19:32:500,7541.0,-13659.0,-15259.0,-22.44,-9.58,72.18,0,0,0,0,Upper Cut,Guido
59,11.06.2015 17:19:32:550,6033.0,-11956.0,-9164.0,-25.4,-10.37,68.49,0,0,0,0,Upper Cut,Guido
