Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,24.06.2015 21:17:11:276,939.0,-85.0,3.0,-33.06,33.28,55.56,0.0,0.0,0.0,0.0,Upper Cut,Guido
1,24.06.2015 21:17:11:286,954.0,-116.0,-13.0,-33.13,33.34,55.47,0.0,0.0,0.0,0.0,Upper Cut,Guido
2,24.06.2015 21:17:11:296,975.0,-95.0,-56.0,-33.17,33.38,55.4,0.0,0.0,0.0,0.0,Upper Cut,Guido
3,24.06.2015 21:17:11:306,1000.0,-45.0,-157.0,-33.21,33.42,55.32,0.0,0.0,0.0,0.0,Upper Cut,Guido
4,24.06.2015 21:17:11:316,1049.0,8.0,-321.0,-33.22,33.43,55.26,0.0,0.0,0.0,0.0,Upper Cut,Guido
5,24.06.2015 21:17:11:326,1121.0,71.0,-530.0,-33.22,33.44,55.19,0.0,0.0,0.0,0.0,Upper Cut,Guido
6,24.06.2015 21:17:11:336,1254.0,136.0,-852.0,-33.2,33.43,55.1,0.0,0.0,0.0,0.0,Upper Cut,Guido
7,24.06.2015 21:17:11:346,1380.0,238.0,-1343.0,-33.17,33.41,54.97,0.0,0.0,0.0,0.0,Upper Cut,Guido
8,24.06.2015 21:17:11:356,1558.0,425.0,-2077.0,-33.1,33.35,54.82,0.0,0.0,0.0,0.0,Upper Cut,Guido
9,24.06.2015 21:17:11:366,1797.0,640.0,-3174.0,-32.98,33.24,54.61,0.0,0.0,0.0,0.0,Upper Cut,Guido
10,24.06.2015 21:17:11:376,2091.0,845.0,-4657.0,-32.79,33.03,54.34,0.0,0.0,0.0,0.0,Upper Cut,Guido
11,24.06.2015 21:17:11:386,2372.0,945.0,-6319.0,-32.47,32.68,53.93,0.0,0.0,0.0,0.0,Upper Cut,Guido
12,24.06.2015 21:17:11:396,2538.0,942.0,-8115.0,-32.0,32.11,53.32,0.0,0.0,0.0,0.0,Upper Cut,Guido
13,24.06.2015 21:17:11:406,2500.0,901.0,-10017.0,-31.31,31.24,52.45,0.0,0.0,0.0,0.0,Upper Cut,Guido
14,24.06.2015 21:17:11:416,2210.0,824.0,-11903.0,-30.29,29.88,51.29,0.0,0.0,0.0,0.0,Upper Cut,Guido
15,24.06.2015 21:17:11:426,1647.0,382.0,-13411.0,-28.91,27.9,49.77,0.0,0.0,0.0,0.0,Upper Cut,Guido
16,24.06.2015 21:17:11:436,785.0,-453.0,-14036.0,-27.19,25.23,47.67,0.0,0.0,0.0,0.0,Upper Cut,Guido
17,24.06.2015 21:17:11:446,-434.0,-1255.0,-14146.0,-25.18,21.84,44.92,0.0,0.0,0.0,0.0,Upper Cut,Guido
18,24.06.2015 21:17:11:456,-2407.0,-1913.0,-14037.0,-22.79,17.53,41.65,0.0,0.0,0.0,0.0,Upper Cut,Guido
19,24.06.2015 21:17:11:466,-5306.0,-2238.0,-13175.0,-19.95,11.84,37.94,0.0,0.0,0.0,0.0,Upper Cut,Guido
20,24.06.2015 21:17:11:476,-9135.0,-1809.0,-10586.0,-16.77,4.2,33.71,0.0,0.0,0.0,0.0,Upper Cut,Guido
21,24.06.2015 21:17:11:486,-12856.0,1099.0,-6031.0,-13.71,-5.86,29.43,0.0,0.0,0.0,0.0,Upper Cut,Guido
22,24.06.2015 21:17:11:496,-13892.0,3703.0,-253.0,-11.31,-18.32,25.62,0.0,0.0,0.0,0.0,Upper Cut,Guido
23,24.06.2015 21:17:11:506,-9808.0,4841.0,7989.0,-10.12,-32.32,21.94,0.0,0.0,0.0,0.0,Upper Cut,Guido
24,24.06.2015 21:17:11:516,-4166.0,6589.0,12849.0,-11.27,-44.79,18.92,0.0,0.0,0.0,0.0,Upper Cut,Guido
25,24.06.2015 21:17:11:526,385.0,7878.0,15027.0,-14.81,-52.9,18.11,0.0,0.0,0.0,0.0,Upper Cut,Guido
26,24.06.2015 21:17:11:536,3689.0,7754.0,16252.0,-20.07,-56.47,20.65,0.0,0.0,0.0,0.0,Upper Cut,Guido
27,24.06.2015 21:17:11:546,5701.0,6217.0,17253.0,-28.37,-55.14,26.06,0.0,0.0,0.0,0.0,Upper Cut,Guido
28,24.06.2015 21:17:11:556,6733.0,3666.0,18094.0,-38.01,-50.04,33.11,0.0,0.0,0.0,0.0,Upper Cut,Guido
29,24.06.2015 21:17:11:566,7104.0,437.0,18477.0,-46.18,-42.99,40.89,0.0,0.0,0.0,0.0,Upper Cut,Guido
30,24.06.2015 21:17:11:576,5811.0,-3216.0,16938.0,-53.69,-36.18,48.35,0.0,0.0,0.0,0.0,Upper Cut,Guido
31,24.06.2015 21:17:11:586,5672.0,-6902.0,13405.0,-64.21,-31.02,54.66,0.0,0.0,0.0,0.0,Upper Cut,Guido
32,24.06.2015 21:17:11:596,7965.0,-10131.0,8274.0,-82.04,-27.61,59.38,0.0,0.0,0.0,0.0,Upper Cut,Guido
33,24.06.2015 21:17:11:606,12013.0,-12241.0,2373.0,-107.92,-25.65,62.62,0.0,0.0,0.0,0.0,Upper Cut,Guido
34,24.06.2015 21:17:11:616,16084.0,-12907.0,-2735.0,-131.17,-24.26,64.96,0.0,0.0,0.0,0.0,Upper Cut,Guido
35,24.06.2015 21:17:11:626,18587.0,-13149.0,-6980.0,-145.45,-22.81,66.93,0.0,0.0,0.0,0.0,Upper Cut,Guido
36,24.06.2015 21:17:11:636,19098.0,-11756.0,-11914.0,-152.82,-20.91,69.01,0.0,0.0,0.0,0.0,Upper Cut,Guido
37,24.06.2015 21:17:11:646,18499.0,-10536.0,-15892.0,-154.65,-18.48,71.45,0.0,0.0,0.0,0.0,Upper Cut,Guido
38,24.06.2015 21:17:11:656,15055.0,-13504.0,-17499.0,-150.18,-17.01,72.9,0.0,0.0,0.0,0.0,Upper Cut,Guido
39,24.06.2015 21:17:11:666,6683.0,-17022.0,-18143.0,-166.2,-17.67,72.33,0.0,0.0,0.0,0.0,Upper Cut,Guido
40,24.06.2015 21:17:11:676,437.0,-15618.0,-19054.0,88.21,-19.13,70.66,0.0,0.0,0.0,0.0,Upper Cut,Guido
41,24.06.2015 21:17:11:686,-935.0,-11742.0,-20788.0,74.35,-18.93,70.43,0.0,0.0,0.0,0.0,Upper Cut,Guido
