Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:16:57:835,-75.0,-623.0,-699.0,-51.68,-54.08,-35.86,0.0,0.0,0.0,325.0,Upper Cut,Jakub
1,02.07.2015 16:16:57:852,-121.0,-545.0,-639.0,-51.71,-54.13,-35.81,0.0,0.0,0.0,327.0,Upper Cut,Jakub
2,02.07.2015 16:16:57:868,-148.0,-460.0,-569.0,-51.71,-54.18,-35.75,0.0,0.0,0.0,325.0,Upper Cut,Jakub
3,02.07.2015 16:16:57:880,-220.0,-452.0,-473.0,-51.72,-54.24,-35.7,0.0,0.0,0.0,324.0,Upper Cut,Jakub
4,02.07.2015 16:16:57:896,-349.0,-477.0,-412.0,-51.72,-54.31,-35.62,0.0,0.0,0.0,324.0,Upper Cut,Jakub
5,02.07.2015 16:16:57:913,-474.0,-438.0,-330.0,-51.7,-54.37,-35.56,0.0,0.0,0.0,326.0,Upper Cut,Jakub
6,02.07.2015 16:16:57:925,-540.0,-310.0,-239.0,-51.64,-54.42,-35.5,0.0,0.0,0.0,324.0,Upper Cut,Jakub
7,02.07.2015 16:16:57:942,-555.0,-142.0,-116.0,-51.54,-54.44,-35.47,0.0,0.0,0.0,326.0,Upper Cut,Jakub
8,02.07.2015 16:16:57:958,-564.0,-41.0,9.0,-51.43,-54.47,-35.44,0.0,0.0,0.0,325.0,Upper Cut,Jakub
9,02.07.2015 16:16:57:970,-557.0,-42.0,86.0,-51.33,-54.52,-35.38,0.0,0.0,0.0,325.0,Upper Cut,Jakub
10,02.07.2015 16:16:57:987,-537.0,-72.0,97.0,-51.22,-54.61,-35.28,0.0,0.0,0.0,324.0,Upper Cut,Jakub
11,02.07.2015 16:16:58:3,-433.0,-86.0,84.0,-51.06,-54.69,-35.18,0.0,0.0,0.0,324.0,Upper Cut,Jakub
12,02.07.2015 16:16:58:15,-300.0,-20.0,167.0,-50.87,-54.76,-35.09,0.0,0.0,0.0,324.0,Upper Cut,Jakub
13,02.07.2015 16:16:58:32,-148.0,72.0,283.0,-50.72,-54.79,-35.06,0.0,0.0,0.0,324.0,Upper Cut,Jakub
14,02.07.2015 16:16:58:48,-4.0,127.0,367.0,-50.62,-54.76,-35.08,0.0,0.0,0.0,320.0,Upper Cut,Jakub
15,02.07.2015 16:16:58:60,49.0,89.0,343.0,-50.69,-54.72,-35.13,0.0,0.0,0.0,324.0,Upper Cut,Jakub
16,02.07.2015 16:16:58:77,34.0,-40.0,170.0,-50.88,-54.69,-35.18,0.0,0.0,0.0,323.0,Upper Cut,Jakub
17,02.07.2015 16:16:58:93,-40.0,-217.0,-117.0,-51.14,-54.66,-35.22,0.0,0.0,0.0,323.0,Upper Cut,Jakub
18,02.07.2015 16:16:58:105,-134.0,-378.0,-443.0,-51.37,-54.64,-35.26,0.0,0.0,0.0,327.0,Upper Cut,Jakub
19,02.07.2015 16:16:58:122,-204.0,-504.0,-693.0,-51.51,-54.62,-35.29,0.0,0.0,0.0,329.0,Upper Cut,Jakub
20,02.07.2015 16:16:58:138,-244.0,-584.0,-834.0,-51.57,-54.59,-35.33,0.0,0.0,0.0,330.0,Upper Cut,Jakub
21,02.07.2015 16:16:58:151,-168.0,-592.0,-901.0,-51.5,-54.54,-35.38,0.0,0.0,0.0,330.0,Upper Cut,Jakub
22,02.07.2015 16:16:58:167,-60.0,-541.0,-878.0,-51.36,-54.48,-35.43,0.0,0.0,0.0,328.0,Upper Cut,Jakub
23,02.07.2015 16:16:58:179,57.0,-451.0,-863.0,-51.22,-54.44,-35.46,0.0,0.0,0.0,325.0,Upper Cut,Jakub
24,02.07.2015 16:16:58:196,88.0,-325.0,-817.0,-51.06,-54.41,-35.48,0.0,0.0,0.0,326.0,Upper Cut,Jakub
25,02.07.2015 16:16:58:212,-104.0,-251.0,-633.0,-50.92,-54.38,-35.5,0.0,0.0,0.0,324.0,Upper Cut,Jakub
26,02.07.2015 16:16:58:224,-312.0,-244.0,-458.0,-50.83,-54.27,-35.61,0.0,0.0,0.0,320.0,Upper Cut,Jakub
27,02.07.2015 16:16:58:241,-363.0,-187.0,-400.0,-50.76,-54.1,-35.79,0.0,0.0,0.0,319.0,Upper Cut,Jakub
28,02.07.2015 16:16:58:257,-297.0,-213.0,-687.0,-50.69,-53.94,-35.94,0.0,0.0,0.0,309.0,Upper Cut,Jakub
29,02.07.2015 16:16:58:273,-518.0,-434.0,-1180.0,-50.56,-53.99,-35.88,0.0,0.0,0.0,309.0,Upper Cut,Jakub
30,02.07.2015 16:16:58:286,-985.0,-684.0,-1467.0,-50.14,-54.2,-35.62,0.0,0.0,0.0,305.0,Upper Cut,Jakub
31,02.07.2015 16:16:58:302,-1138.0,-344.0,-1219.0,-49.3,-54.37,-35.36,0.0,0.0,0.0,304.0,Upper Cut,Jakub
32,02.07.2015 16:16:58:314,-828.0,672.0,-685.0,-48.17,-54.26,-35.35,0.0,0.0,0.0,295.0,Upper Cut,Jakub
33,02.07.2015 16:16:58:331,-400.0,1968.0,-190.0,-47.07,-53.8,-35.73,0.0,0.0,0.0,269.0,Upper Cut,Jakub
34,02.07.2015 16:16:58:347,31.0,2964.0,-193.0,-46.21,-52.99,-36.51,0.0,0.0,0.0,252.0,Upper Cut,Jakub
35,02.07.2015 16:16:58:359,357.0,3398.0,-744.0,-45.56,-51.97,-37.56,0.0,0.0,0.0,242.0,Upper Cut,Jakub
36,02.07.2015 16:16:58:376,609.0,3319.0,-1781.0,-44.89,-50.84,-38.7,0.0,0.0,0.0,215.0,Upper Cut,Jakub
37,02.07.2015 16:16:58:392,597.0,2747.0,-3279.0,-43.98,-49.76,-39.75,0.0,0.0,0.0,193.0,Upper Cut,Jakub
38,02.07.2015 16:16:58:405,193.0,1912.0,-4623.0,-42.53,-48.78,-40.58,0.0,0.0,0.0,195.0,Upper Cut,Jakub
39,02.07.2015 16:16:58:421,66.0,1577.0,-5295.0,-40.3,-47.7,-41.32,0.0,0.0,0.0,186.0,Upper Cut,Jakub
40,02.07.2015 16:16:58:437,969.0,1787.0,-5752.0,-37.31,-46.28,-42.19,0.0,0.0,0.0,184.0,Upper Cut,Jakub
41,02.07.2015 16:16:58:450,1994.0,2267.0,-5797.0,-33.91,-44.52,-43.17,0.0,0.0,0.0,173.0,Upper Cut,Jakub
42,02.07.2015 16:16:58:466,3202.0,2761.0,-6001.0,-30.56,-42.47,-44.35,0.0,0.0,0.0,115.0,Upper Cut,Jakub
43,02.07.2015 16:16:58:482,5056.0,3114.0,-6546.0,-27.6,-40.21,-45.65,0.0,0.0,0.0,111.0,Upper Cut,Jakub
44,02.07.2015 16:16:58:495,6706.0,2489.0,-7636.0,-25.3,-37.85,-46.95,0.0,0.0,0.0,112.0,Upper Cut,Jakub
45,02.07.2015 16:16:58:511,7484.0,846.0,-8786.0,-23.18,-35.18,-48.15,0.0,0.0,0.0,120.0,Upper Cut,Jakub
46,02.07.2015 16:16:58:527,7159.0,-843.0,-9220.0,-21.02,-32.15,-49.2,0.0,0.0,0.0,136.0,Upper Cut,Jakub
47,02.07.2015 16:16:58:540,6823.0,-2310.0,-9020.0,-18.82,-28.72,-50.28,0.0,0.0,0.0,149.0,Upper Cut,Jakub
48,02.07.2015 16:16:58:556,6365.0,-3704.0,-8618.0,-16.47,-24.77,-51.53,0.0,0.0,0.0,144.0,Upper Cut,Jakub
49,02.07.2015 16:16:58:572,5685.0,-5198.0,-8428.0,-13.87,-20.28,-52.9,0.0,0.0,0.0,128.0,Upper Cut,Jakub
50,02.07.2015 16:16:58:585,5209.0,-6921.0,-8381.0,-11.16,-15.42,-54.03,0.0,0.0,0.0,146.0,Upper Cut,Jakub
51,02.07.2015 16:16:58:601,4303.0,-9081.0,-8234.0,-8.53,-10.17,-54.62,0.0,0.0,0.0,141.0,Upper Cut,Jakub
52,02.07.2015 16:16:58:617,1937.0,-10961.0,-8206.0,-5.89,-4.5,-54.24,0.0,0.0,0.0,176.0,Upper Cut,Jakub
53,02.07.2015 16:16:58:630,-1167.0,-12119.0,-7407.0,-3.08,1.59,-52.49,0.0,0.0,0.0,217.0,Upper Cut,Jakub
54,02.07.2015 16:16:58:646,-4876.0,-12641.0,-5943.0,-0.15,7.93,-49.28,0.0,0.0,0.0,218.0,Upper Cut,Jakub
55,02.07.2015 16:16:58:663,-8263.0,-11260.0,-3184.0,2.39,14.37,-44.44,0.0,0.0,0.0,235.0,Upper Cut,Jakub
56,02.07.2015 16:16:58:675,-13608.0,-5669.0,106.0,3.4,19.78,-39.88,0.0,0.0,0.0,276.0,Upper Cut,Jakub
57,02.07.2015 16:16:58:691,-17502.0,150.0,2115.0,3.16,23.6,-36.79,0.0,0.0,0.0,300.0,Upper Cut,Jakub
58,02.07.2015 16:16:58:708,-19712.0,4123.0,2835.0,2.41,25.92,-34.4,0.0,0.0,0.0,364.0,Upper Cut,Jakub
59,02.07.2015 16:16:58:720,-20646.0,4027.0,1689.0,1.07,26.32,-31.25,0.0,0.0,53.0,373.0,Upper Cut,Jakub
60,02.07.2015 16:16:58:736,-20763.0,3704.0,1510.0,-1.38,24.47,-25.95,0.0,0.0,75.0,386.0,Upper Cut,Jakub
61,02.07.2015 16:16:58:753,-20141.0,6896.0,3744.0,-3.42,20.46,-20.23,0.0,0.0,113.0,367.0,Upper Cut,Jakub
62,02.07.2015 16:16:58:765,-19234.0,9417.0,6068.0,-3.17,15.18,-16.44,0.0,0.0,135.0,327.0,Upper Cut,Jakub
63,02.07.2015 16:16:58:781,-18468.0,9433.0,8541.0,-0.45,9.17,-16.45,0.0,0.0,109.0,299.0,Upper Cut,Jakub
64,02.07.2015 16:16:58:798,-16071.0,4596.0,10136.0,2.98,3.16,-19.54,0.0,0.0,81.0,286.0,Upper Cut,Jakub
65,02.07.2015 16:16:58:810,-10958.0,-1763.0,9970.0,5.92,-2.84,-22.58,0.0,0.0,1.0,263.0,Upper Cut,Jakub
66,02.07.2015 16:16:58:826,-3521.0,-4978.0,8838.0,8.3,-8.71,-24.45,0.0,0.0,0.0,194.0,Upper Cut,Jakub
67,02.07.2015 16:16:58:842,4910.0,-3767.0,7167.0,10.39,-14.17,-25.58,0.0,0.0,0.0,111.0,Upper Cut,Jakub
68,02.07.2015 16:16:58:855,10901.0,2606.0,6621.0,12.37,-19.15,-26.24,0.0,0.0,0.0,74.0,Upper Cut,Jakub
69,02.07.2015 16:16:58:871,14635.0,7756.0,5496.0,13.96,-23.9,-27.66,0.0,0.0,0.0,65.0,Upper Cut,Jakub
70,02.07.2015 16:16:58:888,16844.0,11692.0,3993.0,15.45,-28.7,-29.44,0.0,0.0,0.0,79.0,Upper Cut,Jakub
71,02.07.2015 16:16:58:900,18235.0,14477.0,2118.0,16.31,-33.58,-31.71,0.0,0.0,0.0,80.0,Upper Cut,Jakub
72,02.07.2015 16:16:58:916,19732.0,14124.0,-1501.0,14.96,-38.45,-33.99,0.0,0.0,0.0,85.0,Upper Cut,Jakub
73,02.07.2015 16:16:58:933,20687.0,11969.0,-6486.0,12.99,-43.45,-34.4,0.0,0.0,0.0,85.0,Upper Cut,Jakub
74,02.07.2015 16:16:58:945,20700.0,10287.0,-10953.0,13.21,-48.54,-32.89,0.0,0.0,0.0,69.0,Upper Cut,Jakub
75,02.07.2015 16:16:58:961,19173.0,10176.0,-14182.0,16.7,-53.05,-30.95,0.0,0.0,0.0,103.0,Upper Cut,Jakub
76,02.07.2015 16:16:58:978,15223.0,10678.0,-16851.0,21.9,-56.3,-29.8,0.0,0.0,0.0,109.0,Upper Cut,Jakub
77,02.07.2015 16:16:58:990,10630.0,11378.0,-18466.0,27.73,-58.06,-29.59,0.0,0.0,0.0,111.0,Upper Cut,Jakub
78,02.07.2015 16:16:59:7,6701.0,11037.0,-19752.0,27.97,-58.61,-30.14,0.0,0.0,0.0,131.0,Upper Cut,Jakub
79,02.07.2015 16:16:59:19,3786.0,9792.0,-21007.0,18.94,-58.48,-30.91,0.0,0.0,0.0,130.0,Upper Cut,Jakub
80,02.07.2015 16:16:59:35,1861.0,8838.0,-21822.0,-0.25,-57.66,-32.04,0.0,0.0,0.0,145.0,Upper Cut,Jakub
81,02.07.2015 16:16:59:51,732.0,7797.0,-21555.0,-15.92,-56.37,-33.44,0.0,0.0,0.0,152.0,Upper Cut,Jakub
82,02.07.2015 16:16:59:64,873.0,7168.0,-20282.0,-20.97,-54.8,-35.01,0.0,0.0,0.0,151.0,Upper Cut,Jakub
83,02.07.2015 16:16:59:80,2314.0,7694.0,-18341.0,-19.83,-52.77,-36.96,0.0,0.0,0.0,156.0,Upper Cut,Jakub
84,02.07.2015 16:16:59:97,4256.0,7456.0,-16161.0,-15.65,-50.38,-39.12,0.0,0.0,0.0,160.0,Upper Cut,Jakub
85,02.07.2015 16:16:59:109,6706.0,8421.0,-13191.0,-17.21,-47.19,-42.17,0.0,0.0,0.0,161.0,Upper Cut,Jakub
86,02.07.2015 16:16:59:125,8732.0,7095.0,-10318.0,-17.01,-44.26,-44.9,0.0,0.0,0.0,160.0,Upper Cut,Jakub
87,02.07.2015 16:16:59:142,10174.0,5258.0,-8410.0,-17.1,-41.06,-47.98,0.0,0.0,0.0,168.0,Upper Cut,Jakub
88,02.07.2015 16:16:59:154,11110.0,3796.0,-7204.0,-16.05,-38.19,-50.73,0.0,0.0,0.0,171.0,Upper Cut,Jakub
89,02.07.2015 16:16:59:170,12015.0,2490.0,-6758.0,-14.82,-35.33,-53.45,0.0,0.0,0.0,167.0,Upper Cut,Jakub
90,02.07.2015 16:16:59:187,11639.0,1224.0,-5364.0,-12.31,-32.57,-55.87,0.0,0.0,0.0,166.0,Upper Cut,Jakub
91,02.07.2015 16:16:59:199,11190.0,-754.0,-4130.0,-10.42,-30.06,-57.98,0.0,0.0,0.0,208.0,Upper Cut,Jakub
92,02.07.2015 16:16:59:215,10346.0,-3329.0,-2626.0,-8.45,-27.94,-59.46,0.0,0.0,0.0,235.0,Upper Cut,Jakub
93,02.07.2015 16:16:59:232,8249.0,-6989.0,-1556.0,-6.85,-26.2,-60.31,0.0,0.0,0.0,291.0,Upper Cut,Jakub
94,02.07.2015 16:16:59:244,5661.0,-11867.0,-1663.0,-5.15,-24.95,-60.15,0.0,0.0,0.0,308.0,Upper Cut,Jakub
95,02.07.2015 16:16:59:260,2688.0,-15180.0,-1228.0,-2.5,-24.21,-58.36,0.0,0.0,0.0,339.0,Upper Cut,Jakub
96,02.07.2015 16:16:59:277,-566.0,-15024.0,508.0,0.64,-23.68,-55.38,0.0,0.0,0.0,360.0,Upper Cut,Jakub
97,02.07.2015 16:16:59:289,-3872.0,-11752.0,3466.0,3.5,-23.57,-52.08,0.0,0.0,0.0,356.0,Upper Cut,Jakub
98,02.07.2015 16:16:59:306,-7073.0,-6970.0,6510.0,5.29,-23.83,-49.68,0.0,0.0,0.0,355.0,Upper Cut,Jakub
99,02.07.2015 16:16:59:322,-9402.0,-3440.0,8112.0,5.48,-24.55,-48.51,0.0,0.0,0.0,352.0,Upper Cut,Jakub
100,02.07.2015 16:16:59:334,-10896.0,-1329.0,8620.0,4.64,-25.62,-48.06,0.0,0.0,0.0,350.0,Upper Cut,Jakub
101,02.07.2015 16:16:59:351,-11645.0,-371.0,8614.0,3.43,-27.07,-47.85,0.0,0.0,0.0,330.0,Upper Cut,Jakub
102,02.07.2015 16:16:59:367,-11777.0,-129.0,8379.0,2.25,-28.94,-47.47,0.0,0.0,0.0,316.0,Upper Cut,Jakub
103,02.07.2015 16:16:59:379,-10343.0,99.0,6899.0,1.86,-31.04,-46.56,0.0,0.0,0.0,310.0,Upper Cut,Jakub
104,02.07.2015 16:16:59:396,-9260.0,-98.0,5846.0,4.94,-33.0,-43.96,0.0,0.0,0.0,308.0,Upper Cut,Jakub
105,02.07.2015 16:16:59:408,-5013.0,1769.0,3739.0,1.8,-35.1,-45.34,0.0,0.0,0.0,299.0,Upper Cut,Jakub
106,02.07.2015 16:16:59:424,-3215.0,3007.0,2562.0,2.3,-36.94,-44.06,0.0,0.0,0.0,310.0,Upper Cut,Jakub
107,02.07.2015 16:16:59:441,-1749.0,2360.0,936.0,0.59,-37.95,-44.26,0.0,0.0,0.0,317.0,Upper Cut,Jakub
