Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 17:01:14:720,4117.0,-1344.0,910.0,172.67,33.34,-38.1,0.0,0.0,0.0,30.0,Upper Cut,Linh
1,02.07.2015 17:01:14:733,3899.0,-1308.0,872.0,172.07,33.37,-38.18,0.0,0.0,0.0,35.0,Upper Cut,Linh
2,02.07.2015 17:01:14:749,3713.0,-1225.0,835.0,171.56,33.35,-38.3,0.0,0.0,0.0,38.0,Upper Cut,Linh
3,02.07.2015 17:01:14:765,3534.0,-1061.0,868.0,171.07,33.28,-38.42,0.0,0.0,0.0,35.0,Upper Cut,Linh
4,02.07.2015 17:01:14:778,3326.0,-860.0,937.0,170.57,33.15,-38.55,0.0,0.0,0.0,35.0,Upper Cut,Linh
5,02.07.2015 17:01:14:794,3115.0,-586.0,977.0,170.05,33.01,-38.67,0.0,0.0,0.0,36.0,Upper Cut,Linh
6,02.07.2015 17:01:14:811,2932.0,-315.0,952.0,169.45,32.86,-38.75,0.0,0.0,0.0,35.0,Upper Cut,Linh
7,02.07.2015 17:01:14:823,2812.0,-132.0,862.0,168.72,32.68,-38.79,0.0,0.0,0.0,36.0,Upper Cut,Linh
8,02.07.2015 17:01:14:839,2701.0,-37.0,805.0,167.84,32.45,-38.78,0.0,0.0,0.0,37.0,Upper Cut,Linh
9,02.07.2015 17:01:14:855,2554.0,5.0,805.0,166.83,32.16,-38.72,0.0,0.0,0.0,38.0,Upper Cut,Linh
10,02.07.2015 17:01:14:868,2385.0,10.0,806.0,165.71,31.83,-38.63,0.0,0.0,0.0,36.0,Upper Cut,Linh
11,02.07.2015 17:01:14:884,2198.0,41.0,793.0,164.53,31.48,-38.49,0.0,0.0,0.0,40.0,Upper Cut,Linh
12,02.07.2015 17:01:14:900,2000.0,109.0,769.0,163.27,31.11,-38.29,0.0,0.0,0.0,38.0,Upper Cut,Linh
13,02.07.2015 17:01:14:913,1769.0,194.0,786.0,161.95,30.75,-38.01,0.0,0.0,0.0,38.0,Upper Cut,Linh
14,02.07.2015 17:01:14:929,1566.0,272.0,771.0,160.62,30.41,-37.65,0.0,0.0,0.0,38.0,Upper Cut,Linh
15,02.07.2015 17:01:14:945,1294.0,303.0,833.0,159.28,30.11,-37.2,0.0,0.0,0.0,38.0,Upper Cut,Linh
16,02.07.2015 17:01:14:958,972.0,246.0,1010.0,157.99,29.85,-36.73,0.0,0.0,0.0,39.0,Upper Cut,Linh
17,02.07.2015 17:01:14:974,651.0,183.0,1128.0,156.84,29.63,-36.29,0.0,0.0,0.0,42.0,Upper Cut,Linh
18,02.07.2015 17:01:14:991,389.0,149.0,1133.0,155.84,29.49,-35.9,0.0,0.0,0.0,42.0,Upper Cut,Linh
19,02.07.2015 17:01:15:3,217.0,187.0,984.0,154.97,29.42,-35.51,0.0,0.0,0.0,45.0,Upper Cut,Linh
20,02.07.2015 17:01:15:19,58.0,233.0,858.0,154.18,29.42,-35.08,0.0,0.0,0.0,44.0,Upper Cut,Linh
21,02.07.2015 17:01:15:36,-189.0,276.0,930.0,153.43,29.51,-34.62,0.0,0.0,0.0,41.0,Upper Cut,Linh
22,02.07.2015 17:01:15:48,-422.0,326.0,1026.0,152.77,29.72,-34.23,0.0,0.0,0.0,43.0,Upper Cut,Linh
23,02.07.2015 17:01:15:64,-496.0,490.0,937.0,152.16,30.05,-33.84,0.0,0.0,0.0,43.0,Upper Cut,Linh
24,02.07.2015 17:01:15:77,-468.0,700.0,790.0,151.5,30.44,-33.36,0.0,0.0,0.0,43.0,Upper Cut,Linh
25,02.07.2015 17:01:15:93,-500.0,903.0,701.0,150.76,30.88,-32.74,0.0,0.0,0.0,43.0,Upper Cut,Linh
26,02.07.2015 17:01:15:109,-609.0,1243.0,744.0,149.89,31.35,-31.98,0.0,0.0,0.0,45.0,Upper Cut,Linh
27,02.07.2015 17:01:15:122,-785.0,1515.0,950.0,148.79,31.89,-31.11,0.0,0.0,0.0,45.0,Upper Cut,Linh
28,02.07.2015 17:01:15:138,-876.0,1672.0,1035.0,147.46,32.52,-30.17,0.0,0.0,0.0,42.0,Upper Cut,Linh
29,02.07.2015 17:01:15:154,-974.0,1493.0,956.0,146.01,33.2,-29.28,0.0,0.0,0.0,41.0,Upper Cut,Linh
30,02.07.2015 17:01:15:167,-992.0,1243.0,711.0,144.51,33.91,-28.47,0.0,0.0,0.0,39.0,Upper Cut,Linh
31,02.07.2015 17:01:15:183,-841.0,1048.0,332.0,142.99,34.67,-27.69,0.0,0.0,0.0,20.0,Upper Cut,Linh
32,02.07.2015 17:01:15:199,-453.0,939.0,52.0,141.46,35.48,-26.87,0.0,0.0,0.0,21.0,Upper Cut,Linh
33,02.07.2015 17:01:15:212,100.0,680.0,-192.0,139.84,36.32,-26.0,0.0,0.0,0.0,21.0,Upper Cut,Linh
34,02.07.2015 17:01:15:228,560.0,59.0,-194.0,138.11,37.16,-25.09,0.0,0.0,0.0,20.0,Upper Cut,Linh
35,02.07.2015 17:01:15:245,1123.0,-770.0,-488.0,136.51,38.02,-24.35,0.0,0.0,0.0,18.0,Upper Cut,Linh
36,02.07.2015 17:01:15:257,2030.0,-1655.0,-1082.0,135.16,38.8,-23.61,0.0,0.0,0.0,16.0,Upper Cut,Linh
37,02.07.2015 17:01:15:273,3076.0,-2830.0,-1558.0,134.14,39.31,-22.9,0.0,0.0,0.0,18.0,Upper Cut,Linh
38,02.07.2015 17:01:15:290,4247.0,-3970.0,-1605.0,133.55,39.61,-22.23,0.0,0.0,0.0,15.0,Upper Cut,Linh
39,02.07.2015 17:01:15:302,5700.0,-5216.0,-1564.0,133.27,39.73,-21.67,0.0,0.0,0.0,14.0,Upper Cut,Linh
40,02.07.2015 17:01:15:318,7716.0,-6458.0,-1602.0,133.36,39.43,-21.29,0.0,0.0,0.0,12.0,Upper Cut,Linh
41,02.07.2015 17:01:15:335,9843.0,-7660.0,-1191.0,133.83,38.41,-20.79,0.0,0.0,0.0,16.0,Upper Cut,Linh
