Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:52:30:302,-1483.0,-623.0,1157.0,-15.77,-11.66,-54.24,0.0,0.0,0.0,0.0,Upper Cut,Martin
1,02.07.2015 16:52:30:319,-1307.0,-640.0,1080.0,-15.95,-11.64,-54.01,0.0,0.0,0.0,0.0,Upper Cut,Martin
2,02.07.2015 16:52:30:331,-1173.0,-598.0,967.0,-16.07,-11.58,-53.83,0.0,0.0,0.0,0.0,Upper Cut,Martin
3,02.07.2015 16:52:30:347,-1007.0,-558.0,854.0,-16.1,-11.48,-53.69,0.0,0.0,0.0,0.0,Upper Cut,Martin
4,02.07.2015 16:52:30:363,-824.0,-548.0,743.0,-16.07,-11.33,-53.57,0.0,0.0,0.0,0.0,Upper Cut,Martin
5,02.07.2015 16:52:30:376,-676.0,-558.0,638.0,-15.98,-11.12,-53.53,0.0,0.0,0.0,0.0,Upper Cut,Martin
6,02.07.2015 16:52:30:392,-568.0,-577.0,527.0,-15.82,-10.84,-53.59,0.0,0.0,0.0,0.0,Upper Cut,Martin
7,02.07.2015 16:52:30:408,-473.0,-611.0,440.0,-15.6,-10.49,-53.74,0.0,0.0,0.0,0.0,Upper Cut,Martin
8,02.07.2015 16:52:30:421,-408.0,-632.0,358.0,-15.28,-10.03,-53.95,0.0,0.0,0.0,0.0,Upper Cut,Martin
9,02.07.2015 16:52:30:437,-405.0,-692.0,341.0,-14.89,-9.48,-54.16,0.0,0.0,0.0,0.0,Upper Cut,Martin
10,02.07.2015 16:52:30:450,-474.0,-741.0,342.0,-14.43,-8.86,-54.36,0.0,0.0,0.0,0.0,Upper Cut,Martin
11,02.07.2015 16:52:30:466,-576.0,-802.0,330.0,-13.92,-8.21,-54.52,0.0,0.0,0.0,0.0,Upper Cut,Martin
12,02.07.2015 16:52:30:482,-627.0,-857.0,273.0,-13.34,-7.51,-54.64,0.0,0.0,0.0,0.0,Upper Cut,Martin
13,02.07.2015 16:52:30:495,-601.0,-980.0,107.0,-12.67,-6.73,-54.73,0.0,0.0,0.0,0.0,Upper Cut,Martin
14,02.07.2015 16:52:30:511,-603.0,-1101.0,-185.0,-11.93,-5.83,-54.71,0.0,0.0,0.0,0.0,Upper Cut,Martin
15,02.07.2015 16:52:30:528,-645.0,-1102.0,-469.0,-11.11,-4.83,-54.57,0.0,0.0,0.0,0.0,Upper Cut,Martin
16,02.07.2015 16:52:30:544,-803.0,-1129.0,-712.0,-10.17,-3.67,-54.51,0.0,0.0,0.0,0.0,Upper Cut,Martin
17,02.07.2015 16:52:30:556,-1045.0,-1140.0,-779.0,-9.11,-2.38,-54.51,0.0,0.0,0.0,12.0,Upper Cut,Martin
18,02.07.2015 16:52:30:573,-1432.0,-1297.0,-699.0,-7.98,-1.0,-54.42,0.0,0.0,0.0,20.0,Upper Cut,Martin
19,02.07.2015 16:52:30:585,-2069.0,-1482.0,-601.0,-6.89,0.36,-54.06,0.0,0.0,0.0,61.0,Upper Cut,Martin
20,02.07.2015 16:52:30:601,-2956.0,-1715.0,-622.0,-5.92,1.57,-53.42,0.0,0.0,0.0,47.0,Upper Cut,Martin
21,02.07.2015 16:52:30:618,-3992.0,-2121.0,-662.0,-5.1,2.66,-52.41,0.0,0.0,0.0,42.0,Upper Cut,Martin
22,02.07.2015 16:52:30:630,-5309.0,-2391.0,-578.0,-4.48,3.61,-50.93,0.0,0.0,0.0,95.0,Upper Cut,Martin
23,02.07.2015 16:52:30:646,-6883.0,-2531.0,-144.0,-4.06,4.35,-49.03,0.0,0.0,0.0,186.0,Upper Cut,Martin
24,02.07.2015 16:52:30:663,-8812.0,-2361.0,831.0,-3.91,4.69,-46.75,0.0,0.0,0.0,269.0,Upper Cut,Martin
25,02.07.2015 16:52:30:675,-11219.0,-2052.0,2335.0,-4.09,4.46,-44.21,0.0,0.0,0.0,259.0,Upper Cut,Martin
26,02.07.2015 16:52:30:691,-13519.0,-1888.0,4399.0,-4.6,3.46,-41.5,0.0,0.0,0.0,204.0,Upper Cut,Martin
27,02.07.2015 16:52:30:708,-14607.0,-1602.0,6477.0,-5.09,1.77,-38.7,0.0,0.0,0.0,205.0,Upper Cut,Martin
28,02.07.2015 16:52:30:724,-14714.0,-1348.0,8383.0,-5.38,-0.9,-36.1,0.0,0.0,0.0,274.0,Upper Cut,Martin
29,02.07.2015 16:52:30:736,-13949.0,-1180.0,10321.0,-5.45,-4.79,-33.85,0.0,0.0,0.0,312.0,Upper Cut,Martin
30,02.07.2015 16:52:30:753,-12430.0,-1540.0,12064.0,-5.36,-9.92,-32.26,0.0,0.0,0.0,283.0,Upper Cut,Martin
31,02.07.2015 16:52:30:769,-10232.0,-2651.0,13360.0,-5.34,-16.14,-31.32,0.0,0.0,0.0,254.0,Upper Cut,Martin
32,02.07.2015 16:52:30:781,-7297.0,-3820.0,14318.0,-5.75,-23.13,-30.78,0.0,0.0,0.0,207.0,Upper Cut,Martin
33,02.07.2015 16:52:30:798,-3109.0,-4214.0,14480.0,-6.86,-30.34,-30.22,0.0,0.0,0.0,192.0,Upper Cut,Martin
34,02.07.2015 16:52:30:810,1715.0,-3695.0,13451.0,-8.78,-37.47,-29.14,0.0,0.0,0.0,158.0,Upper Cut,Martin
35,02.07.2015 16:52:30:827,6798.0,-2697.0,10489.0,-11.46,-44.41,-27.2,0.0,0.0,0.0,111.0,Upper Cut,Martin
36,02.07.2015 16:52:30:843,11441.0,-1287.0,5738.0,-13.87,-50.7,-24.42,0.0,0.0,0.0,0.0,Upper Cut,Martin
37,02.07.2015 16:52:30:855,15389.0,565.0,-420.0,-13.87,-55.57,-21.23,0.0,0.0,0.0,0.0,Upper Cut,Martin
38,02.07.2015 16:52:30:872,18116.0,3376.0,-5557.0,-9.52,-58.37,-18.13,0.0,0.0,0.0,9.0,Upper Cut,Martin
39,02.07.2015 16:52:30:888,19452.0,6238.0,-8345.0,-1.93,-59.2,-15.25,0.0,0.0,0.0,11.0,Upper Cut,Martin
40,02.07.2015 16:52:30:900,19949.0,9741.0,-9334.0,6.79,-58.21,-12.76,0.0,0.0,0.0,12.0,Upper Cut,Martin
41,02.07.2015 16:52:30:917,18471.0,13717.0,-8329.0,14.01,-56.39,-11.23,0.0,0.0,0.0,13.0,Upper Cut,Martin
42,02.07.2015 16:52:30:933,15359.0,16034.0,-7584.0,18.44,-55.21,-11.1,0.0,0.0,0.0,10.0,Upper Cut,Martin
43,02.07.2015 16:52:30:945,13789.0,17333.0,-7578.0,19.58,-54.35,-12.93,0.0,0.0,0.0,10.0,Upper Cut,Martin
44,02.07.2015 16:52:30:962,13771.0,17250.0,-7457.0,18.04,-52.87,-16.34,0.0,0.0,0.0,13.0,Upper Cut,Martin
45,02.07.2015 16:52:30:978,13676.0,14511.0,-6938.0,14.48,-50.93,-20.41,0.0,0.0,0.0,16.0,Upper Cut,Martin
46,02.07.2015 16:52:30:990,12501.0,10088.0,-6556.0,10.21,-49.36,-24.19,0.0,0.0,0.0,13.0,Upper Cut,Martin
47,02.07.2015 16:52:31:7,10493.0,5835.0,-6698.0,6.33,-48.5,-27.24,0.0,0.0,0.0,128.0,Upper Cut,Martin
48,02.07.2015 16:52:31:23,8351.0,2990.0,-7031.0,3.46,-48.24,-29.5,0.0,0.0,0.0,144.0,Upper Cut,Martin
49,02.07.2015 16:52:31:35,6689.0,1895.0,-7416.0,1.6,-48.27,-31.25,0.0,0.0,0.0,125.0,Upper Cut,Martin
50,02.07.2015 16:52:31:52,5575.0,1959.0,-7734.0,0.33,-48.39,-32.65,0.0,0.0,0.0,123.0,Upper Cut,Martin
51,02.07.2015 16:52:31:68,4771.0,2256.0,-7915.0,-0.77,-48.46,-33.82,0.0,0.0,0.0,123.0,Upper Cut,Martin
52,02.07.2015 16:52:31:81,4108.0,2572.0,-8020.0,-1.97,-48.58,-34.78,0.0,0.0,0.0,116.0,Upper Cut,Martin
53,02.07.2015 16:52:31:97,3623.0,2793.0,-8061.0,-2.63,-48.74,-35.34,0.0,0.0,0.0,113.0,Upper Cut,Martin
54,02.07.2015 16:52:31:113,3239.0,2895.0,-7811.0,-3.55,-48.86,-35.81,0.0,0.0,0.0,102.0,Upper Cut,Martin
55,02.07.2015 16:52:31:126,3160.0,3067.0,-7324.0,-3.97,-48.94,-36.03,0.0,0.0,0.0,88.0,Upper Cut,Martin
56,02.07.2015 16:52:31:142,3227.0,3260.0,-6689.0,-4.22,-48.97,-36.19,0.0,0.0,0.0,86.0,Upper Cut,Martin
