Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:57:02:223,-39.0,-161.0,118.0,18.95,19.14,-70.85,0.0,0.0,0.0,203.0,Upper Cut,Nils
1,02.07.2015 16:57:02:240,-32.0,-198.0,179.0,18.96,19.16,-70.84,0.0,0.0,0.0,208.0,Upper Cut,Nils
2,02.07.2015 16:57:02:252,-76.0,-155.0,196.0,18.96,19.16,-70.84,0.0,0.0,0.0,218.0,Upper Cut,Nils
3,02.07.2015 16:57:02:268,-97.0,-144.0,190.0,18.98,19.19,-70.8,0.0,0.0,0.0,211.0,Upper Cut,Nils
4,02.07.2015 16:57:02:281,-61.0,-183.0,212.0,19.04,19.27,-70.72,0.0,0.0,0.0,206.0,Upper Cut,Nils
5,02.07.2015 16:57:02:297,-20.0,-246.0,234.0,19.09,19.34,-70.65,0.0,0.0,0.0,206.0,Upper Cut,Nils
6,02.07.2015 16:57:02:314,0.0,-264.0,205.0,19.15,19.41,-70.59,0.0,0.0,0.0,216.0,Upper Cut,Nils
7,02.07.2015 16:57:02:326,7.0,-252.0,166.0,19.23,19.48,-70.51,0.0,0.0,0.0,216.0,Upper Cut,Nils
8,02.07.2015 16:57:02:342,10.0,-224.0,197.0,19.29,19.56,-70.42,0.0,0.0,0.0,207.0,Upper Cut,Nils
9,02.07.2015 16:57:02:359,7.0,-189.0,277.0,19.36,19.64,-70.35,0.0,0.0,0.0,221.0,Upper Cut,Nils
10,02.07.2015 16:57:02:371,12.0,-161.0,343.0,19.45,19.72,-70.27,0.0,0.0,0.0,212.0,Upper Cut,Nils
11,02.07.2015 16:57:02:387,52.0,-142.0,385.0,19.6,19.84,-70.15,0.0,0.0,0.0,214.0,Upper Cut,Nils
12,02.07.2015 16:57:02:404,168.0,-170.0,436.0,19.81,19.99,-70.0,0.0,0.0,0.0,208.0,Upper Cut,Nils
13,02.07.2015 16:57:02:416,255.0,-204.0,479.0,20.08,20.17,-69.82,0.0,0.0,0.0,184.0,Upper Cut,Nils
14,02.07.2015 16:57:02:432,282.0,-249.0,469.0,20.38,20.34,-69.66,0.0,0.0,0.0,229.0,Upper Cut,Nils
15,02.07.2015 16:57:02:449,334.0,-298.0,358.0,20.77,20.58,-69.42,0.0,0.0,0.0,236.0,Upper Cut,Nils
16,02.07.2015 16:57:02:461,387.0,-323.0,164.0,21.22,20.88,-69.1,0.0,0.0,0.0,242.0,Upper Cut,Nils
