Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:49:38:810,-55.0,-177.0,-327.0,-27.46,-25.41,-44.75,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
1,02.07.2015 16:49:38:823,-125.0,-254.0,-398.0,-27.34,-25.48,-44.61,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
2,02.07.2015 16:49:38:839,-275.0,-212.0,-725.0,-27.21,-25.57,-44.43,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
3,02.07.2015 16:49:38:855,-394.0,-174.0,-939.0,-27.14,-25.69,-44.31,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
4,02.07.2015 16:49:38:868,-417.0,-240.0,-971.0,-27.1,-25.83,-44.3,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
5,02.07.2015 16:49:38:884,-368.0,-302.0,-913.0,-27.05,-25.97,-44.32,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
6,02.07.2015 16:49:38:900,-316.0,-322.0,-814.0,-27.01,-26.1,-44.36,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
7,02.07.2015 16:49:38:913,-220.0,-368.0,-701.0,-26.93,-26.19,-44.42,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
8,02.07.2015 16:49:38:929,-177.0,-390.0,-683.0,-26.82,-26.25,-44.47,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
9,02.07.2015 16:49:38:945,-104.0,-484.0,-588.0,-26.7,-26.3,-44.53,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
10,02.07.2015 16:49:38:958,-83.0,-514.0,-575.0,-26.56,-26.32,-44.54,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
11,02.07.2015 16:49:38:974,-78.0,-491.0,-663.0,-26.43,-26.33,-44.48,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
12,02.07.2015 16:49:38:991,-118.0,-406.0,-805.0,-26.32,-26.33,-44.4,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
13,02.07.2015 16:49:39:3,-158.0,-261.0,-1017.0,-26.2,-26.31,-44.35,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
14,02.07.2015 16:49:39:19,-212.0,-185.0,-1187.0,-26.11,-26.29,-44.37,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
15,02.07.2015 16:49:39:36,-263.0,-218.0,-1234.0,-25.99,-26.26,-44.47,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
16,02.07.2015 16:49:39:48,-348.0,-243.0,-1277.0,-25.84,-26.19,-44.6,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
17,02.07.2015 16:49:39:64,-354.0,-213.0,-1320.0,-25.68,-26.09,-44.74,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
18,02.07.2015 16:49:39:81,-321.0,-173.0,-1348.0,-25.5,-25.96,-44.89,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
19,02.07.2015 16:49:39:93,-276.0,-148.0,-1394.0,-25.28,-25.79,-45.07,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
20,02.07.2015 16:49:39:110,-284.0,-137.0,-1430.0,-25.01,-25.59,-45.3,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
21,02.07.2015 16:49:39:122,-348.0,-142.0,-1521.0,-24.73,-25.38,-45.54,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
22,02.07.2015 16:49:39:138,-385.0,-160.0,-1524.0,-24.45,-25.19,-45.78,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
23,02.07.2015 16:49:39:154,-403.0,-188.0,-1526.0,-24.21,-25.02,-46.01,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
24,02.07.2015 16:49:39:167,-450.0,-194.0,-1491.0,-23.99,-24.89,-46.21,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
25,02.07.2015 16:49:39:183,-568.0,-213.0,-1531.0,-23.8,-24.78,-46.4,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
26,02.07.2015 16:49:39:199,-796.0,-144.0,-1675.0,-23.63,-24.7,-46.58,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
27,02.07.2015 16:49:39:212,-1091.0,-36.0,-1805.0,-23.49,-24.64,-46.77,0.0,0.0,0.0,0.0,Upper Cut,Sebastian
