Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,02.07.2015 16:42:45:461,-1701.0,5059.0,-12306.0,-149.85,-16.62,-67.59,0.0,0.0,0.0,54.0,Upper Cut,Wadim
1,02.07.2015 16:42:45:477,-1126.0,6806.0,-13048.0,-153.77,-14.26,-71.56,0.0,0.0,0.0,80.0,Upper Cut,Wadim
2,02.07.2015 16:42:45:493,-150.0,8371.0,-12869.0,-161.14,-11.58,-76.2,0.0,0.0,0.0,68.0,Upper Cut,Wadim
3,02.07.2015 16:42:45:506,1384.0,9406.0,-11941.0,-175.88,-8.79,-80.83,0.0,0.0,0.0,142.0,Upper Cut,Wadim
4,02.07.2015 16:42:45:522,3170.0,9485.0,-8644.0,155.76,-5.88,-83.32,0.0,0.0,0.0,144.0,Upper Cut,Wadim
5,02.07.2015 16:42:45:539,4512.0,8030.0,-4615.0,125.77,-2.96,-80.34,0.0,0.0,0.0,90.0,Upper Cut,Wadim
6,02.07.2015 16:42:45:551,6137.0,5578.0,-1095.0,107.08,-0.31,-74.57,0.0,0.0,0.0,124.0,Upper Cut,Wadim
7,02.07.2015 16:42:45:567,7795.0,1843.0,1605.0,96.53,1.82,-67.45,0.0,0.0,0.0,112.0,Upper Cut,Wadim
8,02.07.2015 16:42:45:584,6595.0,-3498.0,6175.0,90.96,3.1,-59.64,0.0,0.0,0.0,59.0,Upper Cut,Wadim
9,02.07.2015 16:42:45:596,4160.0,-8452.0,9401.0,88.59,3.39,-53.07,0.0,0.0,0.0,50.0,Upper Cut,Wadim
10,02.07.2015 16:42:45:612,1963.0,-11727.0,11313.0,87.76,2.86,-48.54,0.0,0.0,0.0,72.0,Upper Cut,Wadim
11,02.07.2015 16:42:45:629,493.0,-13501.0,12137.0,87.41,1.92,-45.9,0.0,0.0,0.0,53.0,Upper Cut,Wadim
12,02.07.2015 16:42:45:641,50.0,-14296.0,11070.0,87.14,0.48,-43.82,0.0,0.0,0.0,33.0,Upper Cut,Wadim
13,02.07.2015 16:42:45:657,315.0,-14492.0,9807.0,86.69,-1.6,-41.21,0.0,0.0,0.0,25.0,Upper Cut,Wadim
14,02.07.2015 16:42:45:674,-384.0,-14222.0,9584.0,85.89,-4.21,-37.59,0.0,0.0,0.0,18.0,Upper Cut,Wadim
15,02.07.2015 16:42:45:686,-2274.0,-13429.0,10469.0,84.75,-7.28,-33.29,0.0,0.0,0.0,18.0,Upper Cut,Wadim
16,02.07.2015 16:42:45:702,-4322.0,-12137.0,11834.0,83.29,-10.73,-28.64,0.0,0.0,0.0,42.0,Upper Cut,Wadim
17,02.07.2015 16:42:45:719,-7029.0,-10197.0,13929.0,81.67,-14.27,-23.87,0.0,0.0,0.0,29.0,Upper Cut,Wadim
18,02.07.2015 16:42:45:731,-9228.0,-8005.0,15263.0,80.24,-18.14,-19.83,0.0,0.0,0.0,14.0,Upper Cut,Wadim
19,02.07.2015 16:42:45:748,-10383.0,-5604.0,16263.0,79.13,-22.63,-17.31,0.0,0.0,0.0,0.0,Upper Cut,Wadim
20,02.07.2015 16:42:45:764,-10497.0,-2958.0,17162.0,78.49,-27.86,-16.27,0.0,0.0,0.0,0.0,Upper Cut,Wadim
21,02.07.2015 16:42:45:776,-9973.0,122.0,17654.0,78.21,-33.61,-15.65,0.0,0.0,0.0,0.0,Upper Cut,Wadim
