Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,24.06.2015 21:17:11:216,1124.0,-1108.0,-64.0,-8.35,7.73,82.0,0.0,0.0,0.0,0.0,Haken,Guido
1,24.06.2015 21:17:11:226,1084.0,-1041.0,-125.0,-8.37,7.74,81.98,0.0,0.0,0.0,0.0,Haken,Guido
2,24.06.2015 21:17:11:236,1062.0,-991.0,-193.0,-8.37,7.72,81.97,0.0,0.0,0.0,0.0,Haken,Guido
3,24.06.2015 21:17:11:246,1034.0,-938.0,-202.0,-8.39,7.73,81.96,0.0,0.0,0.0,0.0,Haken,Guido
4,24.06.2015 21:17:11:256,1017.0,-967.0,-216.0,-8.41,7.73,81.94,0.0,0.0,0.0,0.0,Haken,Guido
5,24.06.2015 21:17:11:266,1049.0,-993.0,-234.0,-8.46,7.75,81.9,0.0,0.0,0.0,0.0,Haken,Guido
6,24.06.2015 21:17:11:276,1077.0,-1002.0,-271.0,-8.52,7.79,81.83,0.0,0.0,0.0,0.0,Haken,Guido
7,24.06.2015 21:17:11:286,1077.0,-972.0,-279.0,-8.58,7.82,81.78,0.0,0.0,0.0,0.0,Haken,Guido
8,24.06.2015 21:17:11:296,1052.0,-914.0,-284.0,-8.62,7.84,81.74,0.0,0.0,0.0,0.0,Haken,Guido
9,24.06.2015 21:17:11:306,1018.0,-839.0,-321.0,-8.64,7.85,81.71,0.0,0.0,0.0,0.0,Haken,Guido
10,24.06.2015 21:17:11:316,1009.0,-784.0,-338.0,-8.66,7.85,81.69,0.0,0.0,0.0,0.0,Haken,Guido
11,24.06.2015 21:17:11:326,1024.0,-809.0,-356.0,-8.7,7.85,81.65,0.0,0.0,0.0,0.0,Haken,Guido
12,24.06.2015 21:17:11:336,1067.0,-886.0,-341.0,-8.74,7.85,81.62,0.0,0.0,0.0,0.0,Haken,Guido
13,24.06.2015 21:17:11:346,1147.0,-939.0,-292.0,-8.75,7.82,81.6,0.0,0.0,0.0,0.0,Haken,Guido
14,24.06.2015 21:17:11:356,1244.0,-986.0,-296.0,-8.76,7.78,81.59,0.0,0.0,0.0,0.0,Haken,Guido
15,24.06.2015 21:17:11:366,1385.0,-1082.0,-377.0,-8.76,7.74,81.58,0.0,0.0,0.0,0.0,Haken,Guido
16,24.06.2015 21:17:11:376,1538.0,-1251.0,-554.0,-8.78,7.7,81.55,0.0,0.0,0.0,0.0,Haken,Guido
17,24.06.2015 21:17:11:386,1756.0,-1478.0,-872.0,-8.78,7.63,81.51,0.0,0.0,0.0,0.0,Haken,Guido
18,24.06.2015 21:17:11:396,2068.0,-1762.0,-1506.0,-8.78,7.56,81.45,0.0,0.0,0.0,0.0,Haken,Guido
19,24.06.2015 21:17:11:406,2389.0,-2144.0,-2712.0,-8.72,7.41,81.4,0.0,0.0,0.0,0.0,Haken,Guido
20,24.06.2015 21:17:11:416,2589.0,-2468.0,-4486.0,-8.53,7.09,81.34,0.0,0.0,0.0,0.0,Haken,Guido
21,24.06.2015 21:17:11:426,2733.0,-2833.0,-6625.0,-8.14,6.52,81.19,0.0,0.0,0.0,0.0,Haken,Guido
22,24.06.2015 21:17:11:436,2861.0,-3242.0,-8835.0,-7.56,5.72,80.62,0.0,0.0,0.0,0.0,Haken,Guido
23,24.06.2015 21:17:11:446,3089.0,-3839.0,-10710.0,-6.91,4.84,79.1,0.0,0.0,0.0,0.0,Haken,Guido
24,24.06.2015 21:17:11:456,3115.0,-4789.0,-11981.0,-6.25,4.08,76.17,0.0,0.0,0.0,0.0,Haken,Guido
25,24.06.2015 21:17:11:466,3116.0,-6187.0,-12504.0,-5.51,3.57,71.66,0.0,0.0,0.0,0.0,Haken,Guido
26,24.06.2015 21:17:11:476,3135.0,-8063.0,-12177.0,-4.58,3.49,65.5,0.0,0.0,0.0,0.0,Haken,Guido
27,24.06.2015 21:17:11:486,2685.0,-10287.0,-11204.0,-3.09,3.75,57.93,0.0,0.0,0.0,0.0,Haken,Guido
28,24.06.2015 21:17:11:496,1759.0,-12669.0,-9125.0,-0.6,4.11,49.24,0.0,0.0,0.0,0.0,Haken,Guido
29,24.06.2015 21:17:11:506,1072.0,-14409.0,-5481.0,3.01,4.39,39.81,0.0,0.0,0.0,0.0,Haken,Guido
30,24.06.2015 21:17:11:516,705.0,-14595.0,-1204.0,7.46,4.17,30.33,0.0,0.0,0.0,0.0,Haken,Guido
31,24.06.2015 21:17:11:526,-11.0,-12965.0,2282.0,12.59,2.53,21.73,0.0,0.0,0.0,0.0,Haken,Guido
32,24.06.2015 21:17:11:536,-88.0,-9827.0,4894.0,18.33,-0.65,14.43,0.0,0.0,0.0,0.0,Haken,Guido
33,24.06.2015 21:17:11:546,580.0,-5163.0,6699.0,24.49,-4.16,8.3,0.0,0.0,0.0,0.0,Haken,Guido
34,24.06.2015 21:17:11:556,2609.0,991.0,7718.0,30.86,-6.14,3.42,0.0,0.0,0.0,0.0,Haken,Guido
35,24.06.2015 21:17:11:566,5652.0,5958.0,7774.0,36.71,-5.63,-0.42,0.0,0.0,0.0,0.0,Haken,Guido
36,24.06.2015 21:17:11:576,6564.0,10176.0,7478.0,41.38,-2.97,-3.05,0.0,0.0,0.0,0.0,Haken,Guido
37,24.06.2015 21:17:11:586,6240.0,13560.0,7173.0,45.28,1.24,-3.27,0.0,0.0,0.0,0.0,Haken,Guido
38,24.06.2015 21:17:11:596,5059.0,16715.0,6705.0,48.43,5.79,-2.18,0.0,0.0,0.0,0.0,Haken,Guido
39,24.06.2015 21:17:11:606,3451.0,19628.0,6102.0,51.04,9.72,-0.18,0.0,0.0,0.0,0.0,Haken,Guido
40,24.06.2015 21:17:11:616,1985.0,21631.0,5818.0,53.08,12.45,2.89,0.0,0.0,0.0,0.0,Haken,Guido
41,24.06.2015 21:17:11:626,596.0,22668.0,5988.0,54.34,14.29,6.89,0.0,0.0,0.0,0.0,Haken,Guido
42,24.06.2015 21:17:11:636,-1130.0,22974.0,6578.0,54.38,15.37,11.83,0.0,0.0,0.0,0.0,Haken,Guido
43,24.06.2015 21:17:11:646,-3361.0,22640.0,7436.0,53.15,15.97,17.84,0.0,0.0,0.0,0.0,Haken,Guido
44,24.06.2015 21:17:11:656,-6335.0,21686.0,7920.0,50.38,16.84,24.26,0.0,0.0,0.0,0.0,Haken,Guido
45,24.06.2015 21:17:11:666,-10724.0,19231.0,6796.0,45.9,18.36,30.35,0.0,0.0,0.0,0.0,Haken,Guido
46,24.06.2015 21:17:11:676,-15254.0,15652.0,4245.0,39.5,20.09,35.77,0.0,0.0,0.0,0.0,Haken,Guido
47,24.06.2015 21:17:11:686,-19078.0,11335.0,681.0,31.17,21.97,40.28,0.0,0.0,0.0,0.0,Haken,Guido
48,24.06.2015 21:17:11:696,-21952.0,6041.0,-4017.0,21.42,24.15,43.4,0.0,0.0,0.0,0.0,Haken,Guido
49,24.06.2015 21:17:11:706,-23503.0,-312.0,-9707.0,11.38,26.64,44.97,0.0,0.0,0.0,0.0,Haken,Guido
50,24.06.2015 21:17:11:716,-23355.0,-5793.0,-14141.0,2.03,29.42,44.93,0.0,0.0,0.0,0.0,Haken,Guido
51,24.06.2015 21:17:11:726,-22076.0,-10234.0,-17129.0,-6.67,32.68,43.53,0.0,0.0,0.0,0.0,Haken,Guido
52,24.06.2015 21:17:11:736,-18954.0,-14394.0,-18267.0,-14.92,36.21,41.44,0.0,0.0,0.0,0.0,Haken,Guido
53,24.06.2015 21:17:11:746,-14327.0,-17901.0,-17667.0,-22.55,39.89,39.0,0.0,0.0,0.0,0.0,Haken,Guido
54,24.06.2015 21:17:11:756,-7984.0,-19146.0,-16485.0,-29.32,43.44,36.72,0.0,0.0,0.0,0.0,Haken,Guido
55,24.06.2015 21:17:11:766,-505.0,-17593.0,-15391.0,-35.2,46.6,35.22,0.0,0.0,0.0,0.0,Haken,Guido
56,24.06.2015 21:17:11:776,6835.0,-15079.0,-13111.0,-40.32,49.45,34.08,0.0,0.0,0.0,0.0,Haken,Guido
