Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,24.06.2015 21:17:11:253,763.0,-1166.0,-88.0,-10.14,10.41,79.04,0.0,0.0,0.0,0.0,Punch,Guido
1,24.06.2015 21:17:11:263,771.0,-1162.0,-61.0,-10.13,10.39,79.05,0.0,0.0,0.0,0.0,Punch,Guido
2,24.06.2015 21:17:11:273,813.0,-1224.0,-94.0,-10.13,10.4,79.04,0.0,0.0,0.0,0.0,Punch,Guido
3,24.06.2015 21:17:11:283,868.0,-1271.0,-100.0,-10.14,10.4,79.02,0.0,0.0,0.0,0.0,Punch,Guido
4,24.06.2015 21:17:11:293,884.0,-1241.0,-126.0,-10.13,10.4,79.02,0.0,0.0,0.0,0.0,Punch,Guido
5,24.06.2015 21:17:11:303,861.0,-1191.0,-143.0,-10.12,10.39,79.02,0.0,0.0,0.0,0.0,Punch,Guido
6,24.06.2015 21:17:11:313,812.0,-1113.0,-156.0,-10.1,10.37,79.04,0.0,0.0,0.0,0.0,Punch,Guido
7,24.06.2015 21:17:11:323,781.0,-1084.0,-181.0,-10.06,10.32,79.08,0.0,0.0,0.0,0.0,Punch,Guido
8,24.06.2015 21:17:11:333,781.0,-1110.0,-145.0,-10.03,10.3,79.09,0.0,0.0,0.0,0.0,Punch,Guido
9,24.06.2015 21:17:11:343,770.0,-1154.0,-152.0,-10.01,10.28,79.09,0.0,0.0,0.0,0.0,Punch,Guido
10,24.06.2015 21:17:11:353,796.0,-1184.0,-168.0,-9.99,10.25,79.1,0.0,0.0,0.0,0.0,Punch,Guido
11,24.06.2015 21:17:11:363,830.0,-1180.0,-164.0,-9.97,10.24,79.11,0.0,0.0,0.0,0.0,Punch,Guido
12,24.06.2015 21:17:11:373,840.0,-1153.0,-194.0,-9.96,10.22,79.11,0.0,0.0,0.0,0.0,Punch,Guido
13,24.06.2015 21:17:11:383,847.0,-1141.0,-202.0,-9.92,10.19,79.13,0.0,0.0,0.0,0.0,Punch,Guido
14,24.06.2015 21:17:11:393,822.0,-1107.0,-182.0,-9.88,10.15,79.14,0.0,0.0,0.0,0.0,Punch,Guido
15,24.06.2015 21:17:11:403,801.0,-1064.0,-152.0,-9.84,10.1,79.17,0.0,0.0,0.0,0.0,Punch,Guido
16,24.06.2015 21:17:11:413,817.0,-1051.0,-133.0,-9.81,10.08,79.16,0.0,0.0,0.0,0.0,Punch,Guido
17,24.06.2015 21:17:11:423,873.0,-1085.0,-131.0,-9.81,10.07,79.13,0.0,0.0,0.0,0.0,Punch,Guido
18,24.06.2015 21:17:11:433,894.0,-1073.0,-194.0,-9.83,10.09,79.1,0.0,0.0,0.0,0.0,Punch,Guido
19,24.06.2015 21:17:11:443,879.0,-1025.0,-269.0,-9.81,10.07,79.1,0.0,0.0,0.0,0.0,Punch,Guido
20,24.06.2015 21:17:11:453,869.0,-875.0,-261.0,-9.75,10.01,79.16,0.0,0.0,0.0,0.0,Punch,Guido
21,24.06.2015 21:17:11:463,819.0,-752.0,-315.0,-9.69,9.94,79.22,0.0,0.0,0.0,0.0,Punch,Guido
22,24.06.2015 21:17:11:473,843.0,-714.0,-352.0,-9.59,9.84,79.3,0.0,0.0,0.0,0.0,Punch,Guido
23,24.06.2015 21:17:11:483,883.0,-742.0,-394.0,-9.5,9.75,79.36,0.0,0.0,0.0,0.0,Punch,Guido
24,24.06.2015 21:17:11:493,915.0,-734.0,-493.0,-9.41,9.66,79.41,0.0,0.0,0.0,0.0,Punch,Guido
25,24.06.2015 21:17:11:503,955.0,-628.0,-579.0,-9.3,9.55,79.49,0.0,0.0,0.0,0.0,Punch,Guido
26,24.06.2015 21:17:11:513,1058.0,-452.0,-619.0,-9.18,9.44,79.57,0.0,0.0,0.0,0.0,Punch,Guido
27,24.06.2015 21:17:11:523,1232.0,-277.0,-628.0,-9.09,9.36,79.62,0.0,0.0,0.0,0.0,Punch,Guido
28,24.06.2015 21:17:11:533,1396.0,-68.0,-670.0,-9.02,9.31,79.63,0.0,0.0,0.0,0.0,Punch,Guido
29,24.06.2015 21:17:11:543,1513.0,226.0,-661.0,-8.96,9.28,79.61,0.0,0.0,0.0,0.0,Punch,Guido
30,24.06.2015 21:17:11:553,1627.0,685.0,-439.0,-8.89,9.27,79.55,0.0,0.0,0.0,0.0,Punch,Guido
31,24.06.2015 21:17:11:563,1860.0,1307.0,11.0,-8.88,9.32,79.38,0.0,0.0,0.0,0.0,Punch,Guido
32,24.06.2015 21:17:11:573,2270.0,1820.0,693.0,-9.03,9.57,78.97,0.0,0.0,0.0,0.0,Punch,Guido
33,24.06.2015 21:17:11:583,2551.0,2328.0,1643.0,-9.41,10.1,78.24,0.0,0.0,0.0,0.0,Punch,Guido
34,24.06.2015 21:17:11:593,2634.0,2999.0,2970.0,-9.99,10.89,77.2,0.0,0.0,0.0,0.0,Punch,Guido
35,24.06.2015 21:17:11:603,2542.0,4208.0,4659.0,-10.91,12.08,75.84,0.0,0.0,0.0,0.0,Punch,Guido
36,24.06.2015 21:17:11:613,1875.0,5670.0,5750.0,-12.09,13.59,74.39,0.0,0.0,0.0,0.0,Punch,Guido
37,24.06.2015 21:17:11:623,851.0,7034.0,6213.0,-13.42,15.23,72.98,0.0,0.0,0.0,0.0,Punch,Guido
38,24.06.2015 21:17:11:633,-306.0,8229.0,6301.0,-15.05,17.1,71.55,0.0,0.0,0.0,0.0,Punch,Guido
39,24.06.2015 21:17:11:643,-1849.0,9521.0,6003.0,-17.2,19.26,69.91,0.0,0.0,0.0,0.0,Punch,Guido
40,24.06.2015 21:17:11:653,-3592.0,11146.0,5357.0,-19.92,21.55,68.13,0.0,0.0,0.0,0.0,Punch,Guido
41,24.06.2015 21:17:11:663,-5189.0,12707.0,4589.0,-23.19,23.75,66.23,0.0,0.0,0.0,0.0,Punch,Guido
42,24.06.2015 21:17:11:673,-6915.0,13607.0,3710.0,-26.95,25.72,64.2,0.0,0.0,0.0,0.0,Punch,Guido
43,24.06.2015 21:17:11:683,-8349.0,13334.0,2900.0,-31.18,27.51,62.05,0.0,0.0,0.0,0.0,Punch,Guido
44,24.06.2015 21:17:11:693,-8962.0,13682.0,1904.0,-36.62,29.4,59.63,0.0,0.0,0.0,0.0,Punch,Guido
45,24.06.2015 21:17:11:703,-7110.0,14213.0,-609.0,-44.6,30.95,57.24,0.0,0.0,0.0,0.0,Punch,Guido
46,24.06.2015 21:17:11:713,-3501.0,12958.0,-3549.0,-58.52,32.51,54.53,0.0,0.0,0.0,0.0,Punch,Guido
47,24.06.2015 21:17:11:723,1825.0,9321.0,-7145.0,-86.15,35.39,50.15,0.0,0.0,0.0,0.0,Punch,Guido
48,24.06.2015 21:17:11:733,8894.0,1907.0,-9890.0,-124.97,39.92,43.26,0.0,0.0,0.0,0.0,Punch,Guido
49,24.06.2015 21:17:11:743,11775.0,-6352.0,-8635.0,-151.76,45.79,34.81,0.0,0.0,0.0,0.0,Punch,Guido
50,24.06.2015 21:17:11:753,10778.0,-12636.0,-5368.0,-169.32,53.23,26.49,0.0,0.0,0.0,0.0,Punch,Guido
51,24.06.2015 21:17:11:763,9611.0,-14534.0,-7108.0,175.85,60.24,21.17,0.0,0.0,0.0,0.0,Punch,Guido
52,24.06.2015 21:17:11:773,6283.0,-14612.0,-11133.0,165.47,64.41,20.34,0.0,0.0,0.0,0.0,Punch,Guido
53,24.06.2015 21:17:11:783,2161.0,-12564.0,-12155.0,161.65,65.33,22.26,0.0,0.0,0.0,0.0,Punch,Guido
54,24.06.2015 21:17:11:793,-1121.0,-9841.0,-9053.0,175.26,62.84,25.63,0.0,0.0,0.0,0.0,Punch,Guido
55,24.06.2015 21:17:11:803,-3708.0,-9316.0,-5972.0,-159.86,60.33,27.6,0.0,0.0,0.0,0.0,Punch,Guido
56,24.06.2015 21:17:11:813,-1697.0,-8546.0,-5215.0,-149.59,58.27,28.01,0.0,0.0,0.0,0.0,Punch,Guido
57,24.06.2015 21:17:11:823,3830.0,-8125.0,-4232.0,-146.79,56.32,27.31,0.0,0.0,0.0,0.0,Punch,Guido
58,24.06.2015 21:17:11:833,8256.0,-8323.0,-3328.0,-143.01,55.15,26.29,0.0,0.0,0.0,0.0,Punch,Guido
59,24.06.2015 21:17:11:843,10879.0,-7988.0,-2072.0,-136.79,55.39,25.66,0.0,0.0,0.0,0.0,Punch,Guido
60,24.06.2015 21:17:11:853,11293.0,-7631.0,-1521.0,-128.1,56.99,25.41,0.0,0.0,0.0,0.0,Punch,Guido
61,24.06.2015 21:17:11:863,10449.0,-8273.0,-2348.0,-116.35,59.52,25.15,0.0,0.0,0.0,0.0,Punch,Guido
62,24.06.2015 21:17:11:873,9167.0,-9988.0,-3483.0,-101.41,62.08,24.9,0.0,0.0,0.0,0.0,Punch,Guido
63,24.06.2015 21:17:11:883,8589.0,-12168.0,-3817.0,-85.76,64.02,24.73,0.0,0.0,0.0,0.0,Punch,Guido
64,24.06.2015 21:17:11:893,8811.0,-14049.0,-4067.0,-72.69,64.98,24.77,0.0,0.0,0.0,0.0,Punch,Guido
65,24.06.2015 21:17:11:903,9109.0,-15037.0,-4145.0,-62.75,64.56,25.41,0.0,0.0,0.0,0.0,Punch,Guido
66,24.06.2015 21:17:11:913,8656.0,-14761.0,-4221.0,-55.5,62.62,26.69,0.0,0.0,0.0,0.0,Punch,Guido
67,24.06.2015 21:17:11:923,6560.0,-15130.0,-4240.0,-49.92,59.12,28.61,0.0,0.0,0.0,0.0,Punch,Guido
68,24.06.2015 21:17:11:933,4928.0,-15352.0,-3365.0,-45.06,54.33,31.2,0.0,0.0,0.0,0.0,Punch,Guido
69,24.06.2015 21:17:11:943,3886.0,-13515.0,-2506.0,-41.05,49.1,34.42,0.0,0.0,0.0,0.0,Punch,Guido
70,24.06.2015 21:17:11:953,2079.0,-10915.0,-2099.0,-37.62,43.95,38.24,0.0,0.0,0.0,0.0,Punch,Guido
71,24.06.2015 21:17:11:963,-598.0,-7844.0,-1620.0,-34.58,39.24,42.34,0.0,0.0,0.0,0.0,Punch,Guido
72,24.06.2015 21:17:11:973,-2964.0,-2986.0,-2088.0,-31.73,34.91,46.86,0.0,0.0,0.0,0.0,Punch,Guido
73,24.06.2015 21:17:11:983,-5712.0,368.0,-642.0,-28.43,30.15,51.96,0.0,0.0,0.0,0.0,Punch,Guido
74,24.06.2015 21:17:11:993,-7100.0,2440.0,1074.0,-24.74,25.26,57.07,0.0,0.0,0.0,0.0,Punch,Guido
75,24.06.2015 21:17:12:3,-6518.0,5167.0,2514.0,-21.42,21.26,61.93,0.0,0.0,0.0,0.0,Punch,Guido
