Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Fsr0,Fsr1,Fsr2,Fsr3,Class,Person
0,24.06.2015 21:17:11:274,1239.0,-139.0,-529.0,-29.47,30.67,57.84,0.0,0.0,0.0,0.0,Upper Cut,Guido
1,24.06.2015 21:17:11:284,1371.0,-144.0,-821.0,-29.47,30.71,57.73,0.0,0.0,0.0,0.0,Upper Cut,Guido
2,24.06.2015 21:17:11:294,1562.0,-214.0,-1240.0,-29.46,30.75,57.6,0.0,0.0,0.0,0.0,Upper Cut,Guido
3,24.06.2015 21:17:11:304,1843.0,-232.0,-1989.0,-29.44,30.8,57.39,0.0,0.0,0.0,0.0,Upper Cut,Guido
4,24.06.2015 21:17:11:314,2132.0,-56.0,-3088.0,-29.35,30.82,57.15,0.0,0.0,0.0,0.0,Upper Cut,Guido
5,24.06.2015 21:17:11:324,2421.0,274.0,-4481.0,-29.14,30.77,56.85,0.0,0.0,0.0,0.0,Upper Cut,Guido
6,24.06.2015 21:17:11:334,2624.0,721.0,-6183.0,-28.77,30.59,56.48,0.0,0.0,0.0,0.0,Upper Cut,Guido
7,24.06.2015 21:17:11:344,2667.0,1210.0,-8004.0,-28.12,30.19,56.03,0.0,0.0,0.0,0.0,Upper Cut,Guido
8,24.06.2015 21:17:11:354,2522.0,1647.0,-9718.0,-27.08,29.42,55.44,0.0,0.0,0.0,0.0,Upper Cut,Guido
9,24.06.2015 21:17:11:364,2135.0,1830.0,-11173.0,-25.62,28.21,54.53,0.0,0.0,0.0,0.0,Upper Cut,Guido
10,24.06.2015 21:17:11:374,1521.0,1545.0,-12196.0,-23.75,26.48,53.16,0.0,0.0,0.0,0.0,Upper Cut,Guido
11,24.06.2015 21:17:11:384,677.0,707.0,-12650.0,-21.52,24.16,51.17,0.0,0.0,0.0,0.0,Upper Cut,Guido
12,24.06.2015 21:17:11:394,-388.0,-487.0,-12509.0,-19.02,21.23,48.45,0.0,0.0,0.0,0.0,Upper Cut,Guido
13,24.06.2015 21:17:11:404,-1674.0,-1719.0,-11798.0,-16.36,17.64,45.05,0.0,0.0,0.0,0.0,Upper Cut,Guido
14,24.06.2015 21:17:11:414,-3217.0,-2654.0,-10726.0,-13.62,13.24,41.13,0.0,0.0,0.0,0.0,Upper Cut,Guido
15,24.06.2015 21:17:11:424,-4995.0,-2950.0,-9208.0,-10.88,7.8,36.81,0.0,0.0,0.0,0.0,Upper Cut,Guido
16,24.06.2015 21:17:11:434,-7284.0,-2766.0,-6658.0,-8.25,0.87,32.11,0.0,0.0,0.0,0.0,Upper Cut,Guido
17,24.06.2015 21:17:11:444,-9270.0,-1653.0,-1676.0,-5.86,-7.64,27.1,0.0,0.0,0.0,0.0,Upper Cut,Guido
18,24.06.2015 21:17:11:454,-9415.0,1620.0,5248.0,-3.98,-17.05,22.26,0.0,0.0,0.0,0.0,Upper Cut,Guido
19,24.06.2015 21:17:11:464,-7272.0,4682.0,10649.0,-2.76,-26.53,18.07,0.0,0.0,0.0,0.0,Upper Cut,Guido
20,24.06.2015 21:17:11:474,-4280.0,7165.0,13795.0,-2.5,-35.43,14.95,0.0,0.0,0.0,0.0,Upper Cut,Guido
21,24.06.2015 21:17:11:484,-1164.0,8717.0,15531.0,-2.93,-43.27,13.6,0.0,0.0,0.0,0.0,Upper Cut,Guido
22,24.06.2015 21:17:11:494,1862.0,9009.0,16589.0,-3.61,-49.77,14.73,0.0,0.0,0.0,0.0,Upper Cut,Guido
23,24.06.2015 21:17:11:504,4298.0,8016.0,17388.0,-5.8,-53.59,18.47,0.0,0.0,0.0,0.0,Upper Cut,Guido
24,24.06.2015 21:17:11:514,6182.0,5934.0,18046.0,-9.91,-53.87,24.52,0.0,0.0,0.0,0.0,Upper Cut,Guido
25,24.06.2015 21:17:11:524,7593.0,3236.0,18446.0,-15.55,-50.72,31.8,0.0,0.0,0.0,0.0,Upper Cut,Guido
26,24.06.2015 21:17:11:534,8246.0,130.0,18638.0,-21.74,-44.83,39.51,0.0,0.0,0.0,0.0,Upper Cut,Guido
27,24.06.2015 21:17:11:544,8284.0,-3314.0,18427.0,-26.74,-37.59,47.33,0.0,0.0,0.0,0.0,Upper Cut,Guido
28,24.06.2015 21:17:11:554,7134.0,-7591.0,15228.0,-30.81,-30.8,54.53,0.0,0.0,0.0,0.0,Upper Cut,Guido
29,24.06.2015 21:17:11:564,6452.0,-11718.0,8983.0,-34.91,-25.95,60.29,0.0,0.0,0.0,0.0,Upper Cut,Guido
30,24.06.2015 21:17:11:574,8888.0,-15092.0,1970.0,-40.15,-23.24,64.41,0.0,0.0,0.0,0.0,Upper Cut,Guido
31,24.06.2015 21:17:11:584,12499.0,-16999.0,-3897.0,-53.09,-21.67,67.09,0.0,0.0,0.0,0.0,Upper Cut,Guido
32,24.06.2015 21:17:11:594,14690.0,-17027.0,-7354.0,-76.55,-19.79,69.63,0.0,0.0,0.0,0.0,Upper Cut,Guido
33,24.06.2015 21:17:11:604,15568.0,-14064.0,-11845.0,-80.1,-16.37,73.26,0.0,0.0,0.0,0.0,Upper Cut,Guido
34,24.06.2015 21:17:11:614,15498.0,-12726.0,-16269.0,-35.35,-12.24,77.27,0.0,0.0,0.0,0.0,Upper Cut,Guido
35,24.06.2015 21:17:11:624,10726.0,-15777.0,-18309.0,-11.88,-10.23,79.18,0.0,0.0,0.0,0.0,Upper Cut,Guido
36,24.06.2015 21:17:11:634,192.0,-16507.0,-19666.0,6.61,-10.96,78.99,0.0,0.0,0.0,0.0,Upper Cut,Guido
